actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-10T01:12:14.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-10T01:12:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-03-10T01:12:16.6Z,1,REGULAR,jumpball,recovered,[],202699,,,1610612765,0,0,2025-03-10T01:12:16Z,40000,False,,,0,,Jump Ball J. Duren vs. D. Clingan: Tip to T. Harris,"[202699, 1631105, 1642270]",1610612765.0,DET,startperiod,T. Harris,202699.0,Harris,T. Harris,Duren,1631105.0,Clingan,1642270.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-03-10T01:12:32.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203501,7.966491458607096,34.31372549019608,1610612765,0,2,2025-03-10T01:12:45Z,70000,False,78.0,22.0,1,left,T. Hardaway Jr. 8' driving floating Jump Shot (2 PTS),[203501],1610612765.0,DET,driving floating,,,Hardaway Jr.,T. Hardaway Jr.,,,,,In The Paint (Non-RA),0-8 Center,8.15,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M12.00S,2025-03-10T01:13:13.7Z,1,REGULAR,2pt,Hook,[],1641739,92.59198423127464,66.66666666666666,1610612757,0,2,2025-03-10T01:13:17Z,90000,False,83.0,17.0,1,right,MISS T. Camara 8' driving Hook,[1641739],1610612757.0,POR,driving,,,Camara,T. Camara,,,,,Mid-Range,8-16 Right,8.5,Missed,,,,,,,,,,,,,,,,,,
10,PT11M11.00S,2025-03-10T01:13:14.7Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,0,2,2025-03-10T01:13:17Z,100000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Mid-Range,8-16 Right,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M08.00S,2025-03-10T01:13:18.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630595,28.465834428383708,80.14705882352942,1610612765,0,2,2025-03-10T01:14:20Z,110000,False,-151.0,215.0,1,left,MISS C. Cunningham 26' running 3PT,[1630595],1610612765.0,DET,running,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Left Center,26.26,Missed,,,,,,,,,,,,,,,,,,
12,PT11M07.00S,2025-03-10T01:13:19.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,0,2,2025-03-10T01:14:20Z,120000,False,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Above the Break 3,24+ Left Center,,,,11.0,,,,,,,,,,,,,,,,
14,PT10M46.00S,2025-03-10T01:13:46.9Z,1,REGULAR,3pt,Jump Shot,[],203924,93.51182654402102,1.9607843137254901,1610612757,3,2,2025-03-10T01:13:50Z,140000,False,-240.0,8.0,1,right,J. Grant 24' 3PT  (3 PTS),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Left Corner 3,24+ Left,24.04,Made,3.0,,,,,,,,,,,,,,,,,
16,PT10M32.00S,2025-03-10T01:14:00.4Z,1,REGULAR,3pt,Jump Shot,[],1630595,32.40801576872536,63.970588235294116,1610612765,3,5,2025-03-10T01:14:04Z,160000,False,-70.0,252.0,1,left,C. Cunningham 26' 3PT  (3 PTS) (J. Duren 1 AST),"[1630595, 1631105]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Center,26.16,Made,3.0,,,,,J. Duren,1631105.0,1.0,,,,,,,,,,
18,PT10M25.00S,2025-03-10T01:14:10.4Z,1,REGULAR,foul,personal,[],1641709,,,1610612757,3,5,2025-03-10T01:14:17Z,180000,False,,,0,,A. Thompson personal FOUL (1 PF),"[1641709, 1629014]",1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,202027.0,1.0,0.0,Simons,1629014.0,,,,,
20,PT10M17.00S,2025-03-10T01:14:43.1Z,1,REGULAR,2pt,Jump Shot,[],1631101,74.85216819973719,28.431372549019606,1610612757,3,5,2025-03-10T01:14:46Z,200000,False,-108.0,184.0,1,right,MISS S. Sharpe 21' pullup Shot,[1631101],1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Left Center,21.32,Missed,,,,,,,,,,,,,,,,,,
21,PT10M14.00S,2025-03-10T01:14:45.2Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,3,5,2025-03-10T01:14:45Z,210000,False,,,0,,J. Duren REBOUND (Off:0 Def:2),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Mid-Range,16-24 Left Center,,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,,
22,PT10M08.00S,2025-03-10T01:14:51.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,9.149145860709593,59.068627450980394,1610612765,3,5,2025-03-10T01:14:58Z,220000,False,-45.0,34.0,1,left,MISS T. Harris driving floating Shot - blocked,"[202699, 1642270]",1610612765.0,DET,driving floating,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,5.63,Missed,,,,,,,,,,,,,,Clingan,1642270.0,,,
23,PT10M08.00S,2025-03-10T01:14:51.6Z,1,REGULAR,block,,[],1642270,,,1610612765,3,5,2025-03-10T01:14:54Z,230000,False,,,0,,D. Clingan BLOCK (1 BLK),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
24,PT10M05.00S,2025-03-10T01:14:54.6Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,3,5,2025-03-10T01:14:58Z,240000,False,,,0,,D. Clingan REBOUND (Off:0 Def:1),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,In The Paint (Non-RA),0-8 Center,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,
26,PT09M58.00S,2025-03-10T01:15:26.7Z,1,REGULAR,turnover,bad pass,[],1629014,,,1610612757,3,5,2025-03-10T01:15:34Z,260000,False,,,0,,A. Simons bad pass TURNOVER (1 TO),"[1629014, 1631105]",1610612757.0,POR,,,,Simons,A. Simons,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,1.0,Duren,1631105.0
