actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-12T03:12:27.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-12T03:12:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-01-12T03:12:30.2Z,1,REGULAR,jumpball,recovered,[],1629639,,,1610612748,0,0,2025-01-12T03:12:30Z,40000,False,,,0,,Jump Ball B. Adebayo vs. D. Clingan: Tip to T. Herro,"[1629639, 1628389, 1642270]",1610612748.0,MIA,startperiod,T. Herro,1629639.0,Herro,T. Herro,Adebayo,1628389.0,Clingan,1642270.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-01-12T03:12:44.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631170,6.652431011826544,46.07843137254902,1610612748,0,2,2025-01-12T03:12:49Z,70000,False,20.0,10.0,1,left,J. Jaquez Jr. driving Layup (2 PTS),[1631170],1610612748.0,MIA,driving,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,2.2,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M23.00S,2025-01-12T03:13:03.2Z,1,REGULAR,turnover,bad pass,[],1631101,,,1610612757,0,2,2025-01-12T03:13:06Z,80000,False,,,0,,S. Sharpe bad pass TURNOVER (1 TO),"[1631101, 1629312]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),0-8 Center,,,,1.0,Highsmith,1629312.0,,,,,,,,,,,,,,
9,PT11M23.00S,2025-01-12T03:13:03.2Z,1,REGULAR,steal,,[],1629312,,,1610612748,0,2,2025-01-12T03:13:04Z,90000,False,,,0,,H. Highsmith STEAL (1 STL),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M15.00S,2025-01-12T03:13:11.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629312,28.203022339027594,80.14705882352942,1610612748,0,2,2025-01-12T03:13:15Z,100000,False,-151.0,213.0,1,left,MISS H. Highsmith 26' 3PT,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Above the Break 3,24+ Left Center,26.06,Missed,,,,,,,,,,,,,,,,,,
11,PT11M12.00S,2025-01-12T03:13:14.3Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612757,0,2,2025-01-12T03:13:15Z,110000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M07.00S,2025-01-12T03:13:20.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630166,93.38042049934296,50.73529411764706,1610612757,0,2,2025-01-12T03:13:27Z,120000,False,4.0,10.0,1,right,MISS D. Avdija running Layup,[1630166],1610612757.0,POR,running,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,1.04,Missed,,,,,,,,,,,,,,,,,,
13,PT11M04.00S,2025-01-12T03:13:23.0Z,1,REGULAR,rebound,offensive,[],1642270,,,1610612757,0,2,2025-01-12T03:13:27Z,130000,False,,,0,,D. Clingan REBOUND (Off:1 Def:0),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,,
14,PT11M04.00S,2025-01-12T03:13:22.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642270,94.40999984741211,50.0,1610612757,2,2,2025-01-12T03:13:22Z,140000,False,0.0,0.0,1,right,D. Clingan tip Layup (2 PTS),[1642270],1610612757.0,POR,tip,,,Clingan,D. Clingan,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M47.00S,2025-01-12T03:13:39.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,20.18725361366623,53.18627450980392,1610612748,2,2,2025-01-12T03:13:46Z,150000,False,-16.0,137.0,1,left,MISS T. Herro 13' turnaround fadeaway Shot,[1629639],1610612748.0,MIA,turnaround fadeaway,,,Herro,T. Herro,,,,,In The Paint (Non-RA),8-16 Center,13.82,Missed,,,,,,,,,,,,,,,,,,
16,PT10M44.00S,2025-01-12T03:13:42.3Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,2,2,2025-01-12T03:13:46Z,160000,False,,,0,,D. Clingan REBOUND (Off:1 Def:1),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,15.0,2.0,1.0,1.0,,,,,,,,,,
