actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
24,PT10M20.00S,2024-10-26T02:15:13.7Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,6,4,2024-10-26T02:15:13Z,240000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,,,,,23.0,,,,,1.0,1.0,0.0,,,,,,,,,,
25,PT10M06.00S,2024-10-26T02:15:28.0Z,1,REGULAR,3pt,Jump Shot,[],203924,24.78646517739816,14.460784313725492,1610612757,6,4,2024-10-26T02:15:42Z,250000,False,178.0,180.0,1,left,MISS J. Grant 25' 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right Center,25.33,Missed,,,,,,,,,,,,,,,,,,
26,PT10M03.00S,2024-10-26T02:15:31.0Z,1,REGULAR,rebound,offensive,[],1630166,,,1610612757,6,4,2024-10-26T02:15:42Z,260000,False,,,0,,D. Avdija REBOUND (Off:1 Def:0),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,,,25.0,,,,,1.0,0.0,1.0,,,,,,,,,,
28,PT10M03.00S,2024-10-26T02:15:32.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630166,6.389618922470433,47.05882352941176,1610612757,6,4,2024-10-26T02:15:53Z,270000,False,15.0,8.0,1,left,MISS D. Avdija putback Layup - blocked,"[1630166, 1629627]",1610612757.0,POR,putback,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,1.65,Missed,,,,,,,,,Williamson,1629627.0,,,,,,,,
29,PT10M03.00S,2024-10-26T02:15:32.5Z,1,REGULAR,block,,[],1629627,,,1610612757,6,4,2024-10-26T02:15:53Z,280000,False,,,0,,Z. Williamson BLOCK (1 BLK),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
30,PT10M03.00S,2024-10-26T02:15:32.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,6,4,2024-10-26T02:15:53Z,290000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Restricted Area,0-8 Center,,,28.0,,,,,,,,,,,,,,,,,
32,PT09M54.00S,2024-10-26T02:15:59.4Z,1,REGULAR,foul,personal,['2freethrow'],1628464,,,1610612757,6,4,2024-10-26T02:16:08Z,310000,False,,,0,,D. Theis shooting personal FOUL (1 PF) (Grant 2 FT),"[1628464, 203924]",1610612740.0,NOP,shooting,,,Theis,D. Theis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,202058.0,1.0,0.0,Grant,203924.0,,,
34,PT09M54.00S,2024-10-26T02:16:25.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203924,,,1610612757,7,4,2024-10-26T02:16:25Z,330000,False,,,0,,J. Grant Free Throw 1 of 2 (7 PTS),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Made,,7.0,,,,,,,,,,,,,,,,
35,PT09M54.00S,2024-10-26T02:16:40.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203924,,,1610612757,8,4,2024-10-26T02:16:40Z,340000,False,,,0,,J. Grant Free Throw 2 of 2 (8 PTS),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Made,,8.0,,,,,,,,,,,,,,,,
36,PT09M36.00S,2024-10-26T02:17:01.7Z,1,REGULAR,3pt,Jump Shot,[],203468,70.38436268068331,81.12745098039215,1610612740,8,4,2024-10-26T02:17:09Z,350000,False,156.0,226.0,1,right,MISS C. McCollum 27' pullup 3PT,[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,27.43,Missed,,,,,,,,,,,,,,,,,,
37,PT09M33.00S,2024-10-26T02:17:04.7Z,1,REGULAR,rebound,defensive,[],203924,,,1610612757,8,4,2024-10-26T02:17:09Z,360000,False,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right Center,,,36.0,,,,,1.0,1.0,0.0,,,,,,,,,,
38,PT09M22.00S,2024-10-26T02:17:15.3Z,1,REGULAR,3pt,Jump Shot,[],1641739,9.543363994743759,95.58823529411765,1610612757,8,4,2024-10-26T02:17:19Z,370000,False,-228.0,37.0,1,left,MISS T. Camara 3PT,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Left Corner 3,24+ Left,23.09,Missed,,,,,,,,,,,,,,,,,,
39,PT09M19.00S,2024-10-26T02:17:18.3Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,8,4,2024-10-26T02:17:19Z,380000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Left Corner 3,24+ Left,,,38.0,,,,,1.0,1.0,0.0,,,,,,,,,,
40,PT09M13.00S,2024-10-26T02:17:24.8Z,1,REGULAR,turnover,bad pass,[],203468,,,1610612740,8,4,2024-10-26T02:17:29Z,390000,False,,,0,,C. McCollum bad pass TURNOVER (1 TO),"[203468, 203924]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Grant,203924.0
41,PT09M13.00S,2024-10-26T02:17:24.8Z,1,REGULAR,steal,,[],203924,,,1610612757,8,4,2024-10-26T02:17:26Z,400000,False,,,0,,J. Grant STEAL (1 STL),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
42,PT09M10.00S,2024-10-26T02:17:27.6Z,1,REGULAR,turnover,bad pass,[],203924,,,1610612757,8,4,2024-10-26T02:17:32Z,410000,False,,,0,,J. Grant bad pass TURNOVER (1 TO),"[203924, 203468]",1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,1.0,McCollum,203468.0
43,PT09M10.00S,2024-10-26T02:17:27.6Z,1,REGULAR,steal,,[],203468,,,1610612740,8,4,2024-10-26T02:17:29Z,420000,False,,,0,,C. McCollum STEAL (1 STL),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
44,PT09M05.00S,2024-10-26T02:17:32.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628464,88.64980289093299,3.6764705882352944,1610612740,8,4,2024-10-26T02:18:42Z,430000,False,-232.0,54.0,1,right,MISS D. Theis running 3PT,[1628464],1610612740.0,NOP,running,,,Theis,D. Theis,,,,,Left Corner 3,24+ Left,23.79,Missed,,,,,,,,,,,,,,,,,,
45,PT09M02.00S,2024-10-26T02:17:35.8Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612757,8,4,2024-10-26T02:17:37Z,440000,False,,,0,,D. Avdija REBOUND (Off:1 Def:1),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Left Corner 3,24+ Left,,,44.0,,,,,2.0,1.0,1.0,,,,,,,,,,
46,PT08M57.00S,2024-10-26T02:17:43.4Z,1,REGULAR,foul,personal,[],1630529,,,1610612757,8,4,2024-10-26T02:18:00Z,450000,False,,,0,,H. Jones personal FOUL (1 PF),"[1630529, 1641739]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,1627519.0,1.0,0.0,Camara,1641739.0,,,
