actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-12-07T03:11:40.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-07T03:11:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-12-07T03:11:43.5Z,1,REGULAR,jumpball,recovered,[],203924,,,1610612757,0,0,2024-12-07T03:11:43Z,40000,False,,,0,,Jump Ball D. Ayton vs. W. Kessler: Tip to J. Grant,"[203924, 1629028, 1631117]",1610612757.0,POR,startperiod,J. Grant,203924.0,Grant,J. Grant,Ayton,1629028.0,Kessler,1631117.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2024-12-07T03:12:03.4Z,1,REGULAR,2pt,Jump Shot,[],1629014,9.017739816031538,83.82352941176471,1610612757,0,0,2024-12-07T03:12:09Z,70000,False,-169.0,32.0,1,left,MISS A. Simons 17' step back Shot,[1629014],1610612757.0,POR,step back,,,Simons,A. Simons,,,,,Mid-Range,16-24 Left,17.22,Missed,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2024-12-07T03:12:07.4Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,0,0,2024-12-07T03:12:09Z,80000,False,,,0,,W. Kessler REBOUND (Off:0 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Mid-Range,16-24 Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M17.00S,2024-12-07T03:12:21.9Z,1,REGULAR,2pt,Jump Shot,[],1629012,87.20433639947439,86.51960784313727,1610612762,0,2,2024-12-07T03:12:26Z,90000,False,183.0,68.0,1,right,C. Sexton 19' pullup Jump Shot (2 PTS),[1629012],1610612762.0,UTA,pullup,,,Sexton,C. Sexton,,,,,Mid-Range,16-24 Right,19.48,Made,,,,,2.0,,,,,,,,,,,,,
11,PT10M57.00S,2024-12-07T03:12:41.6Z,1,REGULAR,3pt,Jump Shot,[],203924,21.632720105124836,91.42156862745098,1610612757,3,2,2024-12-07T03:12:47Z,110000,False,-207.0,151.0,1,left,J. Grant 25' 3PT  (3 PTS) (S. Sharpe 1 AST),"[203924, 1631101]",1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Left Center,25.62,Made,,,,,3.0,S. Sharpe,1631101.0,1.0,,,,,,,,,,
13,PT10M34.00S,2024-12-07T03:13:29.6Z,1,REGULAR,jumpball,recovered,[],1628381,,,1610612762,3,2,2024-12-07T03:13:29Z,130000,False,,,0,,Jump Ball C. Sexton vs. T. Camara: Tip to J. Collins,"[1628381, 1629012, 1641739]",1610612762.0,UTA,heldball,J. Collins,1628381.0,Collins,J. Collins,Sexton,1629012.0,Camara,1641739.0,,,,,,,,,,,,,,,,,,,,,,
16,PT10M28.00S,2024-12-07T03:13:36.0Z,1,REGULAR,3pt,Jump Shot,[],1629004,66.04796320630749,19.852941176470587,1610612762,3,5,2024-12-07T03:13:40Z,160000,False,-151.0,267.0,1,right,S. Mykhailiuk 30' 3PT  (3 PTS) (C. Sexton 1 AST),"[1629004, 1629012]",1610612762.0,UTA,,,,Mykhailiuk,S. Mykhailiuk,,,,,Above the Break 3,24+ Left Center,30.62,Made,,,,,3.0,C. Sexton,1629012.0,1.0,,,,,,,,,,
18,PT10M14.00S,2024-12-07T03:13:52.0Z,1,REGULAR,turnover,traveling,[],1629028,,,1610612757,3,5,2024-12-07T03:14:01Z,180000,False,,,0,,D. Ayton traveling TURNOVER (1 TO),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,201245.0,1.0,,,,,,,,
19,PT10M01.00S,2024-12-07T03:14:16.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629012,77.08607095926413,10.294117647058822,1610612762,3,5,2024-12-07T03:14:20Z,190000,False,-199.0,163.0,1,right,MISS C. Sexton 25' 3PT,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Left Center,25.68,Missed,,,,,,,,,,,,,,,,,,
