actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-22T02:12:10.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-22T02:12:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-03-22T02:12:13.8Z,1,REGULAR,jumpball,recovered,[],1629008,,,1610612743,0,0,2025-03-22T02:12:13Z,40000,False,,,0,,Jump Ball A. Gordon vs. T. Camara: Tip to M. Porter Jr.,"[1629008, 203932, 1641739]",1610612743.0,DEN,startperiod,M. Porter Jr.,1629008.0,Porter Jr.,M. Porter Jr.,Gordon,203932.0,Camara,1641739.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-03-22T02:12:28.1Z,1,REGULAR,2pt,Jump Shot,[],203932,21.76412614980289,22.54901960784314,1610612743,0,2,2025-03-22T02:12:50Z,70000,False,137.0,152.0,1,left,A. Gordon 20' pullup Jump Shot (2 PTS),[203932],1610612743.0,DEN,pullup,,,Gordon,A. Gordon,,,,,Mid-Range,16-24 Right Center,20.49,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M17.00S,2025-03-22T02:13:08.7Z,1,REGULAR,turnover,lost ball,[],1630166,,,1610612757,0,2,2025-03-22T02:13:13Z,90000,False,,,0,,D. Avdija lost ball TURNOVER (1 TO),"[1630166, 1627750]",1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Mid-Range,8-16 Center,,,,1.0,Murray,1627750.0,,,,,,,,,,,,,,
10,PT11M17.00S,2025-03-22T02:13:08.7Z,1,REGULAR,steal,,[],1627750,,,1610612743,0,2,2025-03-22T02:13:10Z,100000,False,,,0,,J. Murray STEAL (1 STL),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M14.00S,2025-03-22T02:13:14.4Z,1,REGULAR,foul,personal,[],1631101,,,1610612743,0,2,2025-03-22T02:13:40Z,110000,False,,,0,,S. Sharpe personal FOUL (1 PF),"[1631101, 1627750]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1627534.0,1.0,0.0,Murray,1627750.0,,,,,,,,,
13,PT11M02.00S,2025-03-22T02:13:59.0Z,1,REGULAR,foul,personal,['2freethrow'],1630703,,,1610612743,0,2,2025-03-22T02:14:10Z,130000,False,,,0,,S. Henderson shooting personal FOUL (1 PF) (Gordon 2 FT),"[1630703, 203932]",1610612757.0,POR,shooting,,,Henderson,S. Henderson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202058.0,1.0,0.0,Gordon,203932.0,,,,,,,,,
15,PT11M02.00S,2025-03-22T02:14:20.0Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203932,,,1610612743,0,3,2025-03-22T02:14:20Z,150000,False,,,0,,A. Gordon Free Throw 1 of 2 (3 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
16,PT11M02.00S,2025-03-22T02:14:30.2Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203932,,,1610612743,0,4,2025-03-22T02:14:30Z,160000,False,,,0,,A. Gordon Free Throw 2 of 2 (4 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
17,PT10M49.00S,2025-03-22T02:14:44.3Z,1,REGULAR,3pt,Jump Shot,[],1630703,67.88764783180025,66.17647058823529,1610612757,3,4,2025-03-22T02:14:49Z,170000,False,81.0,249.0,1,right,S. Henderson 26' 3PT  (3 PTS) (T. Camara 1 AST),"[1630703, 1641739]",1610612757.0,POR,,,,Henderson,S. Henderson,,,,,Above the Break 3,24+ Center,26.22,Made,3.0,,,,,,,,,T. Camara,1641739.0,1.0,,,,,,
19,PT10M36.00S,2025-03-22T02:14:57.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,7.5722733245729295,46.81372549019608,1610612743,3,6,2025-03-22T02:15:01Z,190000,False,16.0,19.0,1,left,R. Westbrook driving finger roll Layup (2 PTS),[201566],1610612743.0,DEN,driving finger roll,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,2.45,Made,2.0,,,,,,,,,,,,,,,,,
20,PT10M21.00S,2025-03-22T02:15:14.6Z,1,REGULAR,turnover,traveling,[],1630703,,,1610612757,3,6,2025-03-22T02:15:19Z,200000,False,,,0,,S. Henderson traveling TURNOVER (1 TO),[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,In The Paint (Non-RA),0-8 Center,,,,1.0,,,202007.0,,,,,,,,,,,,,
