actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-12-02T02:11:44.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-02T02:11:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-12-02T02:11:47.1Z,1,REGULAR,jumpball,recovered,[],203924,,,1610612757,0,0,2024-12-02T02:11:47Z,40000,False,,,0,,Jump Ball D. Ayton vs. D. Gafford: Tip to J. Grant,"[203924, 1629028, 1629655]",1610612757.0,POR,startperiod,J. Grant,203924.0,Grant,J. Grant,Ayton,1629028.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2024-12-02T02:11:55.6Z,1,REGULAR,turnover,bad pass,[],1631101,,,1610612757,0,0,2024-12-02T02:11:59Z,70000,False,,,0,,S. Sharpe bad pass TURNOVER (1 TO),"[1631101, 1629029]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Right Center,1.0,Dončić,1629029.0,,,,,,,,,,,,,,,
8,PT11M48.00S,2024-12-02T02:11:55.6Z,1,REGULAR,steal,,[],1629029,,,1610612742,0,0,2024-12-02T02:11:57Z,80000,False,,,0,,L. Dončić STEAL (1 STL),[1629029],1610612742.0,DAL,,,,Dončić,L. Dončić,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,
9,PT11M44.00S,2024-12-02T02:12:00.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630702,5.075558475689881,52.450980392156865,1610612742,0,2,2024-12-02T02:12:19Z,90000,False,-12.0,-5.0,1,left,J. Hardy running alley-oop Layup (2 PTS) (L. Dončić 1 AST),"[1630702, 1629029]",1610612742.0,DAL,running alley-oop,,,Hardy,J. Hardy,,,,,Restricted Area,0-8 Center,,,,1.32,Made,2.0,L. Dončić,1629029.0,1.0,,,,,,,,,
11,PT11M26.00S,2024-12-02T02:12:19.4Z,1,REGULAR,3pt,Jump Shot,[],1641739,93.11760840998686,3.6764705882352944,1610612757,0,2,2024-12-02T02:12:59Z,110000,False,-232.0,12.0,1,right,MISS T. Camara 3PT,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Left Corner 3,24+ Left,,,,23.19,Missed,,,,,,,,,,,,,
12,PT11M23.00S,2024-12-02T02:12:22.4Z,1,REGULAR,rebound,defensive,[],1629656,,,1610612742,0,2,2024-12-02T02:12:59Z,120000,False,,,0,,Q. Grimes REBOUND (Off:0 Def:1),[1629656],1610612742.0,DAL,,,,Grimes,Q. Grimes,,,,,Left Corner 3,24+ Left,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,
13,PT11M18.00S,2024-12-02T02:12:28.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630702,33.98488830486202,19.11764705882353,1610612742,0,2,2024-12-02T02:13:24Z,130000,False,154.0,267.0,1,left,MISS J. Hardy 30' running pullup 3PT,[1630702],1610612742.0,DAL,running pullup,,,Hardy,J. Hardy,,,,,Above the Break 3,24+ Right Center,,,,30.84,Missed,,,,,,,,,,,,,
14,PT11M15.00S,2024-12-02T02:12:31.0Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,0,2,2024-12-02T02:13:37Z,140000,False,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,
15,PT11M10.00S,2024-12-02T02:12:36.4Z,1,REGULAR,turnover,double dribble,[],1629014,,,1610612757,0,2,2024-12-02T02:12:42Z,150000,False,,,0,,A. Simons double dribble TURNOVER (1 TO),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,In The Paint (Non-RA),0-8 Center,1.0,,,,,,,,,,,,,202007.0,,,,
16,PT10M50.00S,2024-12-02T02:13:07.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629023,6.701708278580824,28.653492647058826,1610612742,0,2,2024-12-02T02:14:46Z,160000,False,107.0,10.0,1,left,MISS P. Washington 10' turnaround Shot,[1629023],1610612742.0,DAL,turnaround,,,Washington,P. Washington,,,,,Mid-Range,8-16 Right,,,,10.72,Missed,,,,,,,,,,,,,
17,PT10M48.00S,2024-12-02T02:13:09.7Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,0,2,2024-12-02T02:24:42Z,170000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Right,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,
