actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2025-02-21T03:11:51.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-21T03:11:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-02-21T03:11:53.9Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2025-02-21T03:11:53Z,40000,False,,,0,,Jump Ball J. Hayes vs. D. Clingan: Tip to L. James,"[2544, 1629637, 1642270]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Hayes,1629637.0,Clingan,1642270.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-02-21T03:12:08.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630559,6.389618922470433,45.34313725490196,1610612747,0,0,2025-02-21T04:03:12Z,70000,False,23.0,8.0,1,left,MISS A. Reaves driving Layup - blocked,"[1630559, 1642270]",1610612747.0,LAL,driving,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,2.45,Missed,Clingan,1642270.0,,,,,,,,,,,,,,,,
8,PT11M42.00S,2025-02-21T03:12:08.2Z,1,REGULAR,block,,[],1642270,,,1610612747,0,0,2025-02-21T03:12:10Z,80000,False,,,0,,D. Clingan BLOCK (1 BLK),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2025-02-21T03:12:12.2Z,1,REGULAR,rebound,offensive,[],1630559,,,1610612747,0,0,2025-02-21T03:12:14Z,90000,False,,,0,,A. Reaves REBOUND (Off:1 Def:0),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,
10,PT11M34.00S,2025-02-21T03:12:15.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629637,6.389618922470433,54.41176470588235,1610612747,0,0,2025-02-21T03:12:47Z,100000,False,-22.0,8.0,1,left,MISS J. Hayes cutting Layup - blocked,"[1629637, 203924]",1610612747.0,LAL,cutting,,,Hayes,J. Hayes,,,,,Restricted Area,0-8 Center,2.34,Missed,Grant,203924.0,,,,,,,,,,,,,,,,
11,PT11M34.00S,2025-02-21T03:12:15.5Z,1,REGULAR,block,,[],203924,,,1610612747,0,0,2025-02-21T03:15:10Z,110000,False,,,0,,J. Grant BLOCK (1 BLK),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M31.00S,2025-02-21T03:12:18.5Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,0,0,2025-02-21T03:12:20Z,120000,False,,,0,,D. Clingan REBOUND (Off:0 Def:1),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
13,PT11M30.00S,2025-02-21T03:12:22.6Z,1,REGULAR,foul,personal,['2freethrow'],1630559,,,1610612757,0,0,2025-02-21T03:12:36Z,130000,False,,,0,,A. Reaves shooting personal FOUL (1 PF) (Simons 2 FT),"[1630559, 1629014]",1610612747.0,LAL,shooting,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,,,,,,,,,2882.0,1.0,0.0,Simons,1629014.0,,,,,,,
15,PT11M30.00S,2025-02-21T03:12:48.9Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629014,,,1610612757,0,0,2025-02-21T03:12:48Z,150000,False,,,0,,MISS A. Simons Free Throw 1 of 2,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
