actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-26T23:12:04.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-26T23:12:04Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-01-26T23:12:08.3Z,1,REGULAR,jumpball,recovered,[],1630166,,,1610612757,0,0,2025-01-26T23:12:08Z,40000,False,,,0,,Jump Ball D. Clingan vs. I. Hartenstein: Tip to D. Avdija,"[1630166, 1642270, 1628392]",1610612757.0,POR,startperiod,D. Avdija,1630166.0,Avdija,D. Avdija,Clingan,1642270.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2025-01-26T23:12:44.1Z,1,REGULAR,3pt,Jump Shot,[],1641739,69.07030223390277,27.941176470588236,1610612757,3,0,2025-01-26T23:12:50Z,80000,False,-110.0,238.0,1,right,T. Camara 26' 3PT pullup (3 PTS),[1641739],1610612757.0,POR,pullup,,,Camara,T. Camara,,,,,Above the Break 3,24+ Left Center,26.25,Made,3.0,,,,,,,,,,,,,,,,,
9,PT11M17.00S,2025-01-26T23:13:01.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631114,19.267411300919843,48.28431372549019,1610612760,3,0,2025-01-26T23:13:12Z,90000,False,9.0,129.0,1,left,MISS J. Williams 12' pullup Shot,[1631114],1610612760.0,OKC,pullup,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Center,12.89,Missed,,,,,,,,,,,,,,,,,,
10,PT11M17.00S,2025-01-26T23:13:01.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,3,0,2025-01-26T23:13:12Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,9.0,,,,,,,,,,,,,,,,
11,PT11M17.00S,2025-01-26T23:13:07.0Z,1,REGULAR,foul,personal,[],203924,,,1610612760,3,0,2025-01-26T23:13:20Z,110000,False,,,0,,J. Grant loose ball personal FOUL (1 PF),"[203924, 1628392]",1610612757.0,POR,loose ball,,,Grant,J. Grant,,,,,In The Paint (Non-RA),0-8 Center,,,,,2003.0,1.0,0.0,Hartenstein,1628392.0,,,,,,,,,,,
13,PT11M03.00S,2025-01-26T23:13:34.7Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1631114,28.991458607095925,57.59803921568627,1610612760,3,0,2025-01-26T23:13:41Z,130000,False,-38.0,220.0,1,left,MISS J. Williams 22' pullup Shot,[1631114],1610612760.0,OKC,pullup,,,Williams,J. Williams,,,,,Mid-Range,16-24 Center,22.33,Missed,,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2025-01-26T23:13:37.7Z,1,REGULAR,rebound,offensive,[],1641717,,,1610612760,3,0,2025-01-26T23:13:41Z,140000,False,,,0,,C. Wallace REBOUND (Off:1 Def:0),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Mid-Range,16-24 Center,,,,13.0,,,,,,1.0,0.0,1.0,,,,,,,,
15,PT10M54.00S,2025-01-26T23:13:43.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628983,6.258212877792378,96.07843137254902,1610612760,3,0,2025-01-26T23:13:53Z,150000,False,-230.0,6.0,1,left,MISS S. Gilgeous-Alexander 3PT,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Left Corner 3,24+ Left,23.05,Missed,,,,,,,,,,,,,,,,,,
16,PT10M51.00S,2025-01-26T23:13:46.9Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,3,0,2025-01-26T23:13:53Z,160000,False,,,0,,T. Camara REBOUND (Off:0 Def:1),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Left Corner 3,24+ Left,,,,15.0,,,,,,1.0,1.0,0.0,,,,,,,,
17,PT10M36.00S,2025-01-26T23:14:01.9Z,1,REGULAR,3pt,Jump Shot,[],1641739,71.96123521681997,74.50980392156863,1610612757,6,0,2025-01-26T23:14:08Z,170000,False,123.0,211.0,1,right,T. Camara 24' 3PT  (6 PTS) (J. Grant 1 AST),"[1641739, 203924]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Right Center,24.41,Made,6.0,,,,,,,,,,J. Grant,203924.0,1.0,,,,,
19,PT10M17.00S,2025-01-26T23:14:21.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641717,8.360709592641262,57.59803921568627,1610612760,6,0,2025-01-26T23:14:30Z,190000,False,-38.0,26.0,1,left,MISS C. Wallace driving Layup,[1641717],1610612760.0,OKC,driving,,,Wallace,C. Wallace,,,,,In The Paint (Non-RA),0-8 Center,4.61,Missed,,,,,,,,,,,,,,,,,,
