actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-04-13T19:43:37.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-13T19:43:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-04-13T19:43:39.9Z,1,REGULAR,jumpball,recovered,[],1641739,,,1610612757,0,0,2025-04-13T19:43:39Z,40000,False,,,0,,Jump Ball D. Clingan vs. A. Len: Tip to T. Camara,"[1641739, 1642270, 203458]",1610612757.0,POR,startperiod,T. Camara,1641739.0,Camara,T. Camara,Clingan,1642270.0,Len,203458.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-04-13T19:43:53.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629680,88.04204993429698,54.798560049019606,1610612757,0,0,2025-04-13T19:44:10Z,70000,False,24.0,60.0,1,right,MISS M. Thybulle 6' driving Layup,[1629680],1610612757.0,POR,driving,,,Thybulle,M. Thybulle,,,,,In The Paint (Non-RA),0-8 Center,6.45,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2025-04-13T19:43:55.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,0,0,2025-04-13T19:44:10Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2025-04-13T19:44:21.6Z,1,REGULAR,3pt,Jump Shot,[],1642261,26.54402102496715,87.9672181372549,1610612747,0,0,2025-04-13T19:44:45Z,100000,False,-190.0,197.0,1,left,MISS D. Knecht 27' 3PT,[1642261],1610612747.0,LAL,,,,Knecht,D. Knecht,,,,,Above the Break 3,24+ Left Center,27.36,Missed,,,,,,,,,,,,,,,,,,
11,PT11M23.00S,2025-04-13T19:44:23.6Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,0,0,2025-04-13T19:44:45Z,110000,False,,,0,,D. Clingan REBOUND (Off:0 Def:1),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Left Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M05.00S,2025-04-13T19:44:40.4Z,1,REGULAR,3pt,Jump Shot,[],1641739,66.98628449408673,32.329963235294116,1610612757,3,0,2025-04-13T19:45:07Z,120000,False,-88.0,258.0,1,right,T. Camara 27' 3PT pullup (3 PTS) (D. Clingan 1 AST),"[1641739, 1642270]",1610612757.0,POR,pullup,,,Camara,T. Camara,,,,,Above the Break 3,24+ Left Center,27.25,Made,,,,,3.0,D. Clingan,1642270.0,1.0,,,,,,,,,,
15,PT10M40.00S,2025-04-13T19:45:18.7Z,1,REGULAR,turnover,bad pass,[],1642355,,,1610612747,3,0,2025-04-13T19:45:42Z,150000,False,,,0,,B. James bad pass TURNOVER (1 TO),"[1642355, 1630625]",1610612747.0,LAL,,,,James,B. James,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,Banton,1630625.0,,,,,,,
16,PT10M40.00S,2025-04-13T19:45:18.7Z,1,REGULAR,steal,,[],1630625,,,1610612757,3,0,2025-04-13T19:45:20Z,160000,False,,,0,,D. Banton STEAL (1 STL),[1630625],1610612757.0,POR,,,,Banton,D. Banton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M34.00S,2025-04-13T19:45:23.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630625,87.3850197109067,54.044117647058826,1610612757,5,0,2025-04-13T19:45:54Z,170000,False,20.0,66.0,1,right,D. Banton 6' running Layup (2 PTS),[1630625],1610612757.0,POR,running,,,Banton,D. Banton,,,,,In The Paint (Non-RA),0-8 Center,6.91,Made,,,,,2.0,,,,,,,,,,,,,
18,PT10M13.00S,2025-04-13T19:45:47.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629003,16.162943495400782,52.57352941176471,1610612747,5,0,2025-04-13T19:46:15Z,180000,False,-13.0,99.0,1,left,MISS S. Milton 10' driving floating Shot,[1629003],1610612747.0,LAL,driving floating,,,Milton,S. Milton,,,,,In The Paint (Non-RA),8-16 Center,10.02,Missed,,,,,,,,,,,,,,,,,,
19,PT10M11.00S,2025-04-13T19:45:49.1Z,1,REGULAR,rebound,offensive,[],1629003,,,1610612747,5,0,2025-04-13T19:50:08Z,190000,False,,,0,,S. Milton REBOUND (Off:1 Def:0),[1629003],1610612747.0,LAL,,,,Milton,S. Milton,,,,,In The Paint (Non-RA),8-16 Center,,,18.0,1.0,0.0,1.0,,,,,,,,,,,,,,
36,PT10M11.00S,2025-04-13T19:45:52.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629003,9.247700394218143,46.568627450980394,1610612747,5,0,2025-04-13T19:50:35Z,195000,False,17.0,34.0,1,left,MISS S. Milton tip Layup - blocked,"[1629003, 1631200]",1610612747.0,LAL,tip,,,Milton,S. Milton,,,,,Restricted Area,0-8 Center,3.85,Missed,,,,,,,,,,,,Murray,1631200.0,,,,,
37,PT10M11.00S,2025-04-13T19:45:52.1Z,1,REGULAR,block,,[],1631200,,,1610612747,5,0,2025-04-13T19:50:35Z,197500,False,,,0,,K. Murray BLOCK (1 BLK),[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
38,PT10M10.00S,2025-04-13T19:45:53.1Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,5,0,2025-04-13T19:50:35Z,198750,False,,,0,,T. Camara REBOUND (Off:0 Def:1),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M02.00S,2025-04-13T19:45:57.2Z,1,REGULAR,turnover,out-of-bounds,[],1629680,,,1610612757,5,0,2025-04-13T19:46:47Z,200000,False,,,0,,M. Thybulle lost ball out-of-bounds TURNOVER (1 TO),[1629680],1610612757.0,POR,lost ball,,,Thybulle,M. Thybulle,,,,,Left Corner 3,24+ Left,,,,,,,,,,,1.0,,,,,202007.0,,,,
21,PT09M48.00S,2025-04-13T19:46:22.6Z,1,REGULAR,turnover,traveling,[],1642261,,,1610612747,5,0,2025-04-13T19:47:00Z,210000,False,,,0,,D. Knecht traveling TURNOVER (1 TO),[1642261],1610612747.0,LAL,,,,Knecht,D. Knecht,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1.0,,,,,202007.0,,,,
22,PT09M38.00S,2025-04-13T19:46:43.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631200,93.03547963206307,38.45741421568627,1610612757,5,0,2025-04-13T19:47:19Z,220000,False,-58.0,13.0,1,right,MISS K. Murray driving Layup - blocked,"[1631200, 1642261]",1610612757.0,POR,driving,,,Murray,K. Murray,,,,,In The Paint (Non-RA),0-8 Center,5.91,Missed,,,,,,,,,,,,Knecht,1642261.0,,,,,
23,PT09M38.00S,2025-04-13T19:46:43.7Z,1,REGULAR,block,,[],1642261,,,1610612757,5,0,2025-04-13T19:46:45Z,230000,False,,,0,,D. Knecht BLOCK (1 BLK),[1642261],1610612747.0,LAL,,,,Knecht,D. Knecht,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
24,PT09M36.00S,2025-04-13T19:46:45.7Z,1,REGULAR,rebound,defensive,[],1642261,,,1610612747,5,0,2025-04-13T19:47:19Z,240000,False,,,0,,D. Knecht REBOUND (Off:0 Def:1),[1642261],1610612747.0,LAL,,,,Knecht,D. Knecht,,,,,In The Paint (Non-RA),0-8 Center,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT09M25.00S,2025-04-13T19:46:55.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642355,19.316688567674106,44.73039215686274,1610612747,5,0,2025-04-13T19:47:35Z,250000,False,26.0,129.0,1,left,MISS B. James 13' pullup Shot,[1642355],1610612747.0,LAL,pullup,,,James,B. James,,,,,In The Paint (Non-RA),8-16 Center,13.18,Missed,,,,,,,,,,,,,,,,,,
26,PT09M23.00S,2025-04-13T19:46:57.7Z,1,REGULAR,rebound,defensive,[],1630625,,,1610612757,5,0,2025-04-13T19:47:35Z,260000,False,,,0,,D. Banton REBOUND (Off:0 Def:1),[1630625],1610612757.0,POR,,,,Banton,D. Banton,,,,,In The Paint (Non-RA),8-16 Center,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,
