actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-02-05T03:11:50.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-05T03:11:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-02-05T03:11:53.0Z,1,REGULAR,jumpball,recovered,[],203924,,,1610612757,0,0,2025-02-05T03:11:53Z,40000,False,,,0,,Jump Ball D. Ayton vs. M. Turner: Tip to J. Grant,"[203924, 1629028, 1626167]",1610612757.0,POR,startperiod,J. Grant,203924.0,Grant,J. Grant,Ayton,1629028.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2025-02-05T03:12:10.2Z,1,REGULAR,3pt,Jump Shot,[],1629014,30.305519053876477,66.17647058823529,1610612757,3,0,2025-02-05T03:12:15Z,70000,False,-81.0,232.0,1,left,A. Simons 24' 3PT pullup (3 PTS),[1629014],1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,24.61,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2025-02-05T03:12:25.2Z,1,REGULAR,turnover,out-of-bounds,[],1627783,,,1610612754,3,0,2025-02-05T03:12:30Z,80000,False,,,0,,P. Siakam bad pass out-of-bounds TURNOVER (1 TO),[1627783],1610612754.0,IND,bad pass,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Right Center,,,,101284.0,1.0,,,,,,,,,,,,,,,
9,PT11M06.00S,2025-02-05T03:12:52.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629014,19.004599211563733,28.921568627450984,1610612757,3,0,2025-02-05T03:14:14Z,90000,False,105.0,126.0,1,left,MISS A. Simons 16' driving floating Shot,[1629014],1610612757.0,POR,driving floating,,,Simons,A. Simons,,,,,Mid-Range,16-24 Right Center,16.43,Missed,,,,,,,,,,,,,,,,,,
10,PT11M04.00S,2025-02-05T03:12:54.6Z,1,REGULAR,rebound,offensive,[],1641739,,,1610612757,3,0,2025-02-05T03:12:57Z,100000,False,,,0,,T. Camara REBOUND (Off:1 Def:0),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Mid-Range,16-24 Right Center,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,
11,PT11M01.00S,2025-02-05T03:12:58.4Z,1,REGULAR,turnover,bad pass,[],1641739,,,1610612757,3,0,2025-02-05T03:13:03Z,110000,False,,,0,,T. Camara bad pass TURNOVER (1 TO),"[1641739, 1629614]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,,,,,1.0,,,,,Nembhard,1629614.0,,,,,,,,,
12,PT11M01.00S,2025-02-05T03:12:58.4Z,1,REGULAR,steal,,[],1629614,,,1610612754,3,0,2025-02-05T03:12:59Z,120000,False,,,0,,A. Nembhard STEAL (1 STL),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT10M54.00S,2025-02-05T03:13:04.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627783,92.85479632063075,3.9215686274509802,1610612754,3,0,2025-02-05T03:13:12Z,130000,False,-230.0,15.0,1,right,MISS P. Siakam 3PT,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Left Corner 3,24+ Left,23.09,Missed,,,,,,,,,,,,,,,,,,
14,PT10M51.00S,2025-02-05T03:13:07.7Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,3,0,2025-02-05T03:13:12Z,140000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Left Corner 3,24+ Left,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT10M42.00S,2025-02-05T03:13:19.4Z,1,REGULAR,foul,personal,['2freethrow'],1626167,,,1610612757,3,0,2025-02-05T03:13:37Z,150000,False,,,0,,M. Turner shooting personal FOUL (1 PF) (Grant 2 FT),"[1626167, 203924]",1610612754.0,IND,shooting,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,1629178.0,,,,,,,,1.0,0.0,Grant,203924.0,,,,,
17,PT10M42.00S,2025-02-05T03:13:46.9Z,1,REGULAR,freethrow,1 of 2,[],203924,,,1610612757,4,0,2025-02-05T03:13:46Z,170000,False,,,0,,J. Grant Free Throw 1 of 2 (1 PTS),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
18,PT10M42.00S,2025-02-05T03:14:01.4Z,1,REGULAR,freethrow,2 of 2,[],203924,,,1610612757,5,0,2025-02-05T03:14:01Z,180000,False,,,0,,J. Grant Free Throw 2 of 2 (2 PTS),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
19,PT10M31.00S,2025-02-05T03:14:16.1Z,1,REGULAR,turnover,out-of-bounds,[],1631097,,,1610612754,5,0,2025-02-05T03:14:24Z,190000,False,,,0,,B. Mathurin lost ball out-of-bounds TURNOVER (1 TO),[1631097],1610612754.0,IND,lost ball,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,,,,1629178.0,1.0,,,,,,,,,,,,,,,
20,PT10M13.00S,2025-02-05T03:14:41.8Z,1,REGULAR,foul,personal,['2freethrow'],1631097,,,1610612757,5,0,2025-02-05T03:14:52Z,200000,False,,,0,,B. Mathurin shooting personal FOUL (1 PF) (Camara 2 FT),"[1631097, 1641739]",1610612754.0,IND,shooting,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,,,,1628159.0,,,,,,,,1.0,0.0,Camara,1641739.0,,,,,
22,PT10M13.00S,2025-02-05T03:15:05.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1641739,,,1610612757,6,0,2025-02-05T03:15:05Z,220000,False,,,0,,T. Camara Free Throw 1 of 2 (1 PTS),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
23,PT10M13.00S,2025-02-05T03:15:19.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1641739,,,1610612757,7,0,2025-02-05T03:15:19Z,230000,False,,,0,,T. Camara Free Throw 2 of 2 (2 PTS),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
24,PT09M57.00S,2025-02-05T03:15:39.1Z,1,REGULAR,2pt,Jump Shot,[],1629614,76.2976346911958,47.794117647058826,1610612754,7,2,2025-02-05T03:15:43Z,240000,False,-11.0,170.0,1,right,A. Nembhard 17' step back Jump Shot (2 PTS),[1629614],1610612754.0,IND,step back,,,Nembhard,A. Nembhard,,,,,Mid-Range,16-24 Center,17.07,Made,2.0,,,,,,,,,,,,,,,,,
25,PT09M43.00S,2025-02-05T03:15:53.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,6.389618922470433,50.245098039215684,1610612757,9,2,2025-02-05T03:15:57Z,250000,False,-1.0,8.0,1,left,D. Ayton cutting DUNK (2 PTS) (D. Avdija 1 AST),"[1629028, 1630166]",1610612757.0,POR,cutting,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,0.77,Made,2.0,,,,,,,,,,,,,D. Avdija,1630166.0,1.0,,
27,PT09M20.00S,2025-02-05T03:16:16.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,90.09526938239159,59.55882352941176,1610612754,9,2,2025-02-05T03:17:38Z,270000,False,48.0,41.0,1,right,MISS T. Haliburton 6' driving floating bank Shot,[1630169],1610612754.0,IND,driving floating bank,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),0-8 Center,6.27,Missed,,,,,,,,,,,,,,,,,,
28,PT09M17.00S,2025-02-05T03:16:19.7Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612754,9,2,2025-02-05T03:16:20Z,280000,False,,,0,,P. Siakam REBOUND (Off:1 Def:0),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,,,,27.0,1.0,0.0,1.0,,,,,,,,,,,
29,PT09M15.00S,2025-02-05T03:16:23.5Z,1,REGULAR,foul,personal,['2freethrow'],203924,,,1610612754,9,2,2025-02-05T03:16:33Z,290000,False,,,0,,J. Grant shooting personal FOUL (1 PF) (Nembhard 2 FT),"[203924, 1629614]",1610612757.0,POR,shooting,,,Grant,J. Grant,,,,,In The Paint (Non-RA),8-16 Center,,,,101284.0,,,,,,,,1.0,0.0,Nembhard,1629614.0,,,,,
31,PT09M15.00S,2025-02-05T03:16:52.6Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629614,,,1610612754,9,2,2025-02-05T03:16:52Z,310000,False,,,0,,MISS A. Nembhard Free Throw 1 of 2,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
32,PT09M15.00S,2025-02-05T03:16:52.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,9,2,2025-02-05T03:16:52Z,320000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,
33,PT09M15.00S,2025-02-05T03:17:07.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629614,,,1610612754,9,3,2025-02-05T03:17:07Z,330000,False,,,0,,A. Nembhard Free Throw 2 of 2 (3 PTS),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
34,PT09M04.00S,2025-02-05T03:17:21.9Z,1,REGULAR,turnover,lost ball,[],1630166,,,1610612757,9,3,2025-02-05T03:17:26Z,340000,False,,,0,,D. Avdija lost ball TURNOVER (1 TO),"[1630166, 1630169]",1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Mid-Range,16-24 Left Center,,,,,1.0,,,,,Haliburton,1630169.0,,,,,,,,,
35,PT09M04.00S,2025-02-05T03:17:21.9Z,1,REGULAR,steal,,[],1630169,,,1610612754,9,3,2025-02-05T03:17:23Z,350000,False,,,0,,T. Haliburton STEAL (1 STL),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
36,PT09M00.00S,2025-02-05T03:17:26.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627783,92.72339027595268,49.754901960784316,1610612754,9,5,2025-02-05T03:17:35Z,360000,False,-1.0,16.0,1,right,P. Siakam running Layup (2 PTS) (T. Haliburton 1 AST),"[1627783, 1630169]",1610612754.0,IND,running,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,1.59,Made,2.0,,,,,,,,,,,,,T. Haliburton,1630169.0,1.0,,
