actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-01-31T03:12:25.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-31T03:12:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-31T03:12:27.5Z,1,REGULAR,jumpball,recovered,[],1631094,,,1610612753,0,0,2025-01-31T03:12:27Z,40000,False,,,0,,Jump Ball G. Bitadze vs. D. Ayton: Tip to P. Banchero,"[1631094, 1629048, 1629028]",1610612753.0,ORL,startperiod,P. Banchero,1631094.0,Banchero,P. Banchero,Bitadze,1629048.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2025-01-31T03:12:44.9Z,1,REGULAR,2pt,Jump Shot,[],1631094,7.440867279894875,77.20588235294117,1610612753,0,2,2025-01-31T03:13:11Z,70000,False,-136.0,17.0,1,left,P. Banchero 13' pullup Jump Shot (2 PTS),[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Left,13.71,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2025-01-31T03:13:03.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,90.62089356110381,49.754901960784316,1610612757,0,2,2025-01-31T03:13:08Z,80000,False,-1.0,36.0,1,right,MISS D. Avdija driving Layup - blocked,"[1630166, 1629048]",1610612757.0,POR,driving,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,3.57,Missed,,Bitadze,1629048.0,,,,,,,,,,,,,,,
9,PT11M21.00S,2025-01-31T03:13:03.1Z,1,REGULAR,block,,[],1629048,,,1610612757,0,2,2025-01-31T03:13:05Z,90000,False,,,0,,G. Bitadze BLOCK (1 BLK),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2025-01-31T03:13:05.1Z,1,REGULAR,rebound,defensive,[],203484,,,1610612753,0,2,2025-01-31T03:13:08Z,100000,False,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Restricted Area,0-8 Center,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M15.00S,2025-01-31T03:13:09.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631094,7.30946123521682,43.872549019607845,1610612753,0,2,2025-01-31T03:13:15Z,110000,False,31.0,16.0,1,left,MISS P. Banchero running Layup,[1631094],1610612753.0,ORL,running,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,3.46,Missed,,,,,,,,,,,,,,,,,,
12,PT11M12.00S,2025-01-31T03:13:12.9Z,1,REGULAR,rebound,offensive,[],1629048,,,1610612753,0,2,2025-01-31T03:13:15Z,120000,False,,,0,,G. Bitadze REBOUND (Off:1 Def:0),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,
13,PT11M12.00S,2025-01-31T03:13:12.1Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'fastbreak', 'pointsinthepaint']",1629048,5.590000152587891,50.0,1610612753,0,4,2025-01-31T03:16:10Z,130000,False,0.0,0.0,1,left,G. Bitadze tip DUNK (2 PTS),[1629048],1610612753.0,ORL,tip,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M48.00S,2025-01-31T03:13:36.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,80.1084099868594,58.333333333333336,1610612757,0,4,2025-01-31T03:17:34Z,140000,False,42.0,134.0,1,right,MISS D. Ayton 14' Jump Shot,[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,14.08,Missed,,,,,,,,,,,,,,,,,,
