actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-10-27T22:12:49.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-10-27T22:12:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-10-27T22:12:52.3Z,1,REGULAR,jumpball,recovered,[],203924,,,1610612757,0,0,2024-10-27T22:12:52Z,40000,False,,,0,,Jump Ball D. Ayton vs. D. Theis: Tip to J. Grant,"[203924, 1629028, 1628464]",1610612757.0,POR,startperiod,J. Grant,203924.0,Grant,J. Grant,Ayton,1629028.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2024-10-27T22:13:08.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203924,7.30946123521682,50.0,1610612757,0,0,2024-10-27T22:13:15Z,70000,False,0.0,16.0,1,left,MISS J. Grant driving floating Shot,[203924],1610612757.0,POR,driving floating,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,1.62,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2024-10-27T22:13:09.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,0,0,2024-10-27T22:13:15Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Restricted Area,0-8 Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2024-10-27T22:13:43.9Z,1,REGULAR,2pt,Jump Shot,[],1627742,73.14388961892247,50.73529411764706,1610612740,0,2,2024-10-27T22:13:50Z,100000,False,4.0,200.0,1,right,B. Ingram 19' pullup Jump Shot (2 PTS) (Z. Williamson 1 AST),"[1627742, 1629627]",1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Center,19.99,Made,,2.0,Z. Williamson,1629627.0,1.0,,,,,,,,,,,,,
12,PT10M55.00S,2024-10-27T22:14:08.3Z,1,REGULAR,2pt,Jump Shot,[],1629028,22.946780551905388,78.67647058823529,1610612757,0,2,2024-10-27T22:14:13Z,120000,False,-143.0,163.0,1,left,MISS D. Ayton 21' Jump Shot,[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Left Center,21.73,Missed,,,,,,,,,,,,,,,,,,
13,PT10M54.00S,2024-10-27T22:14:09.3Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,0,2,2024-10-27T22:14:13Z,130000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Left Center,,,12.0,,,,,1.0,1.0,0.0,,,,,,,,,,
14,PT10M50.00S,2024-10-27T22:14:14.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203468,74.98357424441524,87.5,1610612740,0,2,2024-10-27T22:14:36Z,140000,False,188.0,183.0,1,right,MISS C. McCollum 26' pullup 3PT,[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,26.18,Missed,,,,,,,,,,,,,,,,,,
15,PT10M48.00S,2024-10-27T22:14:16.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,0,2,2024-10-27T22:14:36Z,150000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Above the Break 3,24+ Right Center,,,14.0,,,,,,,,,,,,,,,,,
16,PT10M48.00S,2024-10-27T22:14:20.2Z,1,REGULAR,foul,personal,[],203924,,,1610612740,0,2,2024-10-27T22:14:27Z,160000,False,,,0,,J. Grant loose ball personal FOUL (1 PF),"[203924, 1628464]",1610612757.0,POR,loose ball,,,Grant,J. Grant,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1199.0,1.0,0.0,Theis,1628464.0,,,,,
