actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-20T02:12:01.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-20T02:12:01Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-20T02:12:04.0Z,1,REGULAR,jumpball,recovered,[],1628991,,,1610612763,0,0,2025-03-20T02:12:04Z,40000,False,,,0,,Jump Ball Z. Edey vs. D. Clingan: Tip to J. Jackson Jr.,"[1628991, 1641744, 1642270]",1610612763.0,MEM,startperiod,J. Jackson Jr.,1628991.0,Jackson Jr.,J. Jackson Jr.,Edey,1641744.0,Clingan,1642270.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-03-20T02:12:20.6Z,1,REGULAR,turnover,out-of-bounds,[],1628991,,,1610612763,0,0,2025-03-20T02:12:27Z,70000,False,,,0,,J. Jackson Jr. step out-of-bounds TURNOVER (1 TO),[1628991],1610612763.0,MEM,step,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Right Center,1830.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M27.00S,2025-03-20T02:12:44.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641739,31.750985545335087,41.66666666666667,1610612757,3,0,2025-03-20T02:12:49Z,80000,False,42.0,246.0,1,left,T. Camara 24' 3PT  (3 PTS) (S. Sharpe 1 AST),"[1641739, 1631101]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Center,,,24.95,Made,3.0,S. Sharpe,1631101.0,1.0,,,,,,,,,,,,
11,PT11M08.00S,2025-03-20T02:13:09.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642377,89.96386333771353,59.80392156862745,1610612763,3,0,2025-03-20T02:13:33Z,110000,False,49.0,42.0,1,right,MISS J. Wells 6' Layup,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,In The Paint (Non-RA),0-8 Center,,,6.44,Missed,,,,,,,,,,,,,,,,
12,PT11M07.00S,2025-03-20T02:13:10.0Z,1,REGULAR,rebound,offensive,[],1642377,,,1610612763,3,0,2025-03-20T02:13:51Z,120000,False,,,0,,J. Wells REBOUND (Off:1 Def:0),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,
13,PT11M07.00S,2025-03-20T02:13:13.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1642377,94.40999984741211,50.0,1610612763,3,2,2025-03-20T02:13:57Z,130000,False,0.0,0.0,1,right,J. Wells tip Layup (2 PTS),[1642377],1610612763.0,MEM,tip,,,Wells,J. Wells,,,,,Restricted Area,0-8 Center,,,0.0,Made,2.0,,,,,,,,,,,,,,,
14,PT10M47.00S,2025-03-20T02:13:28.9Z,1,REGULAR,3pt,Jump Shot,[],1629014,35.8245729303548,42.40196078431372,1610612757,3,2,2025-03-20T02:13:34Z,140000,False,38.0,284.0,1,left,MISS A. Simons 28' 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Center,,,28.68,Missed,,,,,,,,,,,,,,,,
15,PT10M44.00S,2025-03-20T02:13:32.1Z,1,REGULAR,rebound,offensive,[],1630166,,,1610612757,3,2,2025-03-20T02:13:32Z,150000,False,,,0,,D. Avdija REBOUND (Off:1 Def:0),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Center,,,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,
16,PT10M44.00S,2025-03-20T02:13:33.9Z,1,REGULAR,foul,personal,['2freethrow'],1641744,,,1610612757,3,2,2025-03-20T02:13:46Z,160000,False,,,0,,Z. Edey shooting personal FOUL (1 PF) (Avdija 2 FT),"[1641744, 1630166]",1610612763.0,MEM,shooting,,,Edey,Z. Edey,,,,,Restricted Area,0-8 Center,1627961.0,,,,,,,,,,,,1.0,0.0,Avdija,1630166.0,,,,
