actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-02-23T03:13:57.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-23T03:13:57Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-02-23T03:14:00.3Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2025-02-23T03:14:00Z,40000,False,,,0,,Jump Ball M. Williams vs. D. Clingan: Tip to L. Ball,"[1630163, 1631109, 1642270]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Williams,1631109.0,Clingan,1642270.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2025-02-23T03:14:20.8Z,1,REGULAR,3pt,Jump Shot,[],1630182,92.59198423127464,95.83333333333334,1610612766,0,0,2025-02-23T03:14:26Z,70000,False,229.0,17.0,1,right,MISS J. Green 3PT,[1630182],1610612766.0,CHA,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,22.98,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2025-02-23T03:14:21.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,0,0,2025-02-23T03:14:26Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Right Corner 3,24+ Right,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2025-02-23T03:14:46.2Z,1,REGULAR,3pt,Jump Shot,[],1630166,19.92444152431012,90.93137254901961,1610612757,3,0,2025-02-23T03:14:50Z,100000,False,-205.0,135.0,1,left,D. Avdija 24' 3PT  (3 PTS) (A. Simons 1 AST),"[1630166, 1629014]",1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,24.51,Made,,3.0,A. Simons,1629014.0,1.0,,,,,,,,,,,,,
12,PT11M03.00S,2025-02-23T03:15:01.0Z,1,REGULAR,2pt,Jump Shot,[],1641733,79.71419185282524,32.1078431372549,1610612766,3,2,2025-02-23T03:15:06Z,120000,False,-89.0,138.0,1,right,N. Smith Jr. 16' fadeaway Jump Shot (2 PTS),[1641733],1610612766.0,CHA,fadeaway,,,Smith Jr.,N. Smith Jr.,,,,,Mid-Range,16-24 Left Center,16.46,Made,,2.0,,,,,,,,,,,,,,,,
13,PT10M49.00S,2025-02-23T03:15:16.0Z,1,REGULAR,3pt,Jump Shot,[],1629014,24.26084099868594,85.7843137254902,1610612757,3,2,2025-02-23T03:15:20Z,130000,False,-179.0,176.0,1,left,MISS A. Simons 25' pullup 3PT,[1629014],1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,25.07,Missed,,,,,,,,,,,,,,,,,,
14,PT10M45.00S,2025-02-23T03:15:20.0Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,3,2,2025-02-23T03:15:20Z,140000,False,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,,,13.0,,,,,1.0,1.0,0.0,,,,,,,,,,
15,PT10M36.00S,2025-02-23T03:15:28.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630163,84.70762155059133,49.01960784313725,1610612766,3,4,2025-02-23T03:15:47Z,150000,False,-5.0,91.0,1,right,L. Ball 9' driving floating Jump Shot (2 PTS),[1630163],1610612766.0,CHA,driving floating,,,Ball,L. Ball,,,,,In The Paint (Non-RA),8-16 Center,9.13,Made,,2.0,,,,,,,,,,,,,,,,
16,PT10M15.00S,2025-02-23T03:15:48.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629014,8.229303547963205,49.26470588235294,1610612757,3,4,2025-02-23T03:16:16Z,160000,False,4.0,25.0,1,left,MISS A. Simons driving Hook,[1629014],1610612757.0,POR,driving,,,Simons,A. Simons,,,,,Restricted Area,0-8 Center,2.52,Missed,,,,,,,,,,,,,,,,,,
