actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-05T02:11:17.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-05T02:11:17Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-05T02:11:20.3Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612756,0,0,2021-11-05T02:11:20Z,40000,,,0,,Jump Ball D. Ayton vs. C. Wood: Tip to C. Paul,"[101108, 1629028, 1626174]",1610612756.0,PHX,startperiod,C. Paul,101108.0,Paul,C. Paul,Ayton,1629028.0,Wood,1626174.0,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-11-05T02:11:32.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,90.48948751642575,49.01960784313725,1610612756,0,0,2021-11-05T02:11:35Z,70000,-5.0,37.0,1,right,MISS D. Ayton Hook,[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,3.72,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2021-11-05T02:11:34.1Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,0,0,2021-11-05T02:11:35Z,80000,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M35.00S,2021-11-05T02:11:41.6Z,1,REGULAR,turnover,bad pass,[],1630256,,,1610612745,0,0,2021-11-05T02:11:47Z,90000,,,0,,J. Tate bad pass TURNOVER (1 TO),"[1630256, 101108]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,1.0,Paul,101108.0,,,,,,,,,,,
10,PT11M35.00S,2021-11-05T02:11:41.6Z,1,REGULAR,steal,,[],101108,,,1610612756,0,0,2021-11-05T02:11:47Z,100000,,,0,,C. Paul STEAL (1 STL),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M23.00S,2021-11-05T02:11:52.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626164,73.80091984231275,25.245098039215684,1610612756,0,0,2021-11-05T02:11:57Z,110000,-124.0,194.0,1,right,MISS D. Booker 23' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,23.0,Missed,,,,,,,,,,,,,,,,,,
12,PT11M21.00S,2021-11-05T02:11:54.8Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,0,0,2021-11-05T02:11:57Z,120000,,,0,,C. Wood REBOUND (Off:0 Def:2),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,
13,PT11M03.00S,2021-11-05T02:12:15.3Z,1,REGULAR,foul,personal,[],101108,,,1610612745,0,0,2021-11-05T02:12:20Z,130000,,,0,,C. Paul personal FOUL (1 PF),"[101108, 1630578]",1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,1193.0,1.0,0.0,Sengun,1630578.0,,,,,,
15,PT10M54.00S,2021-11-05T02:12:43.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626174,7.30946123521682,48.529411764705884,1610612745,0,2,2021-11-05T02:12:48Z,150000,7.0,16.0,1,left,C. Wood cutting Layup (2 PTS) (K. Porter Jr. 1 AST),"[1626174, 1629645]",1610612745.0,HOU,cutting,,,Wood,C. Wood,,,,,1.78,Made,,,,,,,,,,,,,2.0,K. Porter Jr.,1629645.0,1.0,,
17,PT10M37.00S,2021-11-05T02:13:01.0Z,1,REGULAR,3pt,Jump Shot,[],1628969,91.93495400788436,96.81372549019608,1610612756,3,2,2021-11-05T02:13:06Z,170000,234.0,23.0,1,right,M. Bridges 3PT  (3 PTS) (C. Paul 1 AST),"[1628969, 101108]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,23.53,Made,,,,,,,,,,,,,3.0,C. Paul,101108.0,1.0,,
19,PT10M17.00S,2021-11-05T02:13:20.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,11.777266754270697,49.50980392156863,1610612745,3,4,2021-11-05T02:13:28Z,190000,2.0,58.0,1,left,A. Sengun turnaround bank Hook (2 PTS),[1630578],1610612745.0,HOU,turnaround bank,,,Sengun,A. Sengun,,,,,5.83,Made,,,,,,,,,,,,,2.0,,,,,
20,PT10M04.00S,2021-11-05T02:13:34.7Z,1,REGULAR,3pt,Jump Shot,[],101108,94.43166885676742,1.715686274509804,1610612756,3,4,2021-11-05T02:13:39Z,200000,-241.0,0.0,1,right,MISS C. Paul 24' 3PT,[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,24.14,Missed,,,,,,,,,,,,,,,,,,
21,PT10M01.00S,2021-11-05T02:13:37.1Z,1,REGULAR,rebound,offensive,[],1626164,,,1610612756,3,4,2021-11-05T02:13:37Z,210000,,,0,,D. Booker REBOUND (Off:1 Def:0),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,20.0,1.0,0.0,1.0,,,,,,,,,,,,,,
22,PT10M00.00S,2021-11-05T02:13:38.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628969,67.88764783180025,19.362745098039216,1610612756,6,4,2021-11-05T02:13:42Z,220000,-153.0,249.0,1,right,M. Bridges 29' 3PT  (6 PTS) (D. Booker 1 AST),"[1628969, 1626164]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,29.27,Made,,,,,,,,,,,,,6.0,D. Booker,1626164.0,1.0,,
24,PT09M40.00S,2021-11-05T02:14:06.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,6,4,2021-11-05T02:14:06Z,240000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M32.00S,2021-11-05T02:14:22.5Z,1,REGULAR,2pt,Jump Shot,[],1626174,19.004599211563733,70.09803921568627,1610612745,6,4,2021-11-05T02:15:17Z,250000,-100.0,126.0,1,left,MISS C. Wood 16' pullup Shot,[1626174],1610612745.0,HOU,pullup,,,Wood,C. Wood,,,,,16.12,Missed,,,,,,,,,,,,,,,,,,
26,PT09M30.00S,2021-11-05T02:14:24.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612756,6,4,2021-11-05T02:14:28Z,260000,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,
27,PT09M22.00S,2021-11-05T02:14:44.4Z,1,REGULAR,3pt,Jump Shot,[],203109,76.95466491458606,90.19607843137256,1610612756,9,4,2021-11-05T02:14:49Z,270000,201.0,164.0,1,right,J. Crowder 25' 3PT  (3 PTS) (C. Paul 2 AST),"[203109, 101108]",1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,25.95,Made,,,,,,,,,,,,,3.0,C. Paul,101108.0,2.0,,
29,PT09M00.00S,2021-11-05T02:15:05.8Z,1,REGULAR,3pt,Jump Shot,[],1630224,32.276609724047304,66.42156862745098,1610612745,9,4,2021-11-05T02:15:10Z,290000,-82.0,251.0,1,left,MISS J. Green 26' step back 3PT,[1630224],1610612745.0,HOU,step back,,,Green,J. Green,,,,,26.4,Missed,,,,,,,,,,,,,,,,,,
30,PT08M56.00S,2021-11-05T02:15:09.8Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,9,4,2021-11-05T02:15:10Z,300000,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,,
31,PT08M46.00S,2021-11-05T02:15:19.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,89.04402102496715,57.35294117647059,1610612756,11,4,2021-11-05T02:15:23Z,310000,37.0,50.0,1,right,D. Ayton 6' turnaround bank Hook (2 PTS),[1629028],1610612756.0,PHX,turnaround bank,,,Ayton,D. Ayton,,,,,6.25,Made,,,,,,,,,,,,,2.0,,,,,
32,PT08M46.00S,2021-11-05T02:15:27.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,11,4,2021-11-05T02:15:27Z,320000,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT08M23.00S,2021-11-05T02:18:36.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,11.12023653088042,57.35294117647059,1610612745,11,4,2021-11-05T02:20:40Z,330000,-37.0,52.0,1,left,MISS A. Sengun 6' turnaround Hook - blocked,"[1630578, 1629028]",1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,6.37,Missed,,,,,,,,,,,,,,,,,Ayton,1629028.0
44,PT08M23.00S,2021-11-05T02:18:36.8Z,1,REGULAR,block,,[],1629028,,,1610612745,11,4,2021-11-05T02:20:07Z,335000,,,0,,D. Ayton BLOCK (1 BLK),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M23.00S,2021-11-05T02:18:36.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,11,4,2021-11-05T02:19:09Z,340000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,
35,PT08M23.00S,2021-11-05T02:18:47.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,11,4,2021-11-05T02:19:09Z,350000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M21.00S,2021-11-05T02:18:49.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630224,10.200394218134035,95.83333333333334,1610612745,11,4,2021-11-05T02:19:09Z,360000,-229.0,43.0,1,left,MISS J. Green 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,23.33,Missed,,,,,,,,,,,,,,,,,,
37,PT08M18.00S,2021-11-05T02:18:52.9Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,11,4,2021-11-05T02:20:04Z,370000,,,0,,D. Ayton REBOUND (Off:0 Def:2),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,36.0,2.0,2.0,0.0,,,,,,,,,,,,,,
39,PT08M04.00S,2021-11-05T02:19:20.9Z,1,REGULAR,violation,kicked ball,[],1630578,,,1610612756,11,4,2021-11-05T02:23:07Z,390000,,,0,,A. Sengun kicked ball VIOLATION,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,1148.0,,,,,,,,,,
41,PT07M54.00S,2021-11-05T02:19:39.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,85.62746386333771,40.68627450980392,1610612756,11,4,2021-11-05T02:19:45Z,400000,-47.0,83.0,1,right,MISS D. Ayton 9' turnaround Hook,[1629028],1610612756.0,PHX,turnaround,,,Ayton,D. Ayton,,,,,9.48,Missed,,,,,,,,,,,,,,,,,,
42,PT07M51.00S,2021-11-05T02:19:42.9Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,11,4,2021-11-05T02:19:45Z,410000,,,0,,C. Wood REBOUND (Off:0 Def:3),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,41.0,3.0,3.0,0.0,,,,,,,,,,,,,,
43,PT07M32.00S,2021-11-05T02:20:02.3Z,1,REGULAR,foul,personal,['2freethrow'],203109,,,1610612745,11,4,2021-11-05T02:20:20Z,420000,,,0,,J. Crowder shooting personal FOUL (1 PF) (Green 2 FT),"[203109, 1630224]",1610612756.0,PHX,shooting,,,Crowder,J. Crowder,,,,,,,,,,,,,,1627534.0,1.0,0.0,Green,1630224.0,,,,,,
46,PT07M32.00S,2021-11-05T02:20:28.6Z,1,REGULAR,freethrow,1 of 2,[],1630224,,,1610612745,11,5,2021-11-05T02:20:28Z,440000,,,0,,J. Green Free Throw 1 of 2 (1 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,Made,,,,,,,,,,,,,1.0,,,,,
47,PT07M32.00S,2021-11-05T02:20:39.3Z,1,REGULAR,freethrow,2 of 2,[],1630224,,,1610612745,11,6,2021-11-05T02:20:39Z,450000,,,0,,J. Green Free Throw 2 of 2 (2 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,Made,,,,,,,,,,,,,2.0,,,,,
48,PT07M24.00S,2021-11-05T02:20:50.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,80.42049934296978,38.959099264705884,1610612756,13,6,2021-11-05T02:20:56Z,460000,-55.0,132.0,1,right,D. Booker 14' fadeaway Jump Shot (2 PTS) (C. Paul 3 AST),"[1626164, 101108]",1610612756.0,PHX,fadeaway,,,Booker,D. Booker,,,,,14.26,Made,,,,,,,,,,,,,2.0,C. Paul,101108.0,3.0,,
50,PT07M12.00S,2021-11-05T02:21:02.1Z,1,REGULAR,turnover,lost ball,[],1629645,,,1610612745,13,6,2021-11-05T02:21:06Z,480000,,,0,,K. Porter Jr. lost ball TURNOVER (1 TO),"[1629645, 101108]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,1.0,Paul,101108.0,,,,,,,,,,,
51,PT07M12.00S,2021-11-05T02:21:02.1Z,1,REGULAR,steal,,[],101108,,,1610612756,13,6,2021-11-05T02:21:04Z,490000,,,0,,C. Paul STEAL (2 STL),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M08.00S,2021-11-05T02:21:06.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628969,93.11760840998686,44.85294117647059,1610612756,15,6,2021-11-05T02:21:10Z,500000,-26.0,12.0,1,right,M. Bridges running alley-oop DUNK (8 PTS) (D. Booker 2 AST),"[1628969, 1626164]",1610612756.0,PHX,running alley-oop,,,Bridges,M. Bridges,,,,,2.84,Made,,,,,,,,,,,,,8.0,D. Booker,1626164.0,2.0,,
54,PT06M58.00S,2021-11-05T02:21:17.9Z,1,REGULAR,foul,personal,[],203109,,,1610612745,15,6,2021-11-05T02:21:25Z,520000,,,0,,J. Crowder personal FOUL (2 PF),"[203109, 1626174]",1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,1193.0,2.0,0.0,Wood,1626174.0,,,,,,
56,PT06M48.00S,2021-11-05T02:21:43.3Z,1,REGULAR,2pt,Jump Shot,[],1630224,27.808804204993432,56.61764705882353,1610612745,15,6,2021-11-05T02:21:47Z,540000,-33.0,209.0,1,left,MISS J. Green 21' pullup Shot,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,21.15,Missed,,,,,,,,,,,,,,,,,,
57,PT06M45.00S,2021-11-05T02:21:46.3Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,15,6,2021-11-05T02:21:47Z,550000,,,0,,D. Ayton REBOUND (Off:0 Def:3),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,56.0,3.0,3.0,0.0,,,,,,,,,,,,,,
