actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,descriptor,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,value
2,PT12M00.00S,2021-11-18T03:13:58.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-18T03:13:58Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PT12M00.00S,2021-11-18T03:14:08.4Z,1,REGULAR,violation,jumpball,[],204001,,,0,0,0,2021-11-18T03:14:08Z,30000,,,0,,K. Porzingis jumpball VIOLATION,[204001],1610612742.0,DAL,1198.0,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M43.00S,2021-11-18T03:14:33.1Z,1,REGULAR,3pt,Jump Shot,[],1626164,7.703679369250986,2.941176470588235,1610612756,0,0,2021-11-18T03:14:39Z,40000,235.0,20.0,1,left,MISS D. Booker 3PT,[1626164],1610612756.0,PHX,,Booker,D. Booker,23.61,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
5,PT11M38.00S,2021-11-18T03:14:37.3Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,0,0,2021-11-18T03:14:37Z,50000,,,0,,D. Powell REBOUND (Off:0 Def:1),[203939],1610612742.0,DAL,,Powell,D. Powell,,,4.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
6,PT11M26.00S,2021-11-18T03:14:50.1Z,1,REGULAR,3pt,Jump Shot,[],204001,86.02168199737189,4.6568627450980395,1610612742,0,0,2021-11-18T03:14:57Z,60000,-227.0,79.0,1,right,MISS K. Porzingis 24' 3PT,[204001],1610612742.0,DAL,,Porzingis,K. Porzingis,24.0,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M23.00S,2021-11-18T03:14:53.1Z,1,REGULAR,rebound,defensive,[],203109,,,1610612756,0,0,2021-11-18T03:14:57Z,70000,,,0,,J. Crowder REBOUND (Off:0 Def:1),[203109],1610612756.0,PHX,,Crowder,J. Crowder,,,6.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M14.00S,2021-11-18T03:15:01.6Z,1,REGULAR,3pt,Jump Shot,[],101108,30.962549277266753,68.13725490196079,1610612756,0,0,2021-11-18T03:15:07Z,80000,-91.0,239.0,1,left,MISS C. Paul 25' 3PT,[101108],1610612756.0,PHX,,Paul,C. Paul,25.52,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M12.00S,2021-11-18T03:15:03.6Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,0,0,2021-11-18T03:15:07Z,90000,,,0,,D. Powell REBOUND (Off:0 Def:2),[203939],1610612742.0,DAL,,Powell,D. Powell,,,8.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
10,PT10M53.00S,2021-11-18T03:15:23.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,80.6340341655716,60.78431372549019,1610612742,0,0,2021-11-18T03:15:32Z,100000,54.0,130.0,1,right,MISS K. Porzingis 14' driving floating Shot,[204001],1610612742.0,DAL,,Porzingis,K. Porzingis,14.03,Missed,,,,,driving floating,,,,,,,,,,,,,,,,,,,,
11,PT10M50.00S,2021-11-18T03:15:26.3Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,0,0,2021-11-18T03:15:32Z,110000,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,Ayton,D. Ayton,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
12,PT10M33.00S,2021-11-18T03:15:42.4Z,1,REGULAR,3pt,Jump Shot,[],1626164,31.882391590013142,50.73529411764706,1610612756,0,0,2021-11-18T03:15:46Z,120000,-4.0,247.0,1,left,MISS D. Booker 24' 3PT,[1626164],1610612756.0,PHX,,Booker,D. Booker,24.72,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT10M31.00S,2021-11-18T03:15:44.4Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,0,0,2021-11-18T03:15:46Z,130000,,,0,,D. Powell REBOUND (Off:0 Def:3),[203939],1610612742.0,DAL,,Powell,D. Powell,,,12.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,
14,PT10M25.00S,2021-11-18T03:15:51.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],204001,90.62089356110381,45.09803921568628,1610612742,0,2,2021-11-18T03:15:56Z,140000,-25.0,36.0,1,right,K. Porzingis Layup (2 PTS) (T. Hardaway Jr. 1 AST),"[204001, 203501]",1610612742.0,DAL,,Porzingis,K. Porzingis,4.33,Made,,,,,,2.0,T. Hardaway Jr.,203501.0,1.0,,,,,,,,,,,,,,,,
16,PT10M09.00S,2021-11-18T03:16:07.1Z,1,REGULAR,turnover,bad pass,[],203109,,,1610612756,0,2,2021-11-18T03:16:11Z,160000,,,0,,J. Crowder bad pass TURNOVER (1 TO),"[203109, 204001]",1610612756.0,PHX,,Crowder,J. Crowder,,,,,,,,,,,,1.0,Porzingis,204001.0,,,,,,,,,,,,,
17,PT10M09.00S,2021-11-18T03:16:07.1Z,1,REGULAR,steal,,[],204001,,,1610612742,0,2,2021-11-18T03:16:08Z,170000,,,0,,K. Porzingis STEAL (1 STL),[204001],1610612742.0,DAL,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M06.00S,2021-11-18T03:16:10.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",204001,92.9862023653088,47.05882352941176,1610612742,0,4,2021-11-18T03:16:39Z,180000,-15.0,13.0,1,right,K. Porzingis running DUNK (4 PTS),[204001],1610612742.0,DAL,,Porzingis,K. Porzingis,1.99,Made,,,,,running,4.0,,,,,,,,,,,,,,,,,,,
19,PT09M49.00S,2021-11-18T03:16:26.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,9.543363994743759,39.21568627450981,1610612756,0,4,2021-11-18T03:16:32Z,190000,54.0,37.0,1,left,MISS D. Ayton 6' turnaround Hook,[1629028],1610612756.0,PHX,,Ayton,D. Ayton,6.55,Missed,,,,,turnaround,,,,,,,,,,,,,,,,,,,,
20,PT09M47.00S,2021-11-18T03:16:28.8Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612742,0,4,2021-11-18T03:16:32Z,200000,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612742.0,DAL,,Brunson,J. Brunson,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
21,PT09M36.00S,2021-11-18T03:16:39.8Z,1,REGULAR,2pt,Jump Shot,[],204001,93.51182654402102,17.892156862745097,1610612742,0,6,2021-11-18T03:16:45Z,210000,-161.0,8.0,1,right,K. Porzingis 16' Jump Shot (6 PTS) (D. Powell 1 AST),"[204001, 203939]",1610612742.0,DAL,,Porzingis,K. Porzingis,16.07,Made,,,,,,6.0,D. Powell,203939.0,1.0,,,,,,,,,,,,,,,,
23,PT09M22.00S,2021-11-18T03:16:53.4Z,1,REGULAR,2pt,Jump Shot,[],1629028,24.917871222076215,40.931372549019606,1610612756,0,6,2021-11-18T03:16:58Z,230000,45.0,182.0,1,left,MISS D. Ayton 18' Jump Shot,[1629028],1610612756.0,PHX,,Ayton,D. Ayton,18.73,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT09M19.00S,2021-11-18T03:16:56.4Z,1,REGULAR,rebound,defensive,[],204001,,,1610612742,0,6,2021-11-18T03:16:58Z,240000,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612742.0,DAL,,Porzingis,K. Porzingis,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
25,PT09M13.00S,2021-11-18T03:17:02.9Z,1,REGULAR,3pt,Jump Shot,[],204001,63.41984231274639,46.81372549019608,1610612742,0,6,2021-11-18T03:17:10Z,250000,-16.0,291.0,1,right,MISS K. Porzingis 29' 3PT,[204001],1610612742.0,DAL,,Porzingis,K. Porzingis,29.18,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M12.00S,2021-11-18T03:17:03.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612756,0,6,2021-11-18T03:17:10Z,260000,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M12.00S,2021-11-18T03:17:08.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612756,0,6,2021-11-18T03:17:08Z,270000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT08M56.00S,2021-11-18T03:17:36.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,12.828515111695138,55.14705882352941,1610612756,0,6,2021-11-18T03:17:41Z,280000,-26.0,68.0,1,left,MISS D. Ayton 7' turnaround Hook,[1629028],1610612756.0,PHX,,Ayton,D. Ayton,7.28,Missed,,,,,turnaround,,,,,,,,,,,,,,,,,,,,
29,PT08M54.00S,2021-11-18T03:17:38.2Z,1,REGULAR,rebound,defensive,[],204001,,,1610612742,0,6,2021-11-18T03:17:41Z,290000,,,0,,K. Porzingis REBOUND (Off:0 Def:2),[204001],1610612742.0,DAL,,Porzingis,K. Porzingis,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
30,PT08M45.00S,2021-11-18T03:17:47.3Z,1,REGULAR,3pt,Jump Shot,[],1628973,64.86530880420499,39.705882352941174,1610612742,0,6,2021-11-18T03:17:51Z,300000,-51.0,278.0,1,right,MISS J. Brunson 28' 3PT,[1628973],1610612742.0,DAL,,Brunson,J. Brunson,28.25,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT08M43.00S,2021-11-18T03:17:49.3Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,0,6,2021-11-18T03:17:51Z,310000,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,Booker,D. Booker,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
32,PT08M33.00S,2021-11-18T03:17:59.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,11.251642575558476,58.08823529411765,1610612756,0,6,2021-11-18T03:18:05Z,320000,-40.0,53.0,1,left,MISS D. Booker 6' turnaround Shot,[1626164],1610612756.0,PHX,,Booker,D. Booker,6.69,Missed,,,,,turnaround,,,,,,,,,,,,,,,,,,,,
33,PT08M30.00S,2021-11-18T03:18:02.3Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,0,6,2021-11-18T03:18:05Z,330000,,,0,,D. Powell REBOUND (Off:0 Def:4),[203939],1610612742.0,DAL,,Powell,D. Powell,,,32.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,
34,PT08M25.00S,2021-11-18T03:18:07.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628973,90.75229960578186,54.166666666666664,1610612742,0,8,2021-11-18T03:18:53Z,340000,21.0,34.0,1,right,J. Brunson driving Layup (2 PTS) (D. Powell 2 AST),"[1628973, 203939]",1610612742.0,DAL,,Brunson,J. Brunson,4.02,Made,,,,,driving,2.0,D. Powell,203939.0,2.0,,,,,,,,,,,,,,,,
35,PT08M04.00S,2021-11-18T03:18:28.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,8.229303547963205,63.970588235294116,1610612756,2,8,2021-11-18T03:18:41Z,350000,-70.0,25.0,1,left,D. Ayton 7' turnaround Jump Shot (2 PTS),[1629028],1610612756.0,PHX,,Ayton,D. Ayton,7.42,Made,,,,,turnaround,2.0,,,,,,,,,,,,,,,,,,,
37,PT07M39.00S,2021-11-18T03:18:53.3Z,1,REGULAR,3pt,Jump Shot,[],204001,64.33968462549278,25.245098039215684,1610612742,2,8,2021-11-18T03:19:00Z,360000,-124.0,283.0,1,right,MISS K. Porzingis 30' 3PT,[204001],1610612742.0,DAL,,Porzingis,K. Porzingis,30.86,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT07M35.00S,2021-11-18T03:18:57.3Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,2,8,2021-11-18T03:19:00Z,370000,,,0,,D. Booker REBOUND (Off:0 Def:2),[1626164],1610612756.0,PHX,,Booker,D. Booker,,,37.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
39,PT07M25.00S,2021-11-18T03:19:07.0Z,1,REGULAR,3pt,Jump Shot,[],101108,29.77989487516426,73.2843137254902,1610612756,2,8,2021-11-18T03:19:10Z,380000,-116.0,227.0,1,left,MISS C. Paul 25' 3PT,[101108],1610612756.0,PHX,,Paul,C. Paul,25.55,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT07M23.00S,2021-11-18T03:19:09.0Z,1,REGULAR,rebound,defensive,[],204001,,,1610612742,2,8,2021-11-18T03:19:10Z,390000,,,0,,K. Porzingis REBOUND (Off:0 Def:3),[204001],1610612742.0,DAL,,Porzingis,K. Porzingis,,,39.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,
41,PT07M00.00S,2021-11-18T03:19:32.8Z,1,REGULAR,2pt,Jump Shot,[],1627827,92.85479632063075,18.38235294117647,1610612742,2,8,2021-11-18T03:19:38Z,400000,-158.0,15.0,1,right,MISS D. Finney-Smith 15' fadeaway Shot,[1627827],1610612742.0,DAL,,Finney-Smith,D. Finney-Smith,15.88,Missed,,,,,fadeaway,,,,,,,,,,,,,,,,,,,,
42,PT06M57.00S,2021-11-18T03:19:35.7Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,2,8,2021-11-18T03:19:35Z,410000,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,Paul,C. Paul,,,41.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
43,PT06M52.00S,2021-11-18T03:19:40.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1626164,7.6215505913272015,54.6798406862745,1610612756,4,8,2021-11-18T03:22:10Z,420000,-23.0,19.0,1,left,D. Booker Layup (2 PTS) (C. Paul 1 AST),"[1626164, 101108]",1610612756.0,PHX,,Booker,D. Booker,3.02,Made,,,,,,2.0,C. Paul,101108.0,1.0,,,,,,,,,,,,,,,,
45,PT06M42.00S,2021-11-18T03:19:49.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203501,91.67214191852825,42.15686274509804,1610612742,4,8,2021-11-18T03:19:56Z,440000,-39.0,26.0,1,right,MISS T. Hardaway Jr. Jump Shot - blocked,"[203501, 1629028]",1610612742.0,DAL,,Hardaway Jr.,T. Hardaway Jr.,4.69,Missed,,,,,,,,,,,,,Ayton,1629028.0,,,,,,,,,,,
46,PT06M42.00S,2021-11-18T03:19:49.9Z,1,REGULAR,block,,[],1629028,,,1610612742,4,8,2021-11-18T03:19:52Z,450000,,,0,,D. Ayton BLOCK (1 BLK),[1629028],1610612756.0,PHX,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT06M42.00S,2021-11-18T03:19:49.9Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,4,8,2021-11-18T03:19:56Z,460000,,,0,,D. Ayton REBOUND (Off:0 Def:2),[1629028],1610612756.0,PHX,,Ayton,D. Ayton,,,45.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
48,PT06M35.00S,2021-11-18T03:19:57.0Z,1,REGULAR,3pt,Jump Shot,[],203109,8.754927726675426,3.1862745098039214,1610612756,4,8,2021-11-18T03:20:02Z,470000,234.0,30.0,1,left,MISS J. Crowder 3PT,[203109],1610612756.0,PHX,,Crowder,J. Crowder,23.6,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT06M32.00S,2021-11-18T03:20:00.1Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612756,4,8,2021-11-18T03:20:00Z,480000,,,0,,D. Ayton REBOUND (Off:1 Def:2),[1629028],1610612756.0,PHX,,Ayton,D. Ayton,,,48.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
50,PT06M31.00S,2021-11-18T03:20:01.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626164,26.757555847568987,83.08823529411765,1610612756,7,8,2021-11-18T03:20:06Z,490000,-165.0,199.0,1,left,D. Booker 25' 3PT  (5 PTS) (D. Ayton 1 AST),"[1626164, 1629028]",1610612756.0,PHX,,Booker,D. Booker,25.88,Made,,,,,,5.0,D. Ayton,1629028.0,1.0,,,,,,,,,,,,,,,,
52,PT06M30.00S,2021-11-18T03:20:09.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,7,8,2021-11-18T03:20:09Z,510000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M30.00S,2021-11-18T03:22:54.2Z,1,REGULAR,substitution,out,[],203939,,,1610612742,7,8,2021-11-18T03:23:24Z,520000,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,,
