actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-30T02:10:50.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-30T02:10:50Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-30T02:10:53.0Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612756,0,0,2021-12-30T02:10:53Z,40000,,,0,,Jump Ball J. McGee vs. I. Roby: Tip to C. Paul,"[101108, 201580, 1629676]",1610612756.0,PHX,startperiod,C. Paul,101108.0,Paul,C. Paul,McGee,201580.0,Roby,1629676.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2021-12-30T02:11:03.2Z,1,REGULAR,2pt,Jump Shot,[],1626164,75.64060446780552,58.57843137254902,1610612756,0,0,2021-12-30T02:11:10Z,70000,43.0,176.0,1,right,MISS D. Booker 18' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,18.16,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2021-12-30T02:11:06.2Z,1,REGULAR,rebound,defensive,[],1628778,,,1610612760,0,0,2021-12-30T02:11:10Z,80000,,,0,,P. Watson REBOUND (Off:0 Def:1),[1628778],1610612760.0,OKC,,,,Watson,P. Watson,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M33.00S,2021-12-30T02:11:17.5Z,1,REGULAR,2pt,Jump Shot,[],1629652,27.020367936925098,54.65686274509803,1610612760,0,0,2021-12-30T02:11:21Z,90000,-23.0,201.0,1,left,MISS L. Dort 20' pullup Shot,[1629652],1610612760.0,OKC,pullup,,,Dort,L. Dort,,,,,20.28,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M30.00S,2021-12-30T02:11:20.5Z,1,REGULAR,rebound,defensive,[],201580,,,1610612756,0,0,2021-12-30T02:11:21Z,100000,,,0,,J. McGee REBOUND (Off:0 Def:1),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M22.00S,2021-12-30T02:11:27.6Z,1,REGULAR,3pt,Jump Shot,[],1626164,69.59592641261499,27.205882352941174,1610612756,3,0,2021-12-30T02:11:33Z,110000,-114.0,233.0,1,right,D. Booker 25' 3PT  (3 PTS) (C. Johnson 1 AST),"[1626164, 1629661]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,25.97,Made,,,,,3.0,C. Johnson,1629661.0,1.0,,,,,,,,,,,
13,PT11M03.00S,2021-12-30T02:11:46.0Z,1,REGULAR,3pt,Jump Shot,[],1629652,29.38567674113009,77.20588235294117,1610612760,3,0,2021-12-30T02:11:51Z,130000,-136.0,224.0,1,left,MISS L. Dort 26' pullup 3PT,[1629652],1610612760.0,OKC,pullup,,,Dort,L. Dort,,,,,26.18,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M01.00S,2021-12-30T02:11:48.0Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612756,3,0,2021-12-30T02:11:51Z,140000,,,0,,C. Johnson REBOUND (Off:0 Def:1),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
15,PT10M51.00S,2021-12-30T02:11:58.7Z,1,REGULAR,turnover,lost ball,[],201580,,,1610612756,3,0,2021-12-30T02:12:02Z,150000,,,0,,J. McGee lost ball TURNOVER (1 TO),"[201580, 1629660]",1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,,,,,,,1.0,Jerome,1629660.0,,,,,,,,
16,PT10M51.00S,2021-12-30T02:11:58.7Z,1,REGULAR,steal,,[],1629660,,,1610612760,3,0,2021-12-30T02:12:00Z,160000,,,0,,T. Jerome STEAL (1 STL),[1629660],1610612760.0,OKC,,,,Jerome,T. Jerome,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M47.00S,2021-12-30T02:12:03.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629676,8.09789750328515,46.32352941176471,1610612760,3,2,2021-12-30T02:12:11Z,170000,18.0,24.0,1,left,I. Roby running DUNK (2 PTS),[1629676],1610612760.0,OKC,running,,,Roby,I. Roby,,,,,2.99,Made,,,,,2.0,,,,,,,,,,,,,,
19,PT10M33.00S,2021-12-30T02:12:24.7Z,1,REGULAR,foul,personal,['2freethrow'],1629676,,,1610612756,3,2,2021-12-30T02:12:31Z,190000,,,0,,I. Roby shooting personal FOUL (1 PF) (McGee 2 FT),"[1629676, 201580]",1610612760.0,OKC,shooting,,,Roby,I. Roby,,,,,,,,,,,,,,,,,,202041.0,1.0,0.0,McGee,201580.0,,,
21,PT10M33.00S,2021-12-30T02:12:50.3Z,1,REGULAR,freethrow,1 of 2,[],201580,,,1610612756,4,2,2021-12-30T02:12:50Z,210000,,,0,,J. McGee Free Throw 1 of 2 (1 PTS),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
22,PT10M33.00S,2021-12-30T02:13:09.0Z,1,REGULAR,freethrow,2 of 2,[],201580,,,1610612756,5,2,2021-12-30T02:13:09Z,220000,,,0,,J. McGee Free Throw 2 of 2 (2 PTS),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
