actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-11T03:12:35.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-11T03:12:35Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-11T03:12:38.7Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612756,0,0,2022-02-11T03:12:38Z,40000,,,0,,Jump Ball D. Ayton vs. B. Portis: Tip to C. Paul,"[101108, 1629028, 1626171]",1610612756.0,PHX,startperiod,C. Paul,101108.0,Paul,C. Paul,Ayton,1629028.0,Portis,1626171.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-02-11T03:12:49.8Z,1,REGULAR,2pt,Jump Shot,[],203109,23.078186596583443,47.794117647058826,1610612756,2,0,2022-02-11T03:12:57Z,70000,11.0,164.0,1,left,J. Crowder 16' floating Jump Shot (2 PTS) (D. Booker 1 AST),"[203109, 1626164]",1610612756.0,PHX,floating,,,Crowder,J. Crowder,,,,,16.48,Made,2.0,D. Booker,1626164.0,1.0,,,,,,,,,,,,,,,
9,PT11M22.00S,2022-02-11T03:13:15.8Z,1,REGULAR,foul,personal,[],1629028,,,1610612749,2,0,2022-02-11T03:13:44Z,90000,,,0,,D. Ayton personal FOUL (1 PF),"[1629028, 203507]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,1148.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,,
11,PT11M15.00S,2022-02-11T03:13:38.2Z,1,REGULAR,3pt,Jump Shot,[],1626171,93.03547963206307,3.1632965686274446,1610612749,2,0,2022-02-11T03:13:57Z,110000,-234.0,13.0,1,right,MISS B. Portis 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,23.46,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M10.00S,2022-02-11T03:13:43.2Z,1,REGULAR,rebound,defensive,[],203109,,,1610612756,2,0,2022-02-11T03:13:43Z,120000,,,0,,J. Crowder REBOUND (Off:0 Def:1),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,
13,PT11M02.00S,2022-02-11T03:13:50.6Z,1,REGULAR,2pt,Jump Shot,[],1629028,6.258212877792378,69.11764705882352,1610612756,4,0,2022-02-11T03:13:54Z,130000,-96.0,6.0,1,left,D. Ayton 9' turnaround Jump Shot (2 PTS) (C. Paul 1 AST),"[1629028, 101108]",1610612756.0,PHX,turnaround,,,Ayton,D. Ayton,,,,,9.58,Made,2.0,C. Paul,101108.0,1.0,,,,,,,,,,,,,,,
15,PT10M43.00S,2022-02-11T03:14:09.3Z,1,REGULAR,3pt,Jump Shot,[],1628960,67.09921156373193,32.84313725490196,1610612749,4,0,2022-02-11T03:14:13Z,150000,-86.0,257.0,1,right,MISS G. Allen 27' 3PT,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,27.08,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M40.00S,2022-02-11T03:14:12.3Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,4,0,2022-02-11T03:14:13Z,160000,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,
17,PT10M31.00S,2022-02-11T03:14:21.1Z,1,REGULAR,3pt,Jump Shot,[],1626164,35.03613666228647,50.49019607843137,1610612756,4,0,2022-02-11T03:14:25Z,170000,-2.0,277.0,1,left,MISS D. Booker 27' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,27.68,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M28.00S,2022-02-11T03:14:24.1Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,4,0,2022-02-11T03:14:25Z,180000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,
19,PT10M23.00S,2022-02-11T03:14:29.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626171,86.67871222076215,45.34313725490196,1610612749,4,0,2022-02-11T03:14:36Z,190000,-23.0,73.0,1,right,MISS B. Portis 7' turnaround Hook,[1626171],1610612749.0,MIL,turnaround,,,Portis,B. Portis,,,,,7.63,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M21.00S,2022-02-11T03:14:31.7Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,4,0,2022-02-11T03:14:36Z,200000,,,0,,D. Ayton REBOUND (Off:0 Def:2),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,19.0,2.0,2.0,0.0,,,,,,
21,PT10M16.00S,2022-02-11T03:14:37.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1628969,7.703679369250986,51.470588235294116,1610612756,6,0,2022-02-11T03:14:47Z,210000,-7.0,20.0,1,left,M. Bridges cutting DUNK (2 PTS) (C. Paul 2 AST),"[1628969, 101108]",1610612756.0,PHX,cutting,,,Bridges,M. Bridges,,,,,2.12,Made,2.0,C. Paul,101108.0,2.0,,,,,,,,,,,,,,,
23,PT10M06.00S,2022-02-11T03:14:49.1Z,1,REGULAR,foul,personal,[],203109,,,1610612749,6,0,2022-02-11T03:15:34Z,230000,,,0,,J. Crowder personal FOUL (1 PF),"[203109, 203114]",1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,2002.0,1.0,0.0,Middleton,203114.0,,,,,,,,,,
25,PT09M58.00S,2022-02-11T03:15:12.0Z,1,REGULAR,3pt,Jump Shot,[],1628960,70.77858081471747,22.30392156862745,1610612749,6,3,2022-02-11T03:15:16Z,250000,-138.0,222.0,1,right,G. Allen 26' 3PT  (3 PTS) (G. Antetokounmpo 1 AST),"[1628960, 203507]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,26.18,Made,3.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,,,,,,
27,PT09M41.00S,2022-02-11T03:15:29.0Z,1,REGULAR,2pt,Jump Shot,[],1626164,20.844283837056505,31.372549019607842,1610612756,6,3,2022-02-11T03:16:52Z,270000,93.0,143.0,1,left,MISS D. Booker 17' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,17.1,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M41.00S,2022-02-11T03:15:29.0Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,6,3,2022-02-11T03:15:34Z,280000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,27.0,2.0,2.0,0.0,,,,,,
29,PT09M26.00S,2022-02-11T03:15:44.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203114,85.89027595269383,46.81372549019608,1610612749,6,5,2022-02-11T03:18:02Z,290000,-16.0,80.0,1,right,K. Middleton 8' pullup Jump Shot (2 PTS),[203114],1610612749.0,MIL,pullup,,,Middleton,K. Middleton,,,,,8.17,Made,2.0,,,,,,,,,,,,,,,,,,
30,PT09M18.00S,2022-02-11T03:15:55.6Z,1,REGULAR,foul,personal,[],203114,,,1610612756,6,5,2022-02-11T03:16:02Z,300000,,,0,,K. Middleton personal FOUL (1 PF),"[203114, 1629028]",1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,2002.0,1.0,0.0,Ayton,1629028.0,,,,,,,,,,
32,PT09M08.00S,2022-02-11T03:16:20.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,8.754927726675426,49.754901960784316,1610612756,8,5,2022-02-11T03:16:24Z,320000,1.0,30.0,1,left,D. Ayton cutting DUNK (4 PTS) (J. Crowder 1 AST),"[1629028, 203109]",1610612756.0,PHX,cutting,,,Ayton,D. Ayton,,,,,2.98,Made,4.0,J. Crowder,203109.0,1.0,,,,,,,,,,,,,,,
52,PT08M49.00S,2022-02-11T03:16:31.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,93.2161629434954,42.892156862745104,1610612749,8,5,2022-02-11T03:22:02Z,335000,-36.0,11.0,1,right,MISS J. Holiday driving Layup,[201950],1610612749.0,MIL,driving,,,Holiday,J. Holiday,,,,,3.73,Missed,,,,,,,,,,,,,,,,,,,
53,PT08M49.00S,2022-02-11T03:16:31.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612756,8,5,2022-02-11T03:22:02Z,337500,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,
35,PT08M31.00S,2022-02-11T03:17:03.6Z,1,REGULAR,3pt,Jump Shot,[],1626164,32.53942181340342,43.872549019607845,1610612756,11,5,2022-02-11T03:22:31Z,350000,31.0,253.0,1,left,D. Booker 25' 3PT  (3 PTS) (D. Ayton 1 AST),"[1626164, 1629028]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,25.52,Made,3.0,D. Ayton,1629028.0,1.0,,,,,,,,,,,,,,,
37,PT08M16.00S,2022-02-11T03:17:17.2Z,1,REGULAR,2pt,Jump Shot,[],203114,91.80354796320631,20.588235294117645,1610612749,11,7,2022-02-11T03:17:22Z,370000,-147.0,25.0,1,right,K. Middleton 14' step back Jump Shot (4 PTS),[203114],1610612749.0,MIL,step back,,,Middleton,K. Middleton,,,,,14.91,Made,4.0,,,,,,,,,,,,,,,,,,
