actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-05T03:16:09.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-05T03:16:09Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-05T03:16:13.1Z,1,REGULAR,jumpball,recovered,[],1628969,,,1610612756,0,0,2022-03-05T03:16:13Z,40000,,,0,,Jump Ball D. Ayton vs. M. Robinson: Tip to M. Bridges,"[1628969, 1629028, 1629011]",1610612756.0,PHX,startperiod,M. Bridges,1628969.0,Bridges,M. Bridges,Ayton,1629028.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-03-05T03:16:23.7Z,1,REGULAR,turnover,bad pass,[],1629013,,,1610612756,0,0,2022-03-05T03:16:26Z,70000,,,0,,L. Shamet bad pass TURNOVER (1 TO),"[1629013, 1629011]",1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,1.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2022-03-05T03:16:23.7Z,1,REGULAR,steal,,[],1629011,,,1610612752,0,0,2022-03-05T03:16:25Z,80000,,,0,,M. Robinson STEAL (1 STL),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M22.00S,2022-03-05T03:16:45.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203944,14.4053876478318,55.392156862745104,1610612752,0,2,2022-03-05T03:16:53Z,90000,-27.0,83.0,1,left,J. Randle 8' fadeaway Jump Shot (2 PTS),[203944],1610612752.0,NYK,fadeaway,,,Randle,J. Randle,,,,,,,,8.72,Made,2.0,,,,,,,,,,,,,,,
10,PT11M11.00S,2022-03-05T03:17:01.3Z,1,REGULAR,foul,personal,[],203944,,,1610612756,0,2,2022-03-05T03:17:06Z,100000,,,0,,J. Randle personal FOUL (1 PF),"[203944, 203109]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,204058.0,1.0,0.0,Crowder,203109.0,,,,,,,,,,
12,PT11M03.00S,2022-03-05T03:17:20.8Z,1,REGULAR,3pt,Jump Shot,[],203109,69.59592641261499,69.85294117647058,1610612756,0,2,2022-03-05T03:17:24Z,120000,99.0,233.0,1,right,MISS J. Crowder 25' 3PT,[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,25.36,Missed,,,,,,,,,,,,,,,,
13,PT11M01.00S,2022-03-05T03:17:22.8Z,1,REGULAR,rebound,defensive,[],203095,,,1610612752,0,2,2022-03-05T03:17:24Z,130000,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,
14,PT10M50.00S,2022-03-05T03:17:33.8Z,1,REGULAR,3pt,Jump Shot,[],203944,25.04927726675427,14.705882352941178,1610612752,0,2,2022-03-05T03:17:37Z,140000,176.0,183.0,1,left,MISS J. Randle 25' step back 3PT,[203944],1610612752.0,NYK,step back,,,Randle,J. Randle,,,,,,,,25.42,Missed,,,,,,,,,,,,,,,,
15,PT10M48.00S,2022-03-05T03:17:35.7Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,0,2,2022-03-05T03:17:35Z,150000,,,0,,M. Robinson REBOUND (Off:1 Def:0),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,14.0,1.0,0.0,1.0,,,,,,
16,PT10M47.00S,2022-03-05T03:17:37.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202692,23.99802890932983,85.29411764705883,1610612752,0,2,2022-03-05T03:17:41Z,160000,-176.0,173.0,1,left,MISS A. Burks 24' 3PT,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,24.72,Missed,,,,,,,,,,,,,,,,
17,PT10M42.00S,2022-03-05T03:17:42.1Z,1,REGULAR,rebound,defensive,[],1629013,,,1610612756,0,2,2022-03-05T03:17:41Z,170000,,,0,,L. Shamet REBOUND (Off:0 Def:1),[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,
18,PT10M33.00S,2022-03-05T03:17:51.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629028,89.70105124835742,51.71568627450981,1610612756,0,2,2022-03-05T03:17:54Z,180000,9.0,44.0,1,right,MISS D. Ayton driving finger roll Layup,[1629028],1610612756.0,PHX,driving finger roll,,,Ayton,D. Ayton,,,,,,,,4.51,Missed,,,,,,,,,,,,,,,,
19,PT10M31.00S,2022-03-05T03:17:53.2Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,0,2,2022-03-05T03:17:54Z,190000,,,0,,M. Robinson REBOUND (Off:1 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,18.0,2.0,1.0,1.0,,,,,,
20,PT10M13.00S,2022-03-05T03:18:10.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,7.966491458607096,61.76470588235294,1610612752,0,2,2022-03-05T03:18:15Z,200000,-59.0,22.0,1,left,MISS R. Barrett 6' driving floating Shot,[1629628],1610612752.0,NYK,driving floating,,,Barrett,R. Barrett,,,,,,,,6.29,Missed,,,,,,,,,,,,,,,,
21,PT10M12.00S,2022-03-05T03:18:11.4Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,0,2,2022-03-05T03:18:11Z,210000,,,0,,M. Robinson REBOUND (Off:2 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,20.0,3.0,1.0,2.0,,,,,,
