actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-29T02:10:25.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-29T02:10:25Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M52.00S,2022-01-29T02:10:32.2Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612756,0,0,2022-01-29T02:10:32Z,40000,,,0,,Jump Ball B. Biyombo vs. K. Towns: Tip to C. Paul,"[101108, 202687, 1626157]",1610612756.0,PHX,startperiod,C. Paul,101108.0,Paul,C. Paul,Biyombo,202687.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-01-29T02:10:38.7Z,1,REGULAR,foul,personal,['2freethrow'],1630162,,,1610612756,0,0,2022-01-29T02:11:48Z,70000,,,0,,A. Edwards shooting personal FOUL (1 PF) (Bridges 2 FT),"[1630162, 1628969]",1610612750.0,MIN,shooting,,,Edwards,A. Edwards,,,,,202053.0,1.0,0.0,Bridges,1628969.0,,,,,,,,,,,,,,,,
9,PT11M47.00S,2022-01-29T02:11:05.5Z,1,REGULAR,freethrow,1 of 2,[],1628969,,,1610612756,1,0,2022-01-29T02:11:05Z,90000,,,0,,M. Bridges Free Throw 1 of 2 (1 PTS),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
10,PT11M47.00S,2022-01-29T02:11:21.2Z,1,REGULAR,freethrow,2 of 2,[],1628969,,,1610612756,2,0,2022-01-29T02:11:21Z,100000,,,0,,M. Bridges Free Throw 2 of 2 (2 PTS),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
11,PT11M35.00S,2022-01-29T02:11:35.9Z,1,REGULAR,3pt,Jump Shot,[],1629669,32.14520367936925,64.70588235294117,1610612750,2,3,2022-01-29T02:11:40Z,110000,-74.0,250.0,1,left,J. Nowell 26' 3PT  (3 PTS) (A. Edwards 1 AST),"[1629669, 1630162]",1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,,,,,,Made,3.0,26.03,A. Edwards,1630162.0,1.0,,,,,,,,,,
13,PT11M17.00S,2022-01-29T02:11:55.2Z,1,REGULAR,foul,personal,['2freethrow'],1629669,,,1610612756,2,3,2022-01-29T02:12:03Z,130000,,,0,,J. Nowell shooting personal FOUL (1 PF) (Biyombo 2 FT),"[1629669, 202687]",1610612750.0,MIN,shooting,,,Nowell,J. Nowell,,,,,203591.0,1.0,0.0,Biyombo,202687.0,,,,,,,,,,,,,,,,
15,PT11M17.00S,2022-01-29T02:12:20.3Z,1,REGULAR,freethrow,1 of 2,[],202687,,,1610612756,3,3,2022-01-29T02:12:37Z,150000,,,0,,B. Biyombo Free Throw 1 of 2 (1 PTS),[202687],1610612756.0,PHX,,,,Biyombo,B. Biyombo,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
16,PT11M17.00S,2022-01-29T02:12:20.3Z,1,REGULAR,freethrow,2 of 2,[],202687,,,1610612756,3,3,2022-01-29T02:12:37Z,160000,,,0,,MISS B. Biyombo Free Throw 2 of 2,[202687],1610612756.0,PHX,,,,Biyombo,B. Biyombo,,,,,,,,,,Missed,,,,,,,,,,,,,,,
17,PT11M14.00S,2022-01-29T02:12:23.3Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,3,3,2022-01-29T02:12:37Z,170000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,
18,PT11M06.00S,2022-01-29T02:12:48.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,3,3,2022-01-29T02:12:48Z,180000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT11M00.00S,2022-01-29T02:13:01.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630162,11.251642575558476,54.166666666666664,1610612750,3,5,2022-01-29T02:13:07Z,190000,-21.0,53.0,1,left,A. Edwards driving Hook (2 PTS),[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,,,,,,Made,2.0,5.72,,,,,,,,,,,,,
20,PT10M44.00S,2022-01-29T02:13:16.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,84.57621550591328,44.11764705882353,1610612756,3,5,2022-01-29T02:13:20Z,200000,-29.0,92.0,1,right,MISS D. Booker 9' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,,,,,,Missed,,9.71,,,,,,,,,,,,,
21,PT10M41.00S,2022-01-29T02:13:19.5Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,3,5,2022-01-29T02:13:20Z,210000,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,
22,PT10M32.00S,2022-01-29T02:13:29.9Z,1,REGULAR,turnover,bad pass,[],1626157,,,1610612750,3,5,2022-01-29T02:13:33Z,220000,,,0,,K. Towns bad pass TURNOVER (1 TO),"[1626157, 1626164]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,1.0,Booker,1626164.0,,,
23,PT10M32.00S,2022-01-29T02:13:29.9Z,1,REGULAR,steal,,[],1626164,,,1610612756,3,5,2022-01-29T02:13:31Z,230000,,,0,,D. Booker STEAL (1 STL),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M29.00S,2022-01-29T02:13:34.3Z,1,REGULAR,foul,personal,['2freethrow'],1629669,,,1610612756,3,5,2022-01-29T02:13:42Z,240000,,,0,,J. Nowell shooting personal FOUL (2 PF) (Bridges 2 FT),"[1629669, 1628969]",1610612750.0,MIN,shooting,,,Nowell,J. Nowell,,,,,202053.0,2.0,0.0,Bridges,1628969.0,,,,,,,,,,,,,,,,
26,PT10M29.00S,2022-01-29T02:14:01.8Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1628969,,,1610612756,4,5,2022-01-29T02:14:01Z,260000,,,0,,M. Bridges Free Throw 1 of 2 (3 PTS),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
27,PT10M29.00S,2022-01-29T02:14:15.9Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1628969,,,1610612756,5,5,2022-01-29T02:14:15Z,270000,,,0,,M. Bridges Free Throw 2 of 2 (4 PTS),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
28,PT10M17.00S,2022-01-29T02:14:28.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629669,10.068988173455978,39.46078431372549,1610612750,5,7,2022-01-29T02:22:18Z,280000,53.0,42.0,1,left,J. Nowell 6' driving Layup (5 PTS),[1629669],1610612750.0,MIN,driving,,,Nowell,J. Nowell,,,,,,,,,,Made,5.0,6.75,,,,,,,,,,,,,
29,PT10M03.00S,2022-01-29T02:14:45.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626164,89.70105124835742,58.333333333333336,1610612756,5,7,2022-01-29T02:30:25Z,290000,42.0,44.0,1,right,MISS D. Booker 6' driving Layup,[1626164],1610612756.0,PHX,driving,,,Booker,D. Booker,,,,,,,,,,Missed,,6.08,,,,,,,,,,,,,
30,PT10M01.00S,2022-01-29T02:14:47.7Z,1,REGULAR,rebound,offensive,[],202687,,,1610612756,5,7,2022-01-29T02:30:25Z,300000,,,0,,B. Biyombo REBOUND (Off:1 Def:0),[202687],1610612756.0,PHX,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,29.0,1.0,0.0,1.0,,,,,,
34,PT10M01.00S,2022-01-29T02:14:50.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202687,94.95729303547962,48.529411764705884,1610612756,5,7,2022-01-29T02:15:31Z,305000,-7.0,-5.0,1,right,MISS B. Biyombo tip Layup,[202687],1610612756.0,PHX,tip,,,Biyombo,B. Biyombo,,,,,,,,,,Missed,,0.9,,,,,,,,,,,,,
35,PT09M59.00S,2022-01-29T02:14:52.6Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,5,7,2022-01-29T02:30:30Z,307500,,,0,,J. Vanderbilt REBOUND (Off:0 Def:2),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,34.0,2.0,2.0,0.0,,,,,,
31,PT09M51.00S,2022-01-29T02:14:55.5Z,1,REGULAR,3pt,Jump Shot,[],1626157,35.03613666228647,77.94117647058823,1610612750,5,7,2022-01-29T02:14:58Z,310000,-140.0,277.0,1,left,MISS K. Towns 31' 3PT,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,Missed,,31.01,,,,,,,,,,,,,
32,PT09M48.00S,2022-01-29T02:14:58.5Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,5,7,2022-01-29T02:14:58Z,320000,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,
33,PT09M41.00S,2022-01-29T02:15:09.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612756,5,7,2022-01-29T02:15:09Z,330000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT09M38.00S,2022-01-29T02:15:32.1Z,1,REGULAR,2pt,Jump Shot,[],1628969,92.72339027595268,25.98039215686275,1610612756,7,7,2022-01-29T02:15:42Z,340000,-120.0,16.0,1,right,M. Bridges 12' fadeaway Jump Shot (6 PTS) (C. Paul 1 AST),"[1628969, 101108]",1610612756.0,PHX,fadeaway,,,Bridges,M. Bridges,,,,,,,,,,Made,6.0,12.11,C. Paul,101108.0,1.0,,,,,,,,,,
38,PT09M28.00S,2022-01-29T02:15:42.4Z,1,REGULAR,2pt,Jump Shot,[],1629669,14.273981603153747,73.2843137254902,1610612750,7,7,2022-01-29T02:15:47Z,360000,-116.0,82.0,1,left,MISS J. Nowell 14' pullup Shot,[1629669],1610612750.0,MIN,pullup,,,Nowell,J. Nowell,,,,,,,,,,Missed,,14.22,,,,,,,,,,,,,
39,PT09M25.00S,2022-01-29T02:15:45.4Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,7,7,2022-01-29T02:15:47Z,370000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,
40,PT09M20.00S,2022-01-29T02:15:49.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626164,74.45795006570303,83.08823529411765,1610612756,10,7,2022-01-29T02:16:02Z,380000,165.0,188.0,1,right,D. Booker 25' 3PT running pullup (3 PTS),[1626164],1610612756.0,PHX,running pullup,,,Booker,D. Booker,,,,,,,,,,Made,3.0,25.01,,,,,,,,,,,,,
41,PT09M04.00S,2022-01-29T02:16:05.0Z,1,REGULAR,3pt,Jump Shot,[],1629669,13.222733245729303,3.1862745098039214,1610612750,10,7,2022-01-29T02:16:10Z,390000,234.0,72.0,1,left,MISS J. Nowell 24' 3PT,[1629669],1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,,,,,,Missed,,24.49,,,,,,,,,,,,,
42,PT09M00.00S,2022-01-29T02:16:09.0Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612750,10,7,2022-01-29T02:16:10Z,400000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:2),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,41.0,3.0,2.0,1.0,,,,,,
