actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-12-03T02:10:16.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-03T02:10:16Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-03T02:10:20.3Z,1,REGULAR,jumpball,recovered,[],1628969,,,1610612756,0,0,2021-12-03T02:10:20Z,40000,,,0,,Jump Ball D. Ayton vs. I. Stewart: Tip to M. Bridges,"[1628969, 1629028, 1630191]",1610612756.0,PHX,startperiod,M. Bridges,1628969.0,Bridges,M. Bridges,Ayton,1629028.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-12-03T02:10:32.6Z,1,REGULAR,2pt,Jump Shot,[],1629028,91.5407358738502,20.34313725490196,1610612756,0,0,2021-12-03T02:10:36Z,70000,-148.0,27.0,1,right,MISS D. Ayton 15' turnaround Shot,[1629028],1610612756.0,PHX,turnaround,,,Ayton,D. Ayton,,,,,15.07,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2021-12-03T02:10:35.6Z,1,REGULAR,rebound,defensive,[],1630165,,,1610612765,0,0,2021-12-03T02:10:36Z,80000,,,0,,K. Hayes REBOUND (Off:0 Def:1),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M19.00S,2021-12-03T02:10:57.4Z,1,REGULAR,3pt,Jump Shot,[],203924,30.17411300919842,28.921568627450984,1610612765,0,0,2021-12-03T02:11:01Z,90000,105.0,231.0,1,left,MISS J. Grant 25' bank 3PT,[203924],1610612765.0,DET,bank,,,Grant,J. Grant,,,,,25.4,Missed,,,,,,,,,,,,,,,,,,
10,PT11M15.00S,2021-12-03T02:11:00.0Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,0,0,2021-12-03T02:11:00Z,100000,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M07.00S,2021-12-03T02:11:08.6Z,1,REGULAR,2pt,Jump Shot,[],1629013,76.82325886990802,63.48039215686274,1610612756,0,0,2021-12-03T02:11:12Z,110000,67.0,165.0,1,right,MISS L. Shamet 17' Jump Shot,[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,17.86,Missed,,,,,,,,,,,,,,,,,,
12,PT11M05.00S,2021-12-03T02:11:10.6Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,0,0,2021-12-03T02:11:12Z,120000,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M55.00S,2021-12-03T02:11:20.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630165,19.136005256241788,38.48039215686275,1610612765,0,0,2021-12-03T02:11:27Z,130000,58.0,127.0,1,left,MISS K. Hayes 13' turnaround Shot,[1630165],1610612765.0,DET,turnaround,,,Hayes,K. Hayes,,,,,13.98,Missed,,,,,,,,,,,,,,,,,,
14,PT10M52.00S,2021-12-03T02:11:23.5Z,1,REGULAR,rebound,offensive,[],1630191,,,1610612765,0,0,2021-12-03T02:11:23Z,140000,,,0,,I. Stewart REBOUND (Off:1 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,13.0,2.0,1.0,1.0,,,,,,,,,,,,,,
15,PT10M47.00S,2021-12-03T02:11:28.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1630191,10.200394218134035,47.05882352941176,1610612765,0,0,2021-12-03T02:11:32Z,150000,15.0,43.0,1,left,MISS I. Stewart Hook,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,4.58,Missed,,,,,,,,,,,,,,,,,,
16,PT10M45.00S,2021-12-03T02:11:30.7Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,0,0,2021-12-03T02:11:32Z,160000,,,0,,D. Ayton REBOUND (Off:0 Def:2),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,15.0,2.0,2.0,0.0,,,,,,,,,,,,,,
17,PT10M35.00S,2021-12-03T02:11:40.6Z,1,REGULAR,3pt,Jump Shot,[],1629013,71.30420499342969,75.24509803921569,1610612756,0,0,2021-12-03T02:11:44Z,170000,126.0,217.0,1,right,MISS L. Shamet 25' 3PT,[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,25.12,Missed,,,,,,,,,,,,,,,,,,
