actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-07T02:10:17.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-07T02:10:17Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-07T02:10:20.2Z,1,REGULAR,jumpball,recovered,[],1628969,,,1610612756,0,0,2021-12-07T02:10:20Z,40000,,,0,,Jump Ball D. Ayton vs. J. Poeltl: Tip to M. Bridges,"[1628969, 1629028, 1627751]",1610612756.0,PHX,startperiod,M. Bridges,1628969.0,Bridges,M. Bridges,Ayton,1629028.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-12-07T02:10:30.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629013,82.9993429697766,36.51960784313725,1610612756,0,0,2021-12-07T02:10:39Z,70000,-67.0,107.0,1,right,MISS L. Shamet 12' driving floating Shot,[1629013],1610612756.0,PHX,driving floating,,,Shamet,L. Shamet,,,,,12.67,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2021-12-07T02:10:32.6Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612756,0,0,2021-12-07T02:10:46Z,80000,,,0,,D. Ayton REBOUND (Off:1 Def:0),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M42.00S,2021-12-07T02:10:36.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629028,94.40999984741211,50.0,1610612756,2,0,2021-12-07T02:10:49Z,90000,0.0,0.0,1,right,D. Ayton tip Layup (2 PTS),[1629028],1610612756.0,PHX,tip,,,Ayton,D. Ayton,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,,
10,PT11M25.00S,2021-12-07T02:10:51.5Z,1,REGULAR,3pt,Jump Shot,[],1628401,26.757555847568987,16.666666666666664,1610612759,2,0,2021-12-07T02:10:55Z,100000,167.0,199.0,1,left,MISS D. White 25' 3PT,[1628401],1610612759.0,SAS,,,,White,D. White,,,,,25.96,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M23.00S,2021-12-07T02:10:53.5Z,1,REGULAR,rebound,defensive,[],1629013,,,1610612756,2,0,2021-12-07T02:10:55Z,110000,,,0,,L. Shamet REBOUND (Off:0 Def:1),[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
12,PT11M16.00S,2021-12-07T02:11:01.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,84.70762155059133,55.392156862745104,1610612756,4,0,2021-12-07T02:11:05Z,120000,27.0,91.0,1,right,D. Ayton 9' floating Jump Shot (4 PTS) (L. Shamet 1 AST),"[1629028, 1629013]",1610612756.0,PHX,floating,,,Ayton,D. Ayton,,,,,9.51,Made,,,,,4.0,L. Shamet,1629013.0,1.0,,,,,,,,,,,
14,PT10M56.00S,2021-12-07T02:11:19.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,9.937582128777924,47.794117647058826,1610612759,4,2,2021-12-07T02:11:24Z,140000,11.0,41.0,1,left,J. Poeltl cutting Layup (2 PTS) (D. Murray 1 AST),"[1627751, 1627749]",1610612759.0,SAS,cutting,,,Poeltl,J. Poeltl,,,,,4.24,Made,,,,,2.0,D. Murray,1627749.0,1.0,,,,,,,,,,,
16,PT10M46.00S,2021-12-07T02:11:30.1Z,1,REGULAR,3pt,Jump Shot,[],203109,72.22404730617609,78.43137254901961,1610612756,4,2,2021-12-07T02:11:36Z,160000,142.0,209.0,1,right,MISS J. Crowder 25' 3PT,[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,25.25,Missed,,,,,,,,,,,,,,,,,,,
