actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-01T03:06:22.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-01T03:06:22Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-12-01T03:06:24.1Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612756,0,0,2021-12-01T03:06:24Z,40000,,,0,,Jump Ball D. Ayton vs. K. Looney: Tip to C. Paul,"[101108, 1629028, 1626172]",1610612756.0,PHX,startperiod,C. Paul,101108.0,Paul,C. Paul,Ayton,1629028.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M53.00S,2021-12-01T03:06:28.7Z,1,REGULAR,3pt,Jump Shot,[],203109,67.7562417871222,55.392156862745104,1610612756,0,0,2021-12-01T03:06:35Z,70000,27.0,251.0,1,right,MISS J. Crowder 25' 3PT,[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,25.21,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M49.00S,2021-12-01T03:06:32.7Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,0,0,2021-12-01T03:06:35Z,80000,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M34.00S,2021-12-01T03:06:47.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,8.492115637319317,45.588235294117645,1610612744,0,2,2021-12-01T03:06:56Z,90000,22.0,27.0,1,left,K. Looney cutting Layup (2 PTS) (D. Green 1 AST),"[1626172, 203110]",1610612744.0,GSW,cutting,,,Looney,K. Looney,,,,,3.51,Made,,,,,2.0,D. Green,203110.0,1.0,,,,,,,,,,,
11,PT11M14.00S,2021-12-01T03:07:07.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626164,89.70105124835742,37.99019607843137,1610612756,0,2,2021-12-01T03:08:01Z,110000,-60.0,44.0,1,right,MISS D. Booker 7' driving Layup,[1626164],1610612756.0,PHX,driving,,,Booker,D. Booker,,,,,7.46,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M10.00S,2021-12-01T03:07:11.2Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612756,0,2,2021-12-01T03:07:16Z,130000,,,0,,D. Ayton REBOUND (Off:1 Def:0),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
14,PT11M09.00S,2021-12-01T03:07:11.6Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1629028,90.62089356110381,46.07843137254902,1610612756,2,2,2021-12-01T03:08:23Z,140000,-20.0,36.0,1,right,D. Ayton Hook (2 PTS),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,4.07,Made,,,,,2.0,,,,,,,,,,,,,,
15,PT10M51.00S,2021-12-01T03:07:30.1Z,1,REGULAR,3pt,Jump Shot,[],203952,18.610381077529567,94.36274509803921,1610612744,2,2,2021-12-01T03:07:34Z,150000,-222.0,122.0,1,left,MISS A. Wiggins 25' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,25.33,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M49.00S,2021-12-01T03:07:32.1Z,1,REGULAR,rebound,defensive,[],203109,,,1610612756,2,2,2021-12-01T03:07:34Z,160000,,,0,,J. Crowder REBOUND (Off:0 Def:1),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
