actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-12-11T03:15:39.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-11T03:15:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-12-11T03:15:42.6Z,1,REGULAR,jumpball,recovered,[],203471,,,1610612738,0,0,2021-12-11T03:15:42Z,40000,,,0,,Jump Ball R. Williams III vs. J. McGee: Tip to D. Schroder,"[203471, 1629057, 201580]",1610612738.0,BOS,startperiod,D. Schroder,203471.0,Schroder,D. Schroder,Williams III,1629057.0,McGee,201580.0,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-12-11T03:15:57.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203935,91.5407358738502,44.36274509803921,1610612738,0,0,2021-12-11T03:16:02Z,70000,-28.0,27.0,1,right,MISS M. Smart driving reverse Layup - blocked,"[203935, 201580]",1610612738.0,BOS,driving reverse,,,Smart,M. Smart,,,,,3.9,Missed,McGee,201580.0,,,,,,,,,,,,,,,,
8,PT11M40.00S,2021-12-11T03:15:57.9Z,1,REGULAR,block,,[],201580,,,1610612738,0,0,2021-12-11T03:15:59Z,80000,,,0,,J. McGee BLOCK (1 BLK),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2021-12-11T03:15:59.9Z,1,REGULAR,rebound,defensive,[],201580,,,1610612756,0,0,2021-12-11T03:16:02Z,90000,,,0,,J. McGee REBOUND (Off:0 Def:1),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M21.00S,2021-12-11T03:16:17.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203109,8.229303547963205,41.42156862745098,1610612756,2,0,2021-12-11T03:16:34Z,100000,43.0,25.0,1,left,J. Crowder driving floating bank Jump Shot (2 PTS) (C. Paul 1 AST),"[203109, 101108]",1610612756.0,PHX,driving floating bank,,,Crowder,J. Crowder,,,,,4.96,Made,,,,,,,2.0,C. Paul,101108.0,1.0,,,,,,,,
12,PT11M01.00S,2021-12-11T03:16:37.1Z,1,REGULAR,3pt,Jump Shot,[],1628369,71.96123521681997,79.16666666666666,1610612738,2,3,2021-12-11T03:16:40Z,120000,146.0,211.0,1,right,J. Tatum 25' 3PT  (3 PTS) (A. Horford 1 AST),"[1628369, 201143]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.66,Made,,,,,,,3.0,A. Horford,201143.0,1.0,,,,,,,,
14,PT10M39.00S,2021-12-11T03:16:58.8Z,1,REGULAR,3pt,Jump Shot,[],1628969,6.783837056504599,96.32352941176471,1610612756,5,3,2021-12-11T03:17:02Z,140000,-232.0,11.0,1,left,M. Bridges 3PT  (3 PTS) (L. Shamet 1 AST),"[1628969, 1629013]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,23.19,Made,,,,,,,3.0,L. Shamet,1629013.0,1.0,,,,,,,,
16,PT10M19.00S,2021-12-11T03:17:19.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201143,92.85479632063075,53.18627450980392,1610612738,5,3,2021-12-11T03:17:22Z,160000,16.0,15.0,1,right,MISS A. Horford Layup,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,2.17,Missed,,,,,,,,,,,,,,,,,,
17,PT10M17.00S,2021-12-11T03:17:21.4Z,1,REGULAR,rebound,defensive,[],201580,,,1610612756,5,3,2021-12-11T03:17:22Z,170000,,,0,,J. McGee REBOUND (Off:0 Def:2),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,
18,PT10M00.00S,2021-12-11T03:17:39.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201580,6.1268068331143235,52.69607843137255,1610612756,7,3,2021-12-11T03:17:42Z,180000,-13.0,5.0,1,left,J. McGee cutting Layup (2 PTS) (C. Paul 2 AST),"[201580, 101108]",1610612756.0,PHX,cutting,,,McGee,J. McGee,,,,,1.44,Made,,,,,,,2.0,C. Paul,101108.0,2.0,,,,,,,,
20,PT09M49.00S,2021-12-11T03:17:52.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,87.59855453350855,45.83333333333333,1610612738,7,5,2021-12-11T03:17:55Z,200000,-21.0,64.0,1,right,J. Tatum 6' driving floating Jump Shot (5 PTS),[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,6.74,Made,,,,,,,5.0,,,,,,,,,,,
21,PT09M49.00S,2021-12-11T03:17:56.4Z,1,REGULAR,foul,personal,['1freethrow'],201580,,,1610612738,7,5,2021-12-11T03:18:17Z,210000,,,0,,J. McGee shooting personal FOUL (1 PF) (Tatum 1 FT),"[201580, 1628369]",1610612756.0,PHX,shooting,,,McGee,J. McGee,,,,,,,,,,,,,,,,,1627541.0,1.0,0.0,Tatum,1628369.0,,,
23,PT09M49.00S,2021-12-11T03:18:19.0Z,1,REGULAR,freethrow,1 of 1,[],1628369,,,1610612738,7,6,2021-12-11T03:18:19Z,230000,,,0,,J. Tatum Free Throw 1 of 1 (6 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,,,6.0,,,,,,,,,,,
24,PT09M30.00S,2021-12-11T03:18:38.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203109,5.863994743758213,51.9607843137255,1610612756,9,6,2021-12-11T03:18:40Z,240000,-10.0,3.0,1,left,J. Crowder driving floating Jump Shot (4 PTS),[203109],1610612756.0,PHX,driving floating,,,Crowder,J. Crowder,,,,,1.01,Made,,,,,,,4.0,,,,,,,,,,,
25,PT09M09.00S,2021-12-11T03:19:00.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,93.24901445466492,49.01960784313725,1610612738,9,8,2021-12-11T03:19:04Z,250000,-5.0,11.0,1,right,J. Tatum driving reverse Layup (8 PTS),[1628369],1610612738.0,BOS,driving reverse,,,Tatum,J. Tatum,,,,,1.2,Made,,,,,,,8.0,,,,,,,,,,,
