actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-11-03T02:05:48.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-03T02:05:48Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-03T02:05:51.7Z,1,REGULAR,jumpball,recovered,[],1628969,,,1610612756,0,0,2021-11-03T02:05:51Z,40000,,,0,,Jump Ball J. McGee vs. J. Valanciunas: Tip to M. Bridges,"[1628969, 201580, 202685]",1610612756.0,PHX,startperiod,M. Bridges,1628969.0,Bridges,M. Bridges,McGee,201580.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2021-11-03T02:05:57.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201580,11.251642575558476,39.705882352941174,1610612756,0,0,2021-11-03T02:06:01Z,70000,51.0,53.0,1,left,MISS J. McGee 7' driving Hook - blocked,"[201580, 202685]",1610612756.0,PHX,driving,,,McGee,J. McGee,,,,,7.41,Missed,Valanciunas,202685.0,,,,,,,,,,,,,,,,,
8,PT11M50.00S,2021-11-03T02:05:57.1Z,1,REGULAR,block,,[],202685,,,1610612756,0,0,2021-11-03T02:05:59Z,80000,,,0,,J. Valanciunas BLOCK (1 BLK),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M47.00S,2021-11-03T02:06:00.1Z,1,REGULAR,rebound,offensive,[],1626164,,,1610612756,0,0,2021-11-03T02:06:00Z,90000,,,0,,D. Booker REBOUND (Off:1 Def:0),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M47.00S,2021-11-03T02:06:02.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1626164,6.8823915900131425,37.254901960784316,1610612756,0,0,2021-11-03T02:12:34Z,100000,64.0,12.0,1,left,MISS D. Booker 6' fadeaway Shot,[1626164],1610612756.0,PHX,fadeaway,,,Booker,D. Booker,,,,,6.49,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M44.00S,2021-11-03T02:06:05.4Z,1,REGULAR,rebound,offensive,[],201580,,,1610612756,0,0,2021-11-03T02:11:07Z,110000,,,0,,J. McGee REBOUND (Off:1 Def:0),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,
46,PT11M43.00S,2021-11-03T02:06:04.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201580,8.196452036793687,49.50980392156863,1610612756,0,0,2021-11-03T02:10:49Z,115000,2.0,25.0,1,left,MISS J. McGee tip Layup,[201580],1610612756.0,PHX,tip,,,McGee,J. McGee,,,,,2.46,Missed,,,,,,,,,,,,,,,,,,,
47,PT11M43.00S,2021-11-03T02:06:04.0Z,1,REGULAR,rebound,offensive,[],201580,,,1610612756,0,0,2021-11-03T02:10:49Z,117500,,,0,,J. McGee REBOUND (Off:2 Def:0),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,46.0,2.0,0.0,2.0,,,,,,,,,,,,,
12,PT11M41.00S,2021-11-03T02:06:05.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201580,5.590000152587891,50.0,1610612756,2,0,2021-11-03T02:10:36Z,120000,0.0,0.0,1,left,J. McGee tip Layup (2 PTS),[201580],1610612756.0,PHX,tip,,,McGee,J. McGee,,,,,0.0,Made,,,,,,,2.0,,,,,,,,,,,,
