actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
60,PT07M18.00S,2021-12-24T02:17:55.2Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,11,3,2021-12-24T02:17:58Z,570000,,,0,,J. Giddey REBOUND (Off:0 Def:4),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,59.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
61,PT07M05.00S,2021-12-24T02:18:07.6Z,1,REGULAR,3pt,Jump Shot,[],1630598,23.603810775295663,87.00980392156863,1610612760,11,3,2021-12-24T02:18:13Z,580000,-185.0,169.0,1,left,MISS A. Wiggins 25' 3PT,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,25.08,Missed,,,,,,,,,,,,,,,,,,,
62,PT07M02.00S,2021-12-24T02:18:10.6Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,11,3,2021-12-24T02:18:13Z,590000,,,0,,D. Booker REBOUND (Off:0 Def:2),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,61.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
63,PT06M49.00S,2021-12-24T02:18:23.7Z,1,REGULAR,3pt,Jump Shot,[],1628969,73.80091984231275,14.705882352941178,1610612756,14,3,2021-12-24T02:18:36Z,600000,-176.0,194.0,1,right,M. Bridges 26' 3PT  (3 PTS) (D. Booker 1 AST),"[1628969, 1626164]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,26.21,Made,,,,,,,,3.0,,D. Booker,1626164.0,1.0,,,,,,,
65,PT06M35.00S,2021-12-24T02:18:38.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,10.33180026281209,56.61764705882353,1610612760,14,5,2021-12-24T02:28:55Z,620000,-33.0,45.0,1,left,J. Giddey driving finger roll Layup (2 PTS),[1630581],1610612760.0,OKC,driving finger roll,,,Giddey,J. Giddey,,,,,5.55,Made,,,,,,,,2.0,,,,,,,,,,,
66,PT06M20.00S,2021-12-24T02:18:52.2Z,1,REGULAR,3pt,Jump Shot,[],1629028,66.96780551905388,50.73529411764706,1610612756,14,5,2021-12-24T02:18:55Z,630000,4.0,258.0,1,right,MISS D. Ayton 25' 3PT,[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,25.8,Missed,,,,,,,,,,,,,,,,,,,
67,PT06M18.00S,2021-12-24T02:18:54.2Z,1,REGULAR,rebound,defensive,[],1630598,,,1610612760,14,5,2021-12-24T02:18:55Z,640000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,66.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
68,PT06M05.00S,2021-12-24T02:19:07.1Z,1,REGULAR,3pt,Jump Shot,[],1630598,27.54599211563732,18.872549019607842,1610612760,14,5,2021-12-24T02:19:11Z,650000,156.0,206.0,1,left,MISS A. Wiggins 25' 3PT,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,25.85,Missed,,,,,,,,,,,,,,,,,,,
69,PT06M04.00S,2021-12-24T02:19:08.1Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,14,5,2021-12-24T02:19:11Z,660000,,,0,,D. Booker REBOUND (Off:0 Def:3),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,68.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
70,PT05M54.00S,2021-12-24T02:19:19.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,81.8166885676741,51.71568627450981,1610612756,16,5,2021-12-24T02:19:26Z,670000,9.0,118.0,1,right,D. Ayton 11' floating Jump Shot (8 PTS) (D. Booker 2 AST),"[1629028, 1626164]",1610612756.0,PHX,floating,,,Ayton,D. Ayton,,,,,11.87,Made,,,,,,,,8.0,,D. Booker,1626164.0,2.0,,,,,,,
72,PT05M36.00S,2021-12-24T02:19:37.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,9.017739816031538,39.950980392156865,1610612760,16,5,2021-12-24T02:30:18Z,690000,50.0,32.0,1,left,MISS J. Giddey driving Layup,[1630581],1610612760.0,OKC,driving,,,Giddey,J. Giddey,,,,,5.97,Missed,,,,,,,,,,,,,,,,,,,
73,PT05M34.00S,2021-12-24T02:19:39.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612756,16,5,2021-12-24T02:19:52Z,700000,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,
74,PT05M34.00S,2021-12-24T02:19:47.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,16,5,2021-12-24T02:19:47Z,710000,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M20.00S,2021-12-24T02:22:55.2Z,1,REGULAR,2pt,Jump Shot,[],1626164,76.42904073587385,58.08823529411765,1610612756,18,5,2021-12-24T02:23:11Z,720000,40.0,169.0,1,right,D. Booker 17' pullup Jump Shot (5 PTS) (D. Ayton 1 AST),"[1626164, 1629028]",1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,17.39,Made,,,,,,,,5.0,,D. Ayton,1629028.0,1.0,,,,,,,
77,PT05M20.00S,2021-12-24T02:22:58.5Z,1,REGULAR,foul,personal,['1freethrow'],1629652,,,1610612756,18,5,2021-12-24T02:23:09Z,740000,,,0,,L. Dort shooting personal FOUL (2 PF) (Booker 1 FT),"[1629652, 1626164]",1610612760.0,OKC,shooting,,,Dort,L. Dort,,,,,,,,,,,,,,,1628951.0,,,,2.0,0.0,Booker,1626164.0,,,
79,PT05M20.00S,2021-12-24T02:23:19.7Z,1,REGULAR,freethrow,1 of 1,[],1626164,,,1610612756,19,5,2021-12-24T02:23:19Z,760000,,,0,,D. Booker Free Throw 1 of 1 (6 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,Made,,,,,,,,6.0,,,,,,,,,,,
80,PT05M08.00S,2021-12-24T02:23:32.5Z,1,REGULAR,3pt,Jump Shot,[],1630526,31.61957950065703,33.33333333333333,1610612760,19,8,2021-12-24T02:23:39Z,770000,83.0,245.0,1,left,J. Robinson-Earl 25' 3PT  (3 PTS) (S. Gilgeous-Alexander 1 AST),"[1630526, 1628983]",1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,25.85,Made,,,,,,,,3.0,,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,
82,PT04M52.00S,2021-12-24T02:23:50.2Z,1,REGULAR,turnover,out-of-bounds,[],1626164,,,1610612756,19,8,2021-12-24T02:23:57Z,790000,,,0,,D. Booker bad pass out-of-bounds TURNOVER (1 TO),[1626164],1610612756.0,PHX,bad pass,,,Booker,D. Booker,,,,,,,,,,,1.0,,,,1628951.0,,,,,,,,,,
83,PT04M44.00S,2021-12-24T02:24:00.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630581,2.1846254927726676,95.09803921568627,1610612760,19,8,2021-12-24T02:24:05Z,800000,-225.0,-32.0,1,left,MISS J. Giddey 3PT,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,22.78,Missed,,,,,,,,,,,,,,,,,,,
84,PT04M40.00S,2021-12-24T02:24:04.9Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,19,8,2021-12-24T02:24:05Z,810000,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,83.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
85,PT04M30.00S,2021-12-24T02:24:14.9Z,1,REGULAR,turnover,bad pass,[],101108,,,1610612756,19,8,2021-12-24T02:24:18Z,820000,,,0,,C. Paul bad pass TURNOVER (1 TO),"[101108, 1630598]",1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,1.0,Wiggins,1630598.0,,,,,,,,,,,,
86,PT04M30.00S,2021-12-24T02:24:14.9Z,1,REGULAR,steal,,[],1630598,,,1610612760,19,8,2021-12-24T02:24:16Z,830000,,,0,,A. Wiggins STEAL (1 STL),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M24.00S,2021-12-24T02:24:20.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630581,8.623521681997373,46.568627450980394,1610612760,19,8,2021-12-24T02:24:26Z,840000,17.0,29.0,1,left,MISS J. Giddey Layup,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,3.34,Missed,,,,,,,,,,,,,,,,,,,
88,PT04M22.00S,2021-12-24T02:24:22.3Z,1,REGULAR,rebound,offensive,[],1628983,,,1610612760,19,8,2021-12-24T02:24:22Z,850000,,,0,,S. Gilgeous-Alexander REBOUND (Off:1 Def:0),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,87.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
89,PT04M18.00S,2021-12-24T02:24:26.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629652,32.53942181340342,42.64705882352941,1610612760,19,8,2021-12-24T02:24:33Z,860000,37.0,253.0,1,left,MISS L. Dort 25' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,25.61,Missed,,,,,,,,,,,,,,,,,,,
90,PT04M15.00S,2021-12-24T02:24:29.1Z,1,REGULAR,rebound,offensive,[],1630581,,,1610612760,19,8,2021-12-24T02:24:33Z,870000,,,0,,J. Giddey REBOUND (Off:1 Def:4),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,89.0,5.0,4.0,1.0,,,,,,,,,,,,,,,
