actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-02-27T20:45:58.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-27T20:45:58Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-27T20:46:00.9Z,1,REGULAR,jumpball,recovered,[],1629661,,,1610612756,0,0,2022-02-27T20:46:00Z,40000,,,0,,Jump Ball D. Ayton vs. R. Gobert: Tip to C. Johnson,"[1629661, 1629028, 203497]",1610612756.0,PHX,startperiod,C. Johnson,1629661.0,Johnson,C. Johnson,Ayton,1629028.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-02-27T20:46:09.6Z,1,REGULAR,2pt,Jump Shot,[],1629028,22.28975032851511,46.32352941176471,1610612756,0,0,2022-02-27T20:46:15Z,70000,18.0,157.0,1,left,MISS D. Ayton 15' Jump Shot - blocked,"[1629028, 203497]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,15.81,Missed,Gobert,203497.0,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2022-02-27T20:46:09.6Z,1,REGULAR,block,,[],203497,,,1610612756,0,0,2022-02-27T20:46:12Z,80000,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M45.00S,2022-02-27T20:46:11.6Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,0,0,2022-02-27T20:46:15Z,90000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M42.00S,2022-02-27T20:46:15.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203497,91.80354796320631,48.529411764705884,1610612762,0,0,2022-02-27T20:46:21Z,100000,-7.0,25.0,1,right,MISS R. Gobert running Layup,[203497],1610612762.0,UTA,running,,,Gobert,R. Gobert,,,,,2.56,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M40.00S,2022-02-27T20:46:17.2Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,0,0,2022-02-27T20:46:21Z,120000,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT11M28.00S,2022-02-27T20:46:29.2Z,1,REGULAR,3pt,Jump Shot,[],1629661,14.4053876478318,3.9215686274509802,1610612756,3,0,2022-02-27T20:46:32Z,130000,230.0,83.0,1,left,C. Johnson 24' 3PT  (3 PTS) (M. Bridges 1 AST),"[1629661, 1628969]",1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,24.49,Made,,,,,,,3.0,M. Bridges,1628969.0,1.0,,,,,,,,,
15,PT11M02.00S,2022-02-27T20:46:55.1Z,1,REGULAR,3pt,Jump Shot,[],201144,76.5604467805519,86.76470588235294,1610612762,3,0,2022-02-27T20:46:58Z,150000,184.0,168.0,1,right,MISS M. Conley 24' step back 3PT,[201144],1610612762.0,UTA,step back,,,Conley,M. Conley,,,,,24.89,Missed,,,,,,,,,,,,,,,,,,,
16,PT11M00.00S,2022-02-27T20:46:57.1Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,3,0,2022-02-27T20:46:58Z,160000,,,0,,D. Booker REBOUND (Off:0 Def:2),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,15.0,2.0,2.0,0.0,,,,,,,,,,,,,
18,PT10M54.00S,2022-02-27T20:47:03.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,12.040078843626807,42.8921568627451,1610612756,5,0,2022-02-27T20:47:08Z,170000,36.0,61.0,1,left,D. Ayton 7' turnaround Hook (2 PTS) (D. Booker 1 AST),"[1629028, 1626164]",1610612756.0,PHX,turnaround,,,Ayton,D. Ayton,,,,,7.03,Made,,,,,,,2.0,D. Booker,1626164.0,1.0,,,,,,,,,
20,PT10M38.00S,2022-02-27T20:47:19.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,88.12417871222075,54.65686274509803,1610612762,5,0,2022-02-27T20:47:22Z,190000,23.0,59.0,1,right,MISS D. Mitchell 6' driving floating bank Shot,[1628378],1610612762.0,UTA,driving floating bank,,,Mitchell,D. Mitchell,,,,,6.35,Missed,,,,,,,,,,,,,,,,,,,
