actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-12-17T02:10:37.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-17T02:10:37Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-12-17T02:10:41.3Z,1,REGULAR,jumpball,recovered,[],203484,,,1610612764,0,0,2021-12-17T02:10:41Z,40000,,,0,,Jump Ball D. Gafford vs. D. Ayton: Tip to K. Caldwell-Pope,"[203484, 1629655, 1629028]",1610612764.0,WAS,startperiod,K. Caldwell-Pope,203484.0,Caldwell-Pope,K. Caldwell-Pope,Gafford,1629655.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2021-12-17T02:10:59.1Z,1,REGULAR,3pt,Jump Shot,[],1628398,8.886333771353483,96.81372549019608,1610612764,0,0,2021-12-17T02:11:02Z,70000,-234.0,31.0,1,left,MISS K. Kuzma 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,23.61,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2021-12-17T02:11:01.1Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,0,0,2021-12-17T02:11:02Z,80000,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M19.00S,2021-12-17T02:11:17.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,90.88370565045992,61.51960784313726,1610612756,0,0,2021-12-17T02:11:21Z,90000,58.0,33.0,1,right,MISS D. Ayton 6' driving floating Shot,[1629028],1610612756.0,PHX,driving floating,,,Ayton,D. Ayton,,,,,6.65,Missed,,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2021-12-17T02:11:18.7Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,0,0,2021-12-17T02:11:21Z,100000,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M12.00S,2021-12-17T02:11:24.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628988,9.280551905387648,60.5392156862745,1610612764,0,0,2021-12-17T02:11:32Z,110000,-53.0,35.0,1,left,MISS A. Holiday 6' running Layup,[1628988],1610612764.0,WAS,running,,,Holiday,A. Holiday,,,,,6.31,Missed,,,,,,,,,,,,,,,,,,
12,PT11M09.00S,2021-12-17T02:11:27.4Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,0,0,2021-12-17T02:11:32Z,120000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M03.00S,2021-12-17T02:11:33.4Z,1,REGULAR,3pt,Jump Shot,[],1629028,67.7562417871222,50.0,1610612756,0,0,2021-12-17T02:11:38Z,130000,0.0,251.0,1,right,MISS D. Ayton 25' 3PT,[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,25.06,Missed,,,,,,,,,,,,,,,,,,
14,PT11M01.00S,2021-12-17T02:11:35.9Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612756,0,0,2021-12-17T02:11:35Z,140000,,,0,,D. Ayton REBOUND (Off:1 Def:0),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,
