actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-10-31T02:10:00.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-31T02:10:00Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-10-31T02:10:03.0Z,1,REGULAR,jumpball,recovered,[],1628969,,,1610612756,0,0,2021-10-31T02:10:03Z,40000,,,0,,Jump Ball D. Ayton vs. J. Allen: Tip to M. Bridges,"[1628969, 1629028, 1628386]",1610612756.0,PHX,startperiod,M. Bridges,1628969.0,Bridges,M. Bridges,Ayton,1629028.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2021-10-31T02:10:10.7Z,1,REGULAR,2pt,Jump Shot,[],1626164,92.06636005256242,77.94117647058823,1610612756,0,0,2021-10-31T02:10:14Z,70000,140.0,22.0,1,right,MISS D. Booker 14' Jump Shot,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,14.14,Missed,,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2021-10-31T02:10:12.7Z,1,REGULAR,rebound,defensive,[],1629012,,,1610612739,0,0,2021-10-31T02:10:14Z,80000,,,0,,C. Sexton REBOUND (Off:0 Def:1),[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M44.00S,2021-10-31T02:10:17.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629012,11.777266754270697,50.98039215686274,1610612739,0,2,2021-10-31T02:10:22Z,90000,-5.0,58.0,1,left,C. Sexton running Layup (2 PTS),[1629012],1610612739.0,CLE,running,,,Sexton,C. Sexton,,,,,5.84,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M44.00S,2021-10-31T02:10:29.0Z,1,REGULAR,foul,personal,['1freethrow'],203109,,,1610612739,0,2,2021-10-31T02:11:01Z,100000,,,0,,J. Crowder shooting personal FOUL (1 PF) (Sexton 1 FT),"[203109, 1629012]",1610612756.0,PHX,shooting,,,Crowder,J. Crowder,,,,,,,,,,,,1179.0,1.0,0.0,Sexton,1629012.0,,,,,,,,
12,PT11M44.00S,2021-10-31T02:10:46.0Z,1,REGULAR,freethrow,1 of 1,[],1629012,,,1610612739,0,2,2021-10-31T02:10:48Z,120000,,,0,,MISS C. Sexton Free Throw 1 of 1,[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,Missed,,,,,,,,,,,,,,,,,,
13,PT11M37.00S,2021-10-31T02:10:53.0Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,0,2,2021-10-31T02:10:48Z,130000,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M19.00S,2021-10-31T02:11:05.4Z,1,REGULAR,2pt,Jump Shot,[],101108,79.188567674113,79.90196078431373,1610612756,0,2,2021-10-31T02:11:10Z,140000,150.0,143.0,1,right,MISS C. Paul 20' pullup Shot,[101108],1610612756.0,PHX,pullup,,,Paul,C. Paul,,,,,20.69,Missed,,,,,,,,,,,,,,,,,,
15,PT11M15.00S,2021-10-31T02:11:08.7Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,0,2,2021-10-31T02:11:08Z,150000,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
