actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-07T02:10:59.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-07T02:10:59Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-11-07T02:11:03.0Z,1,REGULAR,jumpball,recovered,[],1629631,,,1610612737,0,0,2021-11-07T02:11:03Z,40000,,,0,,Jump Ball C. Capela vs. J. McGee: Tip to D. Hunter,"[1629631, 203991, 201580]",1610612737.0,ATL,startperiod,D. Hunter,1629631.0,Hunter,D. Hunter,Capela,203991.0,McGee,201580.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2021-11-07T02:11:10.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,16.113666228646515,60.78431372549019,1610612737,0,0,2021-11-07T02:11:14Z,70000,-54.0,99.0,1,left,MISS D. Hunter 11' driving floating Shot,[1629631],1610612737.0,ATL,driving floating,,,Hunter,D. Hunter,,,,,11.27,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2021-11-07T02:11:12.8Z,1,REGULAR,rebound,defensive,[],201580,,,1610612756,0,0,2021-11-07T02:11:14Z,80000,,,0,,J. McGee REBOUND (Off:0 Def:1),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M39.00S,2021-11-07T02:11:19.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203109,75.1149802890933,9.313725490196079,1610612756,0,0,2021-11-07T02:11:24Z,90000,-203.0,181.0,1,right,MISS J. Crowder 27' running 3PT,[203109],1610612756.0,PHX,running,,,Crowder,J. Crowder,,,,,27.25,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M36.00S,2021-11-07T02:11:22.4Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,0,2021-11-07T02:11:24Z,100000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
50,PT11M23.00S,2021-11-07T02:11:31.9Z,1,REGULAR,violation,kicked ball,[],201580,,,1610612737,0,0,2021-11-07T02:19:09Z,115000,,,0,,J. McGee kicked ball VIOLATION,[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,,,202026.0,,,,,,,,,,,,,,
13,PT11M16.00S,2021-11-07T02:11:44.4Z,1,REGULAR,3pt,Jump Shot,[],1629027,24.178712220762154,12.277879901960784,1610612737,0,3,2021-11-07T02:15:01Z,130000,189.0,175.0,1,left,T. Young 25' 3PT step back (3 PTS),[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,25.71,Made,,,,,,3.0,,,,,,,,,,,,,
14,PT10M51.00S,2021-11-07T02:12:20.9Z,1,REGULAR,3pt,Jump Shot,[],101108,69.99014454664915,17.892156862745097,1610612756,0,3,2021-11-07T02:14:35Z,140000,-161.0,230.0,1,right,MISS C. Paul 28' step back 3PT,[101108],1610612756.0,PHX,step back,,,Paul,C. Paul,,,,,28.01,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M46.00S,2021-11-07T02:12:25.9Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,3,2021-11-07T02:14:35Z,150000,,,0,,C. Capela REBOUND (Off:0 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
