actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-03T03:15:47.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-03T03:15:47Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-03T03:15:51.4Z,1,REGULAR,jumpball,recovered,[],1626166,,,1610612756,0,0,2022-03-03T03:15:51Z,40000,,,0,,Jump Ball D. Ayton vs. D. Eubanks: Tip to C. Payne,"[1626166, 1629028, 1629234]",1610612756.0,PHX,startperiod,C. Payne,1626166.0,Payne,C. Payne,Ayton,1629028.0,Eubanks,1629234.0,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2022-03-03T03:15:59.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,82.7365308804205,51.71568627450981,1610612756,2,0,2022-03-03T03:16:03Z,70000,9.0,110.0,1,right,M. Bridges 11' pullup Jump Shot (2 PTS) (C. Payne 1 AST),"[1628969, 1626166]",1610612756.0,PHX,pullup,,,Bridges,M. Bridges,,,,,11.01,Made,2.0,C. Payne,1626166.0,1.0,,,,,,,,,,,,,,
9,PT11M27.00S,2022-03-03T03:16:19.6Z,1,REGULAR,2pt,Jump Shot,[],1628404,20.45006570302234,65.44117647058823,1610612757,2,0,2022-03-03T03:16:23Z,90000,-77.0,140.0,1,left,MISS J. Hart 15' driving floating Shot,[1628404],1610612757.0,POR,driving floating,,,Hart,J. Hart,,,,,15.96,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2022-03-03T03:16:22.6Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,2,0,2022-03-03T03:16:23Z,100000,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M20.00S,2022-03-03T03:16:26.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626166,74.45795006570303,84.31372549019608,1610612756,2,0,2022-03-03T03:16:31Z,110000,172.0,188.0,1,right,MISS C. Payne 25' running pullup 3PT,[1626166],1610612756.0,PHX,running pullup,,,Payne,C. Payne,,,,,25.42,Missed,,,,,,,,,,,,,,,,,,
12,PT11M18.00S,2022-03-03T03:16:28.5Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612757,2,0,2022-03-03T03:16:31Z,120000,,,0,,D. Eubanks REBOUND (Off:0 Def:1),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M07.00S,2022-03-03T03:16:39.9Z,1,REGULAR,turnover,bad pass,[],1629604,,,1610612757,2,0,2022-03-03T03:16:43Z,130000,,,0,,C. Elleby bad pass TURNOVER (1 TO),"[1629604, 1626166]",1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,,,,,,,,,1.0,Payne,1626166.0,,,,,,,
14,PT11M07.00S,2022-03-03T03:16:39.9Z,1,REGULAR,steal,,[],1626166,,,1610612756,2,0,2022-03-03T03:16:42Z,140000,,,0,,C. Payne STEAL (1 STL),[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M55.00S,2022-03-03T03:16:52.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629013,94.82588699080158,49.754901960784316,1610612756,4,0,2022-03-03T03:16:58Z,150000,-1.0,-4.0,1,right,L. Shamet driving Layup (2 PTS) (C. Payne 2 AST),"[1629013, 1626166]",1610612756.0,PHX,driving,,,Shamet,L. Shamet,,,,,0.41,Made,2.0,C. Payne,1626166.0,2.0,,,,,,,,,,,,,,
