actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-04-06T02:41:06.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-06T02:41:06Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-04-06T02:41:08.8Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612756,0,0,2022-04-06T02:41:08Z,40000,,,0,,Jump Ball D. Ayton vs. D. Howard: Tip to C. Paul,"[101108, 1629028, 2730]",1610612756.0,PHX,startperiod,C. Paul,101108.0,Paul,C. Paul,Ayton,1629028.0,Howard,2730.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-04-06T02:41:21.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,92.9862023653088,47.794117647058826,1610612756,2,0,2022-04-06T02:41:24Z,70000,-11.0,13.0,1,right,D. Ayton cutting DUNK (2 PTS) (D. Booker 1 AST),"[1629028, 1626164]",1610612756.0,PHX,cutting,,,Ayton,D. Ayton,,,,,1.73,Made,2.0,D. Booker,1626164.0,1.0,,,,,,,,,,,,,,,
9,PT11M21.00S,2022-04-06T02:41:47.9Z,1,REGULAR,foul,personal,['2freethrow'],1628969,,,1610612747,2,0,2022-04-06T02:41:56Z,90000,,,0,,M. Bridges shooting personal FOUL (1 PF) (Howard 2 FT),"[1628969, 2730]",1610612756.0,PHX,shooting,,,Bridges,M. Bridges,,,,,,,,,,,204058.0,1.0,0.0,Howard,2730.0,,,,,,,,,,
11,PT11M21.00S,2022-04-06T02:42:19.0Z,1,REGULAR,freethrow,1 of 2,[],2730,,,1610612747,2,1,2022-04-06T02:42:19Z,110000,,,0,,D. Howard Free Throw 1 of 2 (1 PTS),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
12,PT11M21.00S,2022-04-06T02:42:39.5Z,1,REGULAR,freethrow,2 of 2,[],2730,,,1610612747,2,2,2022-04-06T02:42:39Z,120000,,,0,,D. Howard Free Throw 2 of 2 (2 PTS),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
13,PT11M10.00S,2022-04-06T02:42:54.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203109,82.21090670170827,52.20588235294118,1610612756,2,2,2022-04-06T02:42:58Z,130000,11.0,115.0,1,right,MISS J. Crowder 11' driving floating Shot,[203109],1610612756.0,PHX,driving floating,,,Crowder,J. Crowder,,,,,11.52,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M07.00S,2022-04-06T02:42:57.7Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,2,2,2022-04-06T02:42:58Z,140000,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,
15,PT10M57.00S,2022-04-06T02:43:08.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203076,11.514454664914586,46.81372549019608,1610612747,2,4,2022-04-06T02:43:11Z,150000,16.0,56.0,1,left,A. Davis driving Hook (2 PTS),[203076],1610612747.0,LAL,driving,,,Davis,A. Davis,,,,,5.79,Made,2.0,,,,,,,,,,,,,,,,,,
16,PT10M39.00S,2022-04-06T02:43:25.0Z,1,REGULAR,3pt,Jump Shot,[],203109,73.9323258869908,81.37254901960785,1610612756,2,4,2022-04-06T02:43:28Z,160000,157.0,193.0,1,right,MISS J. Crowder 24' 3PT,[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,24.83,Missed,,,,,,,,,,,,,,,,,,,
