actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-01-25T02:10:38.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-25T02:10:38Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-25T02:10:41.1Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612756,0,0,2022-01-25T02:10:41Z,40000,,,0,,Jump Ball J. McGee vs. H. Whiteside: Tip to C. Paul,"[101108, 201580, 202355]",1610612756.0,PHX,startperiod,C. Paul,101108.0,Paul,C. Paul,McGee,201580.0,Whiteside,202355.0,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-01-25T02:10:50.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,6.783837056504599,48.77450980392157,1610612756,2,0,2022-01-25T02:10:56Z,70000,6.0,11.0,1,left,M. Bridges cutting Layup (2 PTS) (C. Paul 1 AST),"[1628969, 101108]",1610612756.0,PHX,cutting,,,Bridges,M. Bridges,,,,,1.28,Made,2.0,C. Paul,101108.0,1.0,,,,,,,,,,,,,,
9,PT11M20.00S,2022-01-25T02:11:19.3Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612762,2,0,2022-01-25T02:11:26Z,90000,,,0,,UTA shot clock Team TURNOVER,[],1610612762.0,UTA,,,,,,,,,,,,,,,,201640.0,,,,,,,,,,,,,
10,PT11M09.00S,2022-01-25T02:11:39.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629661,32.013797634691194,68.13725490196079,1610612756,5,0,2022-01-25T02:11:44Z,100000,-91.0,248.0,1,left,C. Johnson 26' 3PT  (3 PTS) (C. Paul 2 AST),"[1629661, 101108]",1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,26.44,Made,3.0,C. Paul,101108.0,2.0,,,,,,,,,,,,,,
12,PT10M53.00S,2022-01-25T02:11:54.3Z,1,REGULAR,3pt,Jump Shot,[],203903,64.47109067017082,53.67647058823529,1610612762,5,0,2022-01-25T02:12:01Z,120000,18.0,281.0,1,right,MISS J. Clarkson 28' pullup 3PT,[203903],1610612762.0,UTA,pullup,,,Clarkson,J. Clarkson,,,,,28.21,Missed,,,,,,,,,,,,,,,,,,
13,PT10M50.00S,2022-01-25T02:11:57.3Z,1,REGULAR,rebound,defensive,[],201580,,,1610612756,5,0,2022-01-25T02:12:01Z,130000,,,0,,J. McGee REBOUND (Off:0 Def:1),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT10M30.00S,2022-01-25T02:12:18.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,18.2161629434954,50.0,1610612756,7,0,2022-01-25T02:12:24Z,140000,0.0,119.0,1,left,M. Bridges 11' turnaround Jump Shot (4 PTS),[1628969],1610612756.0,PHX,turnaround,,,Bridges,M. Bridges,,,,,11.87,Made,4.0,,,,,,,,,,,,,,,,,
15,PT10M13.00S,2022-01-25T02:12:38.4Z,1,REGULAR,turnover,out-of-bounds,[],200752,,,1610612762,7,0,2022-01-25T02:15:58Z,150000,,,0,,R. Gay lost ball out-of-bounds TURNOVER (1 TO),[200752],1610612762.0,UTA,lost ball,,,Gay,R. Gay,,,,,,,,,,,1155.0,,,,,1.0,,,,,,,,
16,PT10M08.00S,2022-01-25T02:12:55.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626164,31.61957950065703,80.88235294117648,1610612756,7,0,2022-01-25T02:17:10Z,160000,-154.0,245.0,1,left,MISS D. Booker 28' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,28.93,Missed,,,,,,,,,,,,,,,,,,
