actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-02-26T02:10:50.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-26T02:10:50Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-26T02:10:52.8Z,1,REGULAR,jumpball,recovered,[],1626164,,,1610612756,0,0,2022-02-26T02:10:52Z,40000,,,0,,Jump Ball D. Ayton vs. J. Valanciunas: Tip to D. Booker,"[1626164, 1629028, 202685]",1610612756.0,PHX,startperiod,D. Booker,1626164.0,Booker,D. Booker,Ayton,1629028.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-02-26T02:11:04.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,8.229303547963205,50.49019607843137,1610612756,2,0,2022-02-26T02:11:17Z,70000,-2.0,25.0,1,left,D. Ayton cutting DUNK (2 PTS) (D. Booker 1 AST),"[1629028, 1626164]",1610612756.0,PHX,cutting,,,Ayton,D. Ayton,,,,,2.5,Made,2.0,D. Booker,1626164.0,1.0,,,,,,,,,,,,,,,
9,PT11M25.00S,2022-02-26T02:11:24.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,90.62089356110381,49.26470588235294,1610612740,2,2,2022-02-26T02:11:28Z,90000,-4.0,36.0,1,right,B. Ingram cutting finger roll Layup (2 PTS) (H. Jones 1 AST),"[1627742, 1630529]",1610612740.0,NOP,cutting finger roll,,,Ingram,B. Ingram,,,,,3.59,Made,2.0,H. Jones,1630529.0,1.0,,,,,,,,,,,,,,,
11,PT11M08.00S,2022-02-26T02:11:41.6Z,1,REGULAR,2pt,Jump Shot,[],1626164,30.17411300919842,53.431372549019606,1610612756,2,2,2022-02-26T02:11:46Z,110000,-17.0,231.0,1,left,MISS D. Booker 23' step back Shot,[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,23.17,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M06.00S,2022-02-26T02:11:43.6Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,2,2,2022-02-26T02:11:46Z,120000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT10M58.00S,2022-02-26T02:11:51.6Z,1,REGULAR,2pt,Jump Shot,[],1627742,88.25558475689881,21.07843137254902,1610612740,2,4,2022-02-26T02:11:54Z,130000,-145.0,58.0,1,right,B. Ingram 15' pullup Jump Shot (4 PTS),[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,15.58,Made,4.0,,,,,,,,,,,,,,,,,,
14,PT10M42.00S,2022-02-26T02:12:07.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,6.258212877792378,63.23529411764706,1610612756,2,4,2022-02-26T02:12:11Z,140000,-66.0,6.0,1,left,MISS M. Bridges 6' driving Layup - blocked,"[1628969, 1629637]",1610612756.0,PHX,driving,,,Bridges,M. Bridges,,,,,6.65,Missed,,,,,,,,,Hayes,1629637.0,,,,,,,,,
15,PT10M42.00S,2022-02-26T02:12:07.5Z,1,REGULAR,block,,[],1629637,,,1610612756,2,4,2022-02-26T02:12:09Z,150000,,,0,,J. Hayes BLOCK (1 BLK),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M42.00S,2022-02-26T02:12:07.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,2,4,2022-02-26T02:12:11Z,160000,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,
343,PT10M42.00S,2022-02-26T02:12:16.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612756,2,4,2022-02-26T03:24:23Z,165000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M40.00S,2022-02-26T02:12:24.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629661,6.783837056504599,42.15686274509804,1610612756,4,4,2022-02-26T02:12:28Z,170000,39.0,11.0,1,left,C. Johnson cutting Layup (2 PTS) (J. Crowder 1 AST),"[1629661, 203109]",1610612756.0,PHX,cutting,,,Johnson,C. Johnson,,,,,4.08,Made,2.0,J. Crowder,203109.0,1.0,,,,,,,,,,,,,,,
19,PT10M29.00S,2022-02-26T02:12:36.6Z,1,REGULAR,turnover,bad pass,[],202685,,,1610612740,4,4,2022-02-26T02:12:39Z,190000,,,0,,J. Valanciunas bad pass TURNOVER (1 TO),"[202685, 1626164]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,1.0,Booker,1626164.0,,,,,,
20,PT10M29.00S,2022-02-26T02:12:36.6Z,1,REGULAR,steal,,[],1626164,,,1610612756,4,4,2022-02-26T02:12:38Z,200000,,,0,,D. Booker STEAL (1 STL),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M24.00S,2022-02-26T02:12:41.6Z,1,REGULAR,turnover,lost ball,[],1626164,,,1610612756,4,4,2022-02-26T02:12:44Z,210000,,,0,,D. Booker lost ball TURNOVER (1 TO),"[1626164, 1630529]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,1.0,Jones,1630529.0,,,,,,
22,PT10M24.00S,2022-02-26T02:12:41.6Z,1,REGULAR,steal,,[],1630529,,,1610612740,4,4,2022-02-26T02:12:43Z,220000,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M14.00S,2022-02-26T02:12:51.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203468,82.60512483574244,49.50980392156863,1610612740,4,6,2022-02-26T02:12:54Z,230000,-2.0,111.0,1,right,C. McCollum 11' step back Jump Shot (2 PTS),[203468],1610612740.0,NOP,step back,,,McCollum,C. McCollum,,,,,11.1,Made,2.0,,,,,,,,,,,,,,,,,,
