actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-10-21T02:16:29.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-21T02:16:29Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-10-21T02:16:31.7Z,1,REGULAR,jumpball,recovered,[],1628420,,,1610612743,0,0,2021-10-21T02:16:31Z,40000,,,0,,Jump Ball N. Jokic vs. D. Ayton: Tip to M. Morris,"[1628420, 203999, 1629028]",1610612743.0,DEN,startperiod,M. Morris,1628420.0,Morris,M. Morris,Jokic,203999.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-10-21T02:16:43.0Z,1,REGULAR,2pt,Jump Shot,[],203999,24.655059132720105,41.42156862745098,1610612743,0,2,2021-10-21T02:16:46Z,70000,43.0,179.0,1,left,N. Jokic 18' pullup Jump Shot (2 PTS) (M. Porter Jr. 1 AST),"[203999, 1629008]",1610612743.0,DEN,pullup,,,Jokic,N. Jokic,,,,,18.44,Made,2.0,M. Porter Jr.,1629008.0,1.0,,,,,,,,,,,,,,
9,PT11M19.00S,2021-10-21T02:17:08.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,83.39356110381078,48.529411764705884,1610612756,2,2,2021-10-21T02:17:12Z,90000,-7.0,104.0,1,right,D. Ayton 10' turnaround fadeaway Jump Shot (2 PTS),[1629028],1610612756.0,PHX,turnaround fadeaway,,,Ayton,D. Ayton,,,,,10.39,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M00.00S,2021-10-21T02:17:28.7Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,2,2,2021-10-21T02:17:32Z,100000,,,0,,N. Jokic bad pass TURNOVER (1 TO),"[203999, 1626164]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,1.0,Booker,1626164.0,,,,,,,,,,,
11,PT11M00.00S,2021-10-21T02:17:28.7Z,1,REGULAR,steal,,[],1626164,,,1610612756,2,2,2021-10-21T02:17:30Z,110000,,,0,,D. Booker STEAL (1 STL),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,
12,PT10M53.00S,2021-10-21T02:17:35.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626164,76.2976346911958,86.51960784313727,1610612756,2,2,2021-10-21T02:17:39Z,120000,183.0,170.0,1,right,MISS D. Booker 24' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,24.97,Missed,,,,,,,,,,,,,,,,,,
13,PT10M49.00S,2021-10-21T02:17:39.5Z,1,REGULAR,rebound,defensive,[],203115,,,1610612743,2,2,2021-10-21T02:17:39Z,130000,,,0,,W. Barton REBOUND (Off:0 Def:1),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,
14,PT10M46.00S,2021-10-21T02:17:45.3Z,1,REGULAR,foul,offensive,[],203932,,,1610612743,2,2,2021-10-21T02:17:55Z,140000,,,0,,A. Gordon offensive FOUL (1 PF),"[203932, 203109]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,201246.0,1.0,0.0,Crowder,203109.0,,
16,PT10M46.00S,2021-10-21T02:17:45.3Z,1,REGULAR,turnover,offensive foul,[],203932,,,1610612743,2,2,2021-10-21T02:17:45Z,160000,,,0,,A. Gordon offensive foul TURNOVER (1 TO),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,1.0,,,,,,,201246.0,,,,,,
17,PT10M33.00S,2021-10-21T02:18:17.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628969,88.51839684625493,4.6568627450980395,1610612756,2,2,2021-10-21T02:18:20Z,170000,-227.0,55.0,1,right,MISS M. Bridges 3PT,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,23.34,Missed,,,,,,,,,,,,,,,,,,
18,PT10M31.00S,2021-10-21T02:18:19.7Z,1,REGULAR,rebound,defensive,[],203115,,,1610612743,2,2,2021-10-21T02:18:20Z,180000,,,0,,W. Barton REBOUND (Off:0 Def:2),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,17.0,2.0,2.0,0.0,,,,,,,
19,PT10M25.00S,2021-10-21T02:18:25.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203115,30.436925098554536,68.13725490196079,1610612743,2,2,2021-10-21T02:18:29Z,190000,-91.0,234.0,1,left,MISS W. Barton 25' running pullup 3PT,[203115],1610612743.0,DEN,running pullup,,,Barton,W. Barton,,,,,25.06,Missed,,,,,,,,,,,,,,,,,,
20,PT10M23.00S,2021-10-21T02:18:27.1Z,1,REGULAR,rebound,defensive,[],203109,,,1610612756,2,2,2021-10-21T02:18:29Z,200000,,,0,,J. Crowder REBOUND (Off:0 Def:1),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,
21,PT10M13.00S,2021-10-21T02:18:37.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],101108,82.07950065703022,53.431372549019606,1610612756,4,2,2021-10-21T02:18:40Z,210000,17.0,116.0,1,right,C. Paul 11' fadeaway Jump Shot (2 PTS),[101108],1610612756.0,PHX,fadeaway,,,Paul,C. Paul,,,,,11.73,Made,2.0,,,,,,,,,,,,,,,,,
22,PT09M59.00S,2021-10-21T02:18:54.2Z,1,REGULAR,foul,personal,['2freethrow'],203109,,,1610612743,4,2,2021-10-21T02:19:03Z,220000,,,0,,J. Crowder shooting personal FOUL (1 PF) (Gordon 2 FT),"[203109, 203932]",1610612756.0,PHX,shooting,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,201246.0,1.0,0.0,Gordon,203932.0,,
24,PT09M59.00S,2021-10-21T02:19:22.1Z,1,REGULAR,freethrow,1 of 2,[],203932,,,1610612743,4,2,2021-10-21T02:19:22Z,240000,,,0,,MISS A. Gordon Free Throw 1 of 2,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,Missed,,,,,,,,,,,,,,,,,,
25,PT09M59.00S,2021-10-21T02:19:22.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612743,4,2,2021-10-21T02:19:22Z,250000,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
26,PT09M59.00S,2021-10-21T02:19:38.5Z,1,REGULAR,freethrow,2 of 2,[],203932,,,1610612743,4,3,2021-10-21T02:19:38Z,260000,,,0,,A. Gordon Free Throw 2 of 2 (1 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
27,PT09M44.00S,2021-10-21T02:19:54.8Z,1,REGULAR,turnover,bad pass,[],203109,,,1610612756,4,3,2021-10-21T02:19:58Z,270000,,,0,,J. Crowder bad pass TURNOVER (1 TO),"[203109, 203999]",1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,1.0,Jokic,203999.0,,,,,,,,,,,
28,PT09M44.00S,2021-10-21T02:19:54.8Z,1,REGULAR,steal,,[],203999,,,1610612743,4,3,2021-10-21T02:19:56Z,280000,,,0,,N. Jokic STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M41.00S,2021-10-21T02:20:01.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612743,4,3,2021-10-21T02:20:01Z,290000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M36.00S,2021-10-21T02:20:14.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629008,23.73521681997372,48.529411764705884,1610612743,4,5,2021-10-21T02:20:18Z,300000,7.0,171.0,1,left,M. Porter Jr. 17' step back Jump Shot (2 PTS) (A. Gordon 1 AST),"[1629008, 203932]",1610612743.0,DEN,step back,,,Porter Jr.,M. Porter Jr.,,,,,17.08,Made,2.0,A. Gordon,203932.0,1.0,,,,,,,,,,,,,,
32,PT09M23.00S,2021-10-21T02:20:26.0Z,1,REGULAR,3pt,Jump Shot,[],1626164,68.9388961892247,24.754901960784316,1610612756,4,5,2021-10-21T02:20:31Z,320000,-126.0,239.0,1,right,MISS D. Booker 27' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,27.07,Missed,,,,,,,,,,,,,,,,,,
33,PT09M20.00S,2021-10-21T02:20:29.0Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612743,4,5,2021-10-21T02:20:31Z,330000,,,0,,M. Morris REBOUND (Off:0 Def:1),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,
34,PT09M15.00S,2021-10-21T02:20:35.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203115,6.389618922470433,49.26470588235294,1610612743,4,7,2021-10-21T02:20:43Z,340000,4.0,8.0,1,left,W. Barton driving Layup (2 PTS) (M. Morris 1 AST),"[203115, 1628420]",1610612743.0,DEN,driving,,,Barton,W. Barton,,,,,0.85,Made,2.0,M. Morris,1628420.0,1.0,,,,,,,,,,,,,,
36,PT09M03.00S,2021-10-21T02:20:47.3Z,1,REGULAR,2pt,Jump Shot,[],1629028,78.0059132720105,53.67647058823529,1610612756,6,7,2021-10-21T02:20:50Z,360000,18.0,154.0,1,right,D. Ayton 15' step back Jump Shot (4 PTS) (D. Booker 1 AST),"[1629028, 1626164]",1610612756.0,PHX,step back,,,Ayton,D. Ayton,,,,,15.53,Made,4.0,D. Booker,1626164.0,1.0,,,,,,,,,,,,,,
