actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,playerName,playerNameI,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-20T03:16:09.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-20T03:16:09Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2021-11-20T03:16:32.5Z,1,REGULAR,jumpball,recovered,[],0,,,1610612756,0,0,2021-11-20T03:16:32Z,40000,,,0,,Jump Ball D. Ayton vs. K. Porzingis: Tip to Team (PHX),"[1629028, 204001]",1610612756.0,PHX,startperiod,Team (PHX),Ayton,1629028.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,,,,
37,PT12M00.00S,2021-11-20T03:16:39.1Z,1,REGULAR,violation,jumpball,[],204001,,,1610612756,0,0,2021-11-20T03:21:06Z,65000,,,0,,K. Porzingis jumpball VIOLATION,[204001],1610612742.0,DAL,,,,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,
9,PT11M45.00S,2021-11-20T03:17:09.5Z,1,REGULAR,2pt,Jump Shot,[],1629028,93.64323258869908,23.284313725490197,1610612756,0,0,2021-11-20T03:21:27Z,90000,-134.0,7.0,1,right,MISS D. Ayton 13' turnaround Shot,[1629028],1610612756.0,PHX,turnaround,,,,,,Ayton,D. Ayton,13.38,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M42.00S,2021-11-20T03:17:12.5Z,1,REGULAR,rebound,defensive,[],204001,,,1610612742,0,0,2021-11-20T03:17:15Z,100000,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612742.0,DAL,,,,,,,Porzingis,K. Porzingis,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M32.00S,2021-11-20T03:17:22.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,7.966491458607096,53.67647058823529,1610612742,0,2,2021-11-20T03:17:26Z,110000,-18.0,22.0,1,left,J. Brunson driving Layup (2 PTS),[1628973],1610612742.0,DAL,driving,,,,,,Brunson,J. Brunson,2.9,Made,,,,,2.0,,,,,,,,,,,,,,
12,PT11M20.00S,2021-11-20T03:17:34.2Z,1,REGULAR,3pt,Jump Shot,[],1628969,93.77463863337714,1.2254901960784315,1610612756,3,2,2021-11-20T03:17:38Z,120000,-244.0,6.0,1,right,M. Bridges 24' 3PT  (3 PTS) (D. Booker 1 AST),"[1628969, 1626164]",1610612756.0,PHX,,,,,,,Bridges,M. Bridges,24.4,Made,,,,,3.0,D. Booker,1626164.0,1.0,,,,,,,,,,,
14,PT11M00.00S,2021-11-20T03:17:54.1Z,1,REGULAR,2pt,Jump Shot,[],203501,26.62614980289093,53.92156862745098,1610612742,3,4,2021-11-20T03:17:58Z,140000,-20.0,198.0,1,left,T. Hardaway Jr. 19' Jump Shot (2 PTS) (D. Powell 1 AST),"[203501, 203939]",1610612742.0,DAL,,,,,,,Hardaway Jr.,T. Hardaway Jr.,19.88,Made,,,,,2.0,D. Powell,203939.0,1.0,,,,,,,,,,,
16,PT10M45.00S,2021-11-20T03:18:09.4Z,1,REGULAR,3pt,Jump Shot,[],1626164,93.64323258869908,96.56862745098039,1610612756,3,4,2021-11-20T03:18:13Z,160000,233.0,7.0,1,right,MISS D. Booker pullup 3PT,[1626164],1610612756.0,PHX,pullup,,,,,,Booker,D. Booker,23.29,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M42.00S,2021-11-20T03:18:12.4Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612742,3,4,2021-11-20T03:18:13Z,170000,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612742.0,DAL,,,,,,,Brunson,J. Brunson,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
18,PT10M29.00S,2021-11-20T03:18:25.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],204001,6.783837056504599,51.470588235294116,1610612742,3,6,2021-11-20T03:18:30Z,180000,-7.0,11.0,1,left,K. Porzingis cutting DUNK (2 PTS) (J. Brunson 1 AST),"[204001, 1628973]",1610612742.0,DAL,cutting,,,,,,Porzingis,K. Porzingis,1.35,Made,,,,,2.0,J. Brunson,1628973.0,1.0,,,,,,,,,,,
20,PT10M02.00S,2021-11-20T03:18:51.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,84.1819973718791,43.38235294117647,1610612756,5,6,2021-11-20T03:18:56Z,200000,-33.0,96.0,1,right,M. Bridges 10' pullup Jump Shot (5 PTS) (C. Paul 1 AST),"[1628969, 101108]",1610612756.0,PHX,pullup,,,,,,Bridges,M. Bridges,10.17,Made,,,,,5.0,C. Paul,101108.0,1.0,,,,,,,,,,,
