actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-02-13T02:10:29.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-13T02:10:29Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-13T02:10:33.3Z,1,REGULAR,jumpball,recovered,[],1628969,,,1610612756,0,0,2022-02-13T02:10:33Z,40000,,,0,,Jump Ball D. Ayton vs. M. Bamba: Tip to M. Bridges,"[1628969, 1629028, 1628964]",1610612756.0,PHX,startperiod,M. Bridges,1628969.0,Bridges,M. Bridges,Ayton,1629028.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-02-13T02:10:42.7Z,1,REGULAR,3pt,Jump Shot,[],203109,30.699737187910642,28.921568627450984,1610612756,0,0,2022-02-13T02:10:52Z,70000,105.0,236.0,1,left,MISS J. Crowder 25' 3PT,[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,25.86,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-02-13T02:10:46.7Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,0,0,2022-02-13T02:10:52Z,80000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M29.00S,2022-02-13T02:10:58.9Z,1,REGULAR,3pt,Jump Shot,[],1630591,62.23718791064389,57.107843137254896,1610612753,0,0,2022-02-13T02:11:32Z,90000,36.0,302.0,1,right,MISS J. Suggs 30' pullup 3PT,[1630591],1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,30.46,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2022-02-13T02:11:01.9Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,0,0,2022-02-13T02:11:04Z,100000,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M18.00S,2022-02-13T02:11:09.7Z,1,REGULAR,2pt,Jump Shot,[],101108,22.815374507227332,37.00980392156863,1610612756,0,0,2022-02-13T02:11:19Z,110000,65.0,162.0,1,left,MISS C. Paul 17' pullup Shot,[101108],1610612756.0,PHX,pullup,,,Paul,C. Paul,,,,,17.46,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M15.00S,2022-02-13T02:11:12.7Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,0,0,2022-02-13T02:11:19Z,120000,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT11M10.00S,2022-02-13T02:11:18.8Z,1,REGULAR,3pt,Jump Shot,[],1630175,78.10446780551905,9.803921568627445,1610612753,0,3,2022-02-13T02:13:55Z,130000,-201.0,153.0,1,right,C. Anthony 25' 3PT  (3 PTS) (J. Suggs 1 AST),"[1630175, 1630591]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,25.28,Made,,,,,3.0,J. Suggs,1630591.0,1.0,,,,,,,,,,,
15,PT11M06.00S,2022-02-13T02:11:25.4Z,1,REGULAR,stoppage,other,[],0,,,1610612756,0,3,2022-02-13T02:11:31Z,150000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
