actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-04-11T01:41:43.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-11T01:41:43Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-04-11T01:41:46.2Z,1,REGULAR,jumpball,recovered,[],203084,,,1610612758,0,0,2022-04-11T01:41:46Z,40000,,,0,,Jump Ball D. Jones vs. J. McGee: Tip to H. Barnes,"[203084, 1627745, 201580]",1610612758.0,SAC,startperiod,H. Barnes,203084.0,Barnes,H. Barnes,Jones,1627745.0,McGee,201580.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M55.00S,2022-04-11T01:41:48.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203084,10.988830486202366,49.50980392156863,1610612758,0,0,2022-04-11T01:41:52Z,70000,2.0,51.0,1,left,MISS H. Barnes driving floating Shot,[203084],1610612758.0,SAC,driving floating,,,Barnes,H. Barnes,,,,,5.09,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M53.00S,2022-04-11T01:41:50.7Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612756,0,0,2022-04-11T01:41:52Z,80000,,,0,,C. Johnson REBOUND (Off:0 Def:1),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M37.00S,2022-04-11T01:42:05.4Z,1,REGULAR,turnover,bad pass,[],1628969,,,1610612756,0,0,2022-04-11T01:42:08Z,90000,,,0,,M. Bridges bad pass TURNOVER (1 TO),"[1628969, 1626168]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,1.0,Lyles,1626168.0,,,,,,,,,,,,
10,PT11M37.00S,2022-04-11T01:42:05.4Z,1,REGULAR,steal,,[],1626168,,,1610612758,0,0,2022-04-11T01:42:07Z,100000,,,0,,T. Lyles STEAL (1 STL),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2022-04-11T01:42:21.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203200,20.581471747700395,92.64705882352942,1610612758,0,3,2022-04-11T01:42:25Z,110000,-213.0,141.0,1,left,J. Holiday 25' 3PT  (3 PTS) (D. Mitchell 1 AST),"[203200, 1630558]",1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,25.56,Made,,,,,,,,3.0,D. Mitchell,1630558.0,1.0,,,,,,,,
13,PT11M06.00S,2022-04-11T01:42:36.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628988,89.17542706964521,47.30392156862745,1610612756,0,3,2022-04-11T01:42:40Z,130000,-13.0,49.0,1,right,MISS A. Holiday driving floating Shot - blocked,"[1628988, 1627745]",1610612756.0,PHX,driving floating,,,Holiday,A. Holiday,,,,,5.11,Missed,,,,,,,,,,,,Jones,1627745.0,,,,,,
14,PT11M06.00S,2022-04-11T01:42:36.0Z,1,REGULAR,block,,[],1627745,,,1610612756,0,3,2022-04-11T01:42:38Z,140000,,,0,,D. Jones BLOCK (1 BLK),[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M03.00S,2022-04-11T01:42:39.0Z,1,REGULAR,rebound,defensive,[],1626168,,,1610612758,0,3,2022-04-11T01:42:40Z,150000,,,0,,T. Lyles REBOUND (Off:0 Def:1),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
16,PT10M55.00S,2022-04-11T01:42:48.4Z,1,REGULAR,3pt,Jump Shot,[],1627745,24.78646517739816,88.72549019607843,1610612758,0,6,2022-04-11T01:42:51Z,160000,-194.0,180.0,1,left,D. Jones 26' 3PT  (3 PTS) (T. Lyles 1 AST),"[1627745, 1626168]",1610612758.0,SAC,,,,Jones,D. Jones,,,,,26.47,Made,,,,,,,,3.0,T. Lyles,1626168.0,1.0,,,,,,,,
18,PT10M41.00S,2022-04-11T01:43:01.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629661,92.72339027595268,50.98039215686274,1610612756,2,6,2022-04-11T01:43:05Z,180000,5.0,16.0,1,right,C. Johnson driving Layup (2 PTS),[1629661],1610612756.0,PHX,driving,,,Johnson,C. Johnson,,,,,1.66,Made,,,,,,,,2.0,,,,,,,,,,,
19,PT10M32.00S,2022-04-11T01:43:19.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612758,2,6,2022-04-11T01:43:19Z,190000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M24.00S,2022-04-11T01:43:31.3Z,1,REGULAR,foul,personal,[],1628988,,,1610612758,2,6,2022-04-11T01:43:43Z,200000,,,0,,A. Holiday personal FOUL (1 PF),"[1628988, 203084]",1610612756.0,PHX,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,1179.0,1.0,0.0,Barnes,203084.0,
22,PT10M20.00S,2022-04-11T01:43:51.8Z,1,REGULAR,foul,personal,['2freethrow'],1628988,,,1610612758,2,6,2022-04-11T01:44:00Z,220000,,,0,,A. Holiday shooting personal FOUL (2 PF) (Lyles 2 FT),"[1628988, 1626168]",1610612756.0,PHX,shooting,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,1204.0,2.0,0.0,Lyles,1626168.0,
24,PT10M20.00S,2022-04-11T01:44:19.8Z,1,REGULAR,freethrow,1 of 2,[],1626168,,,1610612758,2,6,2022-04-11T01:44:19Z,240000,,,0,,MISS T. Lyles Free Throw 1 of 2,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,Missed,,,,,,,,,,,,,,,,,,,
25,PT10M20.00S,2022-04-11T01:44:19.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612758,2,6,2022-04-11T01:44:19Z,250000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,
