actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-02T03:05:53.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-02T03:05:53Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-02T03:05:55.8Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612756,0,0,2022-02-02T03:05:55Z,40000,,,0,,Jump Ball D. Ayton vs. N. Claxton: Tip to C. Paul,"[101108, 1629028, 1629651]",1610612756.0,PHX,startperiod,C. Paul,101108.0,Paul,C. Paul,Ayton,1629028.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M52.00S,2022-02-02T03:06:00.7Z,1,REGULAR,3pt,Jump Shot,[],203109,66.5735873850197,59.55882352941176,1610612756,3,0,2022-02-02T03:06:05Z,70000,48.0,262.0,1,right,J. Crowder 26' 3PT  (3 PTS) (C. Paul 1 AST),"[203109, 101108]",1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,26.6,Made,3.0,C. Paul,101108.0,1.0,,,,,,,,,,,,,,,
9,PT11M36.00S,2022-02-02T03:06:16.3Z,1,REGULAR,3pt,Jump Shot,[],202681,29.38567674113009,23.52941176470588,1610612751,3,3,2022-02-02T03:06:25Z,90000,132.0,224.0,1,left,K. Irving 25' 3PT  (3 PTS) (J. Harden 1 AST),"[202681, 201935]",1610612751.0,BKN,,,,Irving,K. Irving,,,,,25.99,Made,3.0,J. Harden,201935.0,1.0,,,,,,,,,,,,,,,
12,PT11M23.00S,2022-02-02T03:06:29.7Z,1,REGULAR,2pt,Jump Shot,[],1626164,88.25558475689881,16.176470588235293,1610612756,5,3,2022-02-02T03:06:38Z,120000,-169.0,58.0,1,right,D. Booker 17' Jump Shot (2 PTS) (C. Paul 2 AST),"[1626164, 101108]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,17.87,Made,2.0,C. Paul,101108.0,2.0,,,,,,,,,,,,,,,
14,PT11M10.00S,2022-02-02T03:06:43.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,9.149145860709593,43.872549019607845,1610612751,5,5,2022-02-02T03:06:52Z,140000,31.0,34.0,1,left,N. Claxton alley-oop Layup (2 PTS) (J. Harden 2 AST),"[1629651, 201935]",1610612751.0,BKN,alley-oop,,,Claxton,N. Claxton,,,,,4.54,Made,2.0,J. Harden,201935.0,2.0,,,,,,,,,,,,,,,
16,PT10M53.00S,2022-02-02T03:06:59.4Z,1,REGULAR,3pt,Jump Shot,[],1628969,69.20170827858082,26.715686274509803,1610612756,5,5,2022-02-02T03:07:05Z,160000,-116.0,237.0,1,right,MISS M. Bridges 26' 3PT,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,26.4,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M49.00S,2022-02-02T03:07:03.4Z,1,REGULAR,rebound,defensive,[],202681,,,1610612751,5,5,2022-02-02T03:07:05Z,170000,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,
18,PT10M30.00S,2022-02-02T03:07:25.2Z,1,REGULAR,foul,personal,['2freethrow'],1629028,,,1610612751,5,5,2022-02-02T03:07:37Z,180000,,,0,,D. Ayton shooting personal FOUL (1 PF) (Irving 2 FT),"[1629028, 202681]",1610612756.0,PHX,shooting,,,Ayton,D. Ayton,,,,,,,,,,,,,,,1627541.0,1.0,0.0,Irving,202681.0,,,,,,
20,PT10M30.00S,2022-02-02T03:07:58.5Z,1,REGULAR,freethrow,1 of 2,[],202681,,,1610612751,5,5,2022-02-02T03:07:58Z,200000,,,0,,MISS K. Irving Free Throw 1 of 2,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M30.00S,2022-02-02T03:07:58.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612751,5,5,2022-02-02T03:07:58Z,210000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,
22,PT10M30.00S,2022-02-02T03:08:18.8Z,1,REGULAR,freethrow,2 of 2,[],202681,,,1610612751,5,6,2022-02-02T03:08:18Z,220000,,,0,,K. Irving Free Throw 2 of 2 (4 PTS),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
23,PT10M21.00S,2022-02-02T03:08:30.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,89.96386333771353,45.588235294117645,1610612756,7,6,2022-02-02T03:08:35Z,230000,-22.0,42.0,1,right,M. Bridges driving Layup (2 PTS) (C. Paul 3 AST),"[1628969, 101108]",1610612756.0,PHX,driving,,,Bridges,M. Bridges,,,,,4.73,Made,2.0,C. Paul,101108.0,3.0,,,,,,,,,,,,,,,
25,PT10M08.00S,2022-02-02T03:08:42.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,16.376478318002626,52.69607843137255,1610612751,7,8,2022-02-02T03:08:56Z,250000,-13.0,101.0,1,left,J. Harden 10' floating Jump Shot (2 PTS),[201935],1610612751.0,BKN,floating,,,Harden,J. Harden,,,,,10.23,Made,2.0,,,,,,,,,,,,,,,,,,
26,PT09M53.00S,2022-02-02T03:08:57.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626164,88.38699080157687,49.26470588235294,1610612756,9,8,2022-02-02T03:09:04Z,260000,-4.0,57.0,1,right,D. Booker turnaround Hook (4 PTS),[1626164],1610612756.0,PHX,turnaround,,,Booker,D. Booker,,,,,5.68,Made,4.0,,,,,,,,,,,,,,,,,,
27,PT09M41.00S,2022-02-02T03:09:10.2Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612751,9,8,2022-02-02T03:09:14Z,270000,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 1629028]",1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,1.0,Ayton,1629028.0,,,
28,PT09M41.00S,2022-02-02T03:09:10.2Z,1,REGULAR,steal,,[],1629028,,,1610612756,9,8,2022-02-02T03:11:24Z,280000,,,0,,D. Ayton STEAL (1 STL),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M24.00S,2022-02-02T03:09:28.8Z,1,REGULAR,foul,personal,[],1630556,,,1610612756,9,8,2022-02-02T03:09:40Z,290000,,,0,,K. Edwards personal FOUL (1 PF),"[1630556, 1628969]",1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,,,,,,,,,203592.0,1.0,0.0,Bridges,1628969.0,,,,,,
31,PT09M11.00S,2022-02-02T03:10:01.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626164,68.28186596583443,68.38235294117648,1610612756,12,8,2022-02-02T03:10:12Z,310000,92.0,246.0,1,right,D. Booker 26' 3PT step back (7 PTS),[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,26.23,Made,7.0,,,,,,,,,,,,,,,,,,
32,PT08M54.00S,2022-02-02T03:10:20.3Z,1,REGULAR,turnover,out-of-bounds,[],202681,,,1610612751,12,8,2022-02-02T03:10:26Z,320000,,,0,,K. Irving lost ball out-of-bounds TURNOVER (1 TO),[202681],1610612751.0,BKN,lost ball,,,Irving,K. Irving,,,,,,,,,,,,,,,203592.0,,,,,1.0,,,,,
33,PT08M41.00S,2022-02-02T03:10:39.2Z,1,REGULAR,turnover,out-of-bounds,[],203109,,,1610612756,12,8,2022-02-02T03:10:47Z,330000,,,0,,J. Crowder bad pass out-of-bounds TURNOVER (1 TO),[203109],1610612756.0,PHX,bad pass,,,Crowder,J. Crowder,,,,,,,,,,,,,,,1627541.0,,,,,1.0,,,,,
34,PT08M41.00S,2022-02-02T03:10:48.7Z,1,REGULAR,substitution,out,[],201988,,,1610612751,12,8,2022-02-02T03:10:52Z,340000,,,0,,SUB out: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT08M41.00S,2022-02-02T03:10:48.7Z,1,REGULAR,substitution,in,[],1630560,,,1610612751,12,8,2022-02-02T03:10:52Z,350000,,,0,,SUB in: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M28.00S,2022-02-02T03:11:08.1Z,1,REGULAR,foul,personal,[],203109,,,1610612751,12,8,2022-02-02T03:11:22Z,360000,,,0,,J. Crowder personal FOUL (1 PF),"[203109, 201935]",1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,1627541.0,1.0,0.0,Harden,201935.0,,,,,,
38,PT08M19.00S,2022-02-02T03:11:41.3Z,1,REGULAR,foul,personal,['2freethrow'],1628969,,,1610612751,12,8,2022-02-02T03:11:50Z,380000,,,0,,M. Bridges shooting personal FOUL (1 PF) (Harden 2 FT),"[1628969, 201935]",1610612756.0,PHX,shooting,,,Bridges,M. Bridges,,,,,,,,,,,,,,,200832.0,1.0,0.0,Harden,201935.0,,,,,,
40,PT08M19.00S,2022-02-02T03:12:08.0Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],201935,,,1610612751,12,9,2022-02-02T03:12:08Z,400000,,,0,,J. Harden Free Throw 1 of 2 (3 PTS),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
41,PT08M19.00S,2022-02-02T03:12:27.8Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],201935,,,1610612751,12,10,2022-02-02T03:12:27Z,410000,,,0,,J. Harden Free Throw 2 of 2 (4 PTS),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
42,PT08M06.00S,2022-02-02T03:12:44.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,88.12417871222075,53.431372549019606,1610612756,14,10,2022-02-02T03:12:50Z,420000,17.0,59.0,1,right,D. Ayton 6' cutting DUNK (2 PTS) (C. Paul 4 AST),"[1629028, 101108]",1610612756.0,PHX,cutting,,,Ayton,D. Ayton,,,,,6.16,Made,2.0,C. Paul,101108.0,4.0,,,,,,,,,,,,,,,
44,PT07M53.00S,2022-02-02T03:12:56.1Z,1,REGULAR,3pt,Jump Shot,[],1630556,10.85742444152431,96.56862745098039,1610612751,14,13,2022-02-02T03:13:00Z,440000,-233.0,50.0,1,left,K. Edwards 3PT  (3 PTS) (J. Harden 3 AST),"[1630556, 201935]",1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,23.8,Made,3.0,J. Harden,201935.0,3.0,,,,,,,,,,,,,,,
46,PT07M38.00S,2022-02-02T03:13:11.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,88.91261498028909,46.568627450980394,1610612756,16,13,2022-02-02T03:13:15Z,460000,-17.0,52.0,1,right,D. Ayton turnaround Hook (4 PTS) (C. Paul 5 AST),"[1629028, 101108]",1610612756.0,PHX,turnaround,,,Ayton,D. Ayton,,,,,5.45,Made,4.0,C. Paul,101108.0,5.0,,,,,,,,,,,,,,,
48,PT07M31.00S,2022-02-02T03:13:21.1Z,1,REGULAR,foul,personal,['2freethrow'],1626164,,,1610612751,16,13,2022-02-02T03:13:35Z,480000,,,0,,D. Booker shooting personal FOUL (1 PF) (Harden 2 FT),"[1626164, 201935]",1610612756.0,PHX,shooting,,,Booker,D. Booker,,,,,,,,,,,,,,,1627541.0,1.0,0.0,Harden,201935.0,,,,,,
50,PT07M31.00S,2022-02-02T03:13:50.8Z,1,REGULAR,freethrow,1 of 2,[],201935,,,1610612751,16,13,2022-02-02T03:13:50Z,500000,,,0,,MISS J. Harden Free Throw 1 of 2,[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,Missed,,,,,,,,,,,,,,,,,,,
51,PT07M31.00S,2022-02-02T03:13:50.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612751,16,13,2022-02-02T03:13:50Z,510000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,
52,PT07M31.00S,2022-02-02T03:14:08.4Z,1,REGULAR,freethrow,2 of 2,[],201935,,,1610612751,16,14,2022-02-02T03:14:08Z,520000,,,0,,J. Harden Free Throw 2 of 2 (5 PTS),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
53,PT07M21.00S,2022-02-02T03:14:21.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,90.48948751642575,64.4607843137255,1610612756,18,14,2022-02-02T03:14:28Z,530000,72.0,37.0,1,right,D. Booker 8' driving bank Jump Shot (9 PTS),[1626164],1610612756.0,PHX,driving bank,,,Booker,D. Booker,,,,,8.12,Made,9.0,,,,,,,,,,,,,,,,,,
54,PT07M07.00S,2022-02-02T03:14:38.0Z,1,REGULAR,turnover,lost ball,[],1630556,,,1610612751,18,14,2022-02-02T03:17:18Z,540000,,,0,,K. Edwards lost ball TURNOVER (1 TO),"[1630556, 1628969]",1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,,,,,,,,,,,,,,1.0,Bridges,1628969.0,,,
55,PT07M07.00S,2022-02-02T03:14:38.0Z,1,REGULAR,steal,,[],1628969,,,1610612756,18,14,2022-02-02T03:16:54Z,550000,,,0,,M. Bridges STEAL (1 STL),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M58.00S,2022-02-02T03:14:50.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612756,18,14,2022-02-02T03:14:50Z,560000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M58.00S,2022-02-02T03:15:03.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,18,14,2022-02-02T03:15:03Z,570000,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M46.00S,2022-02-02T03:18:29.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],101108,90.62089356110381,79.16666666666666,1610612756,20,14,2022-02-02T03:18:35Z,580000,146.0,36.0,1,right,C. Paul 15' Jump Shot (2 PTS) (D. Booker 1 AST),"[101108, 1626164]",1610612756.0,PHX,,,,Paul,C. Paul,,,,,15.01,Made,2.0,D. Booker,1626164.0,1.0,,,,,,,,,,,,,,,
60,PT06M31.00S,2022-02-02T03:18:42.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630560,16.245072273324574,46.07843137254902,1610612751,20,16,2022-02-02T03:18:50Z,600000,20.0,100.0,1,left,C. Thomas 10' Jump Shot (2 PTS) (N. Claxton 1 AST),"[1630560, 1629651]",1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,10.21,Made,2.0,N. Claxton,1629651.0,1.0,,,,,,,,,,,,,,,
61,PT06M14.00S,2022-02-02T03:19:00.8Z,1,REGULAR,3pt,Jump Shot,[],1628969,66.5735873850197,36.51960784313725,1610612756,23,16,2022-02-02T03:19:06Z,610000,-67.0,262.0,1,right,M. Bridges 27' 3PT  (5 PTS) (J. Crowder 1 AST),"[1628969, 203109]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,27.02,Made,5.0,J. Crowder,203109.0,1.0,,,,,,,,,,,,,,,
63,PT05M54.00S,2022-02-02T03:19:20.2Z,1,REGULAR,3pt,Jump Shot,[],201935,29.25427069645204,23.52941176470588,1610612751,23,16,2022-02-02T03:19:26Z,630000,132.0,222.0,1,left,MISS J. Harden 25' 3PT,[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,25.89,Missed,,,,,,,,,,,,,,,,,,,
64,PT05M50.00S,2022-02-02T03:19:24.2Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,23,16,2022-02-02T03:19:26Z,640000,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,63.0,1.0,1.0,0.0,,,,,,,,,,,
