actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-20T01:10:59.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-20T01:10:59Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-20T01:11:01.7Z,1,REGULAR,jumpball,recovered,[],1628969,,,1610612756,0,0,2021-12-20T01:11:01Z,40000,,,0,,Jump Ball D. Ayton vs. M. Plumlee: Tip to M. Bridges,"[1628969, 1629028, 203486]",1610612756.0,PHX,startperiod,M. Bridges,1628969.0,Bridges,M. Bridges,Ayton,1629028.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-12-20T01:11:12.1Z,1,REGULAR,3pt,Jump Shot,[],203109,75.50919842312747,87.00980392156863,1610612756,3,0,2021-12-20T01:11:16Z,70000,185.0,178.0,1,right,J. Crowder 25' 3PT  (3 PTS) (M. Bridges 1 AST),"[203109, 1628969]",1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,25.65,Made,3.0,M. Bridges,1628969.0,1.0,,,,,,,,,,,,,,,
9,PT11M28.00S,2021-12-20T01:11:33.0Z,1,REGULAR,turnover,out-of-bounds,[],1630163,,,1610612766,3,0,2021-12-20T01:11:39Z,90000,,,0,,L. Ball lost ball out-of-bounds TURNOVER (1 TO),[1630163],1610612766.0,CHA,lost ball,,,Ball,L. Ball,,,,,,,,,,,1662.0,1.0,,,,,,,,,,,,,
10,PT11M23.00S,2021-12-20T01:11:38.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628969,74.58935611038108,17.647058823529413,1610612756,6,0,2021-12-20T01:11:48Z,100000,-162.0,186.0,1,right,M. Bridges 24' 3PT step back (3 PTS),[1628969],1610612756.0,PHX,step back,,,Bridges,M. Bridges,,,,,24.68,Made,3.0,,,,,,,,,,,,,,,,,,
11,PT11M03.00S,2021-12-20T01:11:58.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203486,11.514454664914586,51.225490196078425,1610612766,6,0,2021-12-20T01:12:03Z,110000,-6.0,56.0,1,left,MISS M. Plumlee Hook,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,5.6,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M00.00S,2021-12-20T01:12:01.2Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,6,0,2021-12-20T01:12:03Z,130000,,,0,,M. Plumlee REBOUND (Off:1 Def:0),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,
14,PT10M57.00S,2021-12-20T01:12:03.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202330,28.991458607095925,27.450980392156865,1610612766,6,3,2021-12-20T01:12:08Z,140000,113.0,220.0,1,left,G. Hayward 24' 3PT  (3 PTS) (M. Plumlee 1 AST),"[202330, 203486]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,24.72,Made,3.0,M. Plumlee,203486.0,1.0,,,,,,,,,,,,,,,
16,PT10M46.00S,2021-12-20T01:12:17.5Z,1,REGULAR,foul,personal,['2freethrow'],203486,,,1610612756,6,3,2021-12-20T01:12:26Z,160000,,,0,,M. Plumlee shooting personal FOUL (1 PF) (Ayton 2 FT),"[203486, 1629028]",1610612766.0,CHA,shooting,,,Plumlee,M. Plumlee,,,,,,,,,,,201638.0,,,,,,1.0,0.0,Ayton,1629028.0,,,,,
18,PT10M46.00S,2021-12-20T01:12:42.2Z,1,REGULAR,freethrow,1 of 2,[],1629028,,,1610612756,6,3,2021-12-20T01:12:42Z,180000,,,0,,MISS D. Ayton Free Throw 1 of 2,[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,Missed,,,,,,,,,,,,,,,,,,,
