actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-10-28T02:09:57.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-28T02:09:57Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-10-28T02:10:01.2Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612756,0,0,2021-10-28T02:10:01Z,40000,,,0,,Jump Ball D. Ayton vs. R. Holmes: Tip to C. Paul,"[101108, 1629028, 1626158]",1610612756.0,PHX,startperiod,C. Paul,101108.0,Paul,C. Paul,Ayton,1629028.0,Holmes,1626158.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-10-28T02:10:13.5Z,1,REGULAR,3pt,Jump Shot,[],1626164,69.99014454664915,74.26470588235294,1610612756,3,0,2021-10-28T02:10:18Z,70000,121.0,230.0,1,right,D. Booker 25' 3PT  (3 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,25.97,Made,3.0,,,,,,,,,,,,,,,,,,
8,PT11M28.00S,2021-10-28T02:10:28.3Z,1,REGULAR,2pt,Jump Shot,[],1628368,27.283180026281208,59.55882352941176,1610612758,3,2,2021-10-28T02:10:31Z,80000,-48.0,204.0,1,left,D. Fox 20' step back Jump Shot (2 PTS),[1628368],1610612758.0,SAC,step back,,,Fox,D. Fox,,,,,20.95,Made,2.0,,,,,,,,,,,,,,,,,,
9,PT11M16.00S,2021-10-28T02:10:40.6Z,1,REGULAR,3pt,Jump Shot,[],1626164,72.7496714848883,79.65686274509804,1610612756,3,2,2021-10-28T02:10:47Z,90000,148.0,204.0,1,right,MISS D. Booker 25' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,25.2,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M14.00S,2021-10-28T02:10:42.6Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612758,3,2,2021-10-28T02:10:47Z,100000,,,0,,R. Holmes REBOUND (Off:0 Def:1),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M02.00S,2021-10-28T02:10:54.6Z,1,REGULAR,3pt,Jump Shot,[],1630169,30.17411300919842,73.77450980392157,1610612758,3,2,2021-10-28T02:10:58Z,110000,-119.0,231.0,1,left,MISS T. Haliburton 25' 3PT,[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,25.99,Missed,,,,,,,,,,,,,,,,,,,
12,PT10M59.00S,2021-10-28T02:10:57.6Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,3,2,2021-10-28T02:10:58Z,120000,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M48.00S,2021-10-28T02:11:08.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629028,94.30026281208936,53.92156862745098,1610612756,3,2,2021-10-28T02:11:13Z,130000,20.0,1.0,1,right,MISS D. Ayton reverse Layup,[1629028],1610612756.0,PHX,reverse,,,Ayton,D. Ayton,,,,,1.96,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M46.00S,2021-10-28T02:11:10.8Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612758,3,2,2021-10-28T02:11:13Z,140000,,,0,,R. Holmes REBOUND (Off:0 Def:2),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,13.0,2.0,2.0,0.0,,,,,,,,,,,,,,
