actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-12-28T02:10:39.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-28T02:10:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-28T02:10:41.9Z,1,REGULAR,jumpball,recovered,[],1629661,,,1610612756,0,0,2021-12-28T02:10:41Z,40000,,,0,,Jump Ball J. McGee vs. S. Adams: Tip to C. Johnson,"[1629661, 201580, 203500]",1610612756.0,PHX,startperiod,C. Johnson,1629661.0,Johnson,C. Johnson,McGee,201580.0,Adams,203500.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-12-28T02:10:57.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629661,87.82851511169514,58.82352941176471,1610612756,0,0,2021-12-28T02:11:04Z,70000,44.0,62.0,1,right,MISS C. Johnson 7' driving floating Shot,[1629661],1610612756.0,PHX,driving floating,,,Johnson,C. Johnson,,,,,7.6,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2021-12-28T02:11:00.2Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,0,0,2021-12-28T02:11:04Z,80000,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M35.00S,2021-12-28T02:11:03.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630217,8.853482260183966,40.931372549019606,1610612763,0,0,2021-12-28T02:12:55Z,90000,45.0,31.0,1,left,MISS D. Bane running Layup,[1630217],1610612763.0,MEM,running,,,Bane,D. Bane,,,,,5.47,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M35.00S,2021-12-28T02:11:03.4Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,0,0,2021-12-28T02:11:10Z,100000,,,0,,S. Adams REBOUND (Off:1 Def:0),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
11,PT11M31.00S,2021-12-28T02:11:07.2Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203500,10.82457293035479,50.73529411764706,1610612763,0,0,2021-12-28T02:13:16Z,110000,-4.0,49.0,1,left,MISS S. Adams Hook,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,4.94,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M31.00S,2021-12-28T02:11:07.2Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,0,0,2021-12-28T02:11:13Z,120000,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT11M21.00S,2021-12-28T02:11:17.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629661,90.06241787122208,56.127450980392155,1610612756,2,0,2021-12-28T02:13:50Z,130000,31.0,41.0,1,right,C. Johnson cutting Layup (2 PTS) (C. Paul 1 AST),"[1629661, 101108]",1610612756.0,PHX,cutting,,,Johnson,C. Johnson,,,,,5.11,Made,,,,,2.0,C. Paul,101108.0,1.0,,,,,,,,,,,
15,PT11M04.00S,2021-12-28T02:11:34.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,13.452693823915894,45.58823529411765,1610612763,2,2,2021-12-28T02:11:41Z,150000,22.0,74.0,1,left,D. Bane 7' driving Layup (2 PTS) (S. Adams 1 AST),"[1630217, 203500]",1610612763.0,MEM,driving,,,Bane,D. Bane,,,,,7.72,Made,,,,,2.0,S. Adams,203500.0,1.0,,,,,,,,,,,
17,PT10M41.00S,2021-12-28T02:11:57.2Z,1,REGULAR,2pt,Jump Shot,[],1626164,81.7838370565046,33.57843137254902,1610612756,2,2,2021-12-28T02:12:04Z,170000,-82.0,119.0,1,right,MISS D. Booker 14' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,14.43,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M39.00S,2021-12-28T02:11:59.2Z,1,REGULAR,rebound,defensive,[],1629723,,,1610612763,2,2,2021-12-28T02:16:24Z,180000,,,0,,J. Konchar REBOUND (Off:0 Def:1),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
19,PT10M28.00S,2021-12-28T02:12:09.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,10.298948751642584,56.372549019607845,1610612763,2,2,2021-12-28T02:12:15Z,190000,-32.0,44.0,1,left,MISS J. Morant driving Layup - blocked,"[1629630, 1626164]",1610612763.0,MEM,driving,,,Morant,J. Morant,,,,,5.46,Missed,,,,,,,,,Booker,1626164.0,,,,,,,,,
20,PT10M28.00S,2021-12-28T02:12:09.8Z,1,REGULAR,block,,[],1626164,,,1610612763,2,2,2021-12-28T02:12:12Z,200000,,,0,,D. Booker BLOCK (1 BLK),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M26.00S,2021-12-28T02:12:11.8Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,2,2,2021-12-28T02:12:15Z,210000,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
22,PT10M23.00S,2021-12-28T02:12:18.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626164,88.61695137976346,58.33333333333333,1610612756,2,2,2021-12-28T02:12:24Z,220000,42.0,55.0,1,right,MISS D. Booker 6' cutting Layup - blocked,"[1626164, 203500]",1610612756.0,PHX,cutting,,,Booker,D. Booker,,,,,6.86,Missed,,,,,,,,,Adams,203500.0,,,,,,,,,
23,PT10M23.00S,2021-12-28T02:12:18.1Z,1,REGULAR,block,,[],203500,,,1610612756,2,2,2021-12-28T02:12:20Z,230000,,,0,,S. Adams BLOCK (1 BLK),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M23.00S,2021-12-28T02:12:18.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,2,2,2021-12-28T02:12:24Z,240000,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,
25,PT10M23.00S,2021-12-28T02:12:25.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612756,2,2,2021-12-28T02:12:25Z,250000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT10M17.00S,2021-12-28T02:12:40.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628969,84.28055190538765,50.245098039215684,1610612756,4,2,2021-12-28T02:18:22Z,260000,1.0,95.0,1,right,M. Bridges 9' Jump Shot (2 PTS) (J. McGee 1 AST),"[1628969, 201580]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,9.53,Made,,,,,2.0,J. McGee,201580.0,1.0,,,,,,,,,,,
28,PT10M04.00S,2021-12-28T02:12:53.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,16.606438896189218,48.28431372549019,1610612763,4,4,2021-12-28T02:12:58Z,280000,9.0,104.0,1,left,J. Jackson Jr. 10' driving floating Jump Shot (2 PTS) (J. Morant 1 AST),"[1628991, 1629630]",1610612763.0,MEM,driving floating,,,Jackson Jr.,J. Jackson Jr.,,,,,10.4,Made,,,,,2.0,J. Morant,1629630.0,1.0,,,,,,,,,,,
30,PT09M51.00S,2021-12-28T02:13:05.4Z,1,REGULAR,3pt,Jump Shot,[],1629661,93.61038107752957,4.411764705882348,1610612756,4,4,2021-12-28T02:13:10Z,300000,-228.0,8.0,1,right,MISS C. Johnson 3PT,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,22.8,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M49.00S,2021-12-28T02:13:07.4Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,4,4,2021-12-28T02:13:10Z,310000,,,0,,S. Adams REBOUND (Off:1 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,30.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
