actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-19T02:10:47.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-19T02:10:47Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-03-19T02:10:51.5Z,1,REGULAR,jumpball,recovered,[],1630245,,,1610612741,0,0,2022-03-19T02:10:51Z,40000,,,0,,Jump Ball N. Vucevic vs. D. Ayton: Tip to A. Dosunmu,"[1630245, 202696, 1629028]",1610612741.0,CHI,startperiod,A. Dosunmu,1630245.0,Dosunmu,A. Dosunmu,Vucevic,202696.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2022-03-19T02:11:11.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,84.05059132720105,43.13725490196079,1610612741,0,0,2022-03-19T02:11:16Z,70000,-34.0,97.0,1,right,MISS N. Vucevic 10' turnaround Hook,[202696],1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,10.33,Missed,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2022-03-19T02:11:14.8Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,0,0,2022-03-19T02:11:16Z,80000,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M18.00S,2022-03-19T02:11:28.9Z,1,REGULAR,turnover,bad pass,[],1626166,,,1610612756,0,0,2022-03-19T02:11:31Z,90000,,,0,,C. Payne bad pass TURNOVER (1 TO),"[1626166, 202696]",1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,,,,,1.0,Vucevic,202696.0,,,,,,,,,,,
10,PT11M18.00S,2022-03-19T02:11:28.9Z,1,REGULAR,steal,,[],202696,,,1610612741,0,0,2022-03-19T02:15:15Z,100000,,,0,,N. Vucevic STEAL (1 STL),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M12.00S,2022-03-19T02:11:34.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202696,91.93495400788436,48.28431372549019,1610612741,0,2,2022-03-19T02:11:38Z,110000,-9.0,23.0,1,right,N. Vucevic running Layup (2 PTS) (Z. LaVine 1 AST),"[202696, 203897]",1610612741.0,CHI,running,,,Vucevic,N. Vucevic,,,,,2.48,Made,,,,,,,,2.0,Z. LaVine,203897.0,1.0,,,,,,,
13,PT11M00.00S,2022-03-19T02:11:47.0Z,1,REGULAR,3pt,Jump Shot,[],1626164,23.47240473061761,11.519607843137255,1610612756,0,2,2022-03-19T02:11:50Z,130000,192.0,168.0,1,left,MISS D. Booker 25' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,25.55,Missed,,,,,,,,,,,,,,,,,,
14,PT10M57.00S,2022-03-19T02:11:50.0Z,1,REGULAR,rebound,defensive,[],1629750,,,1610612741,0,2,2022-03-19T02:11:50Z,140000,,,0,,J. Green REBOUND (Off:0 Def:1),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M41.00S,2022-03-19T02:12:08.0Z,1,REGULAR,foul,personal,['2freethrow'],1628470,,,1610612741,0,2,2022-03-19T02:12:13Z,150000,,,0,,T. Craig shooting personal FOUL (1 PF) (Green 2 FT),"[1628470, 1629750]",1610612756.0,PHX,shooting,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,1199.0,1.0,0.0,Green,1629750.0,,
