actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-22T01:11:03.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-22T01:11:03Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-22T01:11:06.3Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612756,0,0,2021-11-22T01:11:06Z,40000,,,0,,Jump Ball D. Ayton vs. J. Green: Tip to C. Paul,"[101108, 1629028, 201145]",1610612756.0,PHX,startperiod,C. Paul,101108.0,Paul,C. Paul,Ayton,1629028.0,Green,201145.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2021-11-22T01:11:15.9Z,1,REGULAR,foul,personal,['3freethrow'],1628420,,,1610612756,0,0,2021-11-22T01:12:07Z,70000,,,0,,M. Morris shooting personal FOUL (1 PF) (Crowder 3 FT),"[1628420, 203109]",1610612743.0,DEN,shooting,,,Morris,M. Morris,,,,,201640.0,1.0,0.0,Crowder,203109.0,,,,,,,,,,,,,,,,
9,PT11M47.00S,2021-11-22T01:11:42.2Z,1,REGULAR,freethrow,1 of 3,[],203109,,,1610612756,1,0,2021-11-22T01:11:42Z,90000,,,0,,J. Crowder Free Throw 1 of 3 (1 PTS),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
10,PT11M47.00S,2021-11-22T01:11:54.3Z,1,REGULAR,freethrow,2 of 3,[],203109,,,1610612756,2,0,2021-11-22T01:11:54Z,100000,,,0,,J. Crowder Free Throw 2 of 3 (2 PTS),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
11,PT11M47.00S,2021-11-22T01:12:09.5Z,1,REGULAR,freethrow,3 of 3,[],203109,,,1610612756,3,0,2021-11-22T01:12:09Z,110000,,,0,,J. Crowder Free Throw 3 of 3 (3 PTS),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
12,PT11M31.00S,2021-11-22T01:12:26.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203210,89.01116951379764,48.774509803921575,1610612743,3,0,2021-11-22T01:12:30Z,120000,-6.0,51.0,1,right,MISS J. Green Hook,[203210],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,Missed,,5.12,,,,,,,,,,,,,
13,PT11M29.00S,2021-11-22T01:12:28.0Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,3,0,2021-11-22T01:15:48Z,130000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT11M23.00S,2021-11-22T01:12:33.8Z,1,REGULAR,3pt,Jump Shot,[],203109,25.54204993429697,13.480392156862735,1610612756,6,0,2021-11-22T01:12:38Z,140000,183.0,188.0,1,left,J. Crowder 26' 3PT  (6 PTS) (C. Paul 1 AST),"[203109, 101108]",1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,Made,6.0,26.18,,,,,C. Paul,101108.0,1.0,,,,,,
16,PT11M05.00S,2021-11-22T01:12:52.2Z,1,REGULAR,3pt,Jump Shot,[],201145,80.20696452036793,92.40196078431373,1610612743,6,0,2021-11-22T01:12:56Z,160000,212.0,134.0,1,right,MISS J. Green 25' 3PT,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,Missed,,25.06,,,,,,,,,,,,,
