actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-09T02:10:52.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-09T02:10:52Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-09T02:10:54.4Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612756,0,0,2022-01-09T02:10:54Z,40000,,,0,,Jump Ball D. Ayton vs. O. Yurtseven: Tip to C. Paul,"[101108, 1629028, 1630209]",1610612756.0,PHX,startperiod,C. Paul,101108.0,Paul,C. Paul,Ayton,1629028.0,Yurtseven,1630209.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-01-09T02:11:06.9Z,1,REGULAR,turnover,out-of-bounds,[],101108,,,1610612756,0,0,2022-01-09T02:11:21Z,70000,,,0,,C. Paul bad pass out-of-bounds TURNOVER (1 TO),[101108],1610612756.0,PHX,bad pass,,,Paul,C. Paul,,,,,1626300.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2022-01-09T02:11:25.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],200768,33.98488830486202,41.17647058823529,1610612748,0,0,2022-01-09T02:11:30Z,80000,44.0,267.0,1,left,MISS K. Lowry 27' 3PT,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,27.06,Missed,,,,,,,,,,,,,,,,,
9,PT11M29.00S,2022-01-09T02:11:29.5Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,0,0,2022-01-09T02:22:20Z,90000,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M19.00S,2022-01-09T02:11:41.5Z,1,REGULAR,turnover,out-of-bounds,[],1626164,,,1610612756,0,0,2022-01-09T02:11:45Z,100000,,,0,,D. Booker bad pass out-of-bounds TURNOVER (1 TO),[1626164],1610612756.0,PHX,bad pass,,,Booker,D. Booker,,,,,1628171.0,1.0,,,,,,,,,,,,,,,,,,,
11,PT10M55.00S,2022-01-09T02:12:11.1Z,1,REGULAR,turnover,bad pass,[],200782,,,1610612748,0,0,2022-01-09T02:12:17Z,110000,,,0,,P. Tucker bad pass TURNOVER (1 TO),"[200782, 1626164]",1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,1.0,,,,,,,Booker,1626164.0,,,,,,,,,,,
12,PT10M55.00S,2022-01-09T02:12:11.1Z,1,REGULAR,steal,,[],1626164,,,1610612756,0,0,2022-01-09T02:12:14Z,120000,,,0,,D. Booker STEAL (1 STL),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT10M50.00S,2022-01-09T02:12:16.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1626164,68.80749014454665,66.66666666666666,1610612756,3,0,2022-01-09T02:12:19Z,130000,83.0,241.0,1,right,D. Booker 25' 3PT running pullup (3 PTS),[1626164],1610612756.0,PHX,running pullup,,,Booker,D. Booker,,,,,,,25.47,Made,,,,,,,3.0,,,,,,,,,,
14,PT10M29.00S,2022-01-09T02:12:36.3Z,1,REGULAR,3pt,Jump Shot,[],1629622,9.149145860709593,3.431372549019608,1610612748,3,3,2022-01-09T02:12:40Z,140000,233.0,34.0,1,left,M. Strus 3PT  (3 PTS) (O. Yurtseven 1 AST),"[1629622, 1630209]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,23.52,Made,,,,,,,3.0,O. Yurtseven,1630209.0,1.0,,,,,,,
