actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
24,PT10M18.00S,2022-02-16T03:04:36.7Z,1,REGULAR,foul,personal,['1freethrow'],202704,,,1610612756,3,4,2022-02-16T03:04:54Z,230000,,,0,,R. Jackson shooting personal FOUL (1 PF) (Crowder 1 FT),"[202704, 203109]",1610612746.0,LAC,shooting,,,Jackson,R. Jackson,,,,,,,,,,,203593.0,,,,,,,,1.0,0.0,Crowder,203109.0,,
26,PT10M18.00S,2022-02-16T03:04:55.9Z,1,REGULAR,substitution,out,[],202694,,,1610612756,3,4,2022-02-16T03:05:22Z,250000,,,0,,SUB out: M. Morris Sr.,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,,,,,,
27,PT10M18.00S,2022-02-16T03:04:55.9Z,1,REGULAR,substitution,in,[],1629599,,,1610612756,3,4,2022-02-16T03:05:22Z,260000,,,0,,SUB in: A. Coffey,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,,,,,,,,,,,,,,,,,
28,PT10M18.00S,2022-02-16T03:05:36.6Z,1,REGULAR,freethrow,1 of 1,[],203109,,,1610612756,3,4,2022-02-16T03:05:39Z,270000,,,0,,MISS J. Crowder Free Throw 1 of 1,[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,Missed,,,,,,,,,,,,,,,,,,
29,PT10M16.00S,2022-02-16T03:05:38.6Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,3,4,2022-02-16T03:05:39Z,280000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,
30,PT10M01.00S,2022-02-16T03:05:52.1Z,1,REGULAR,3pt,Jump Shot,[],1629611,91.80354796320631,4.411764705882353,1610612746,3,4,2022-02-16T03:05:56Z,290000,-228.0,25.0,1,right,MISS T. Mann fadeaway 3PT,[1629611],1610612746.0,LAC,fadeaway,,,Mann,T. Mann,,,,,22.92,Missed,,,,,,,,,,,,,,,,,,
31,PT09M58.00S,2022-02-16T03:05:55.1Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,3,4,2022-02-16T03:10:40Z,300000,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,
32,PT09M50.00S,2022-02-16T03:06:06.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612756,3,4,2022-02-16T03:06:06Z,310000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M48.00S,2022-02-16T03:06:19.7Z,1,REGULAR,2pt,Jump Shot,[],1626164,11.251642575558476,20.833333333333336,1610612756,5,4,2022-02-16T03:06:23Z,320000,146.0,53.0,1,left,D. Booker 15' Jump Shot (2 PTS) (C. Paul 1 AST),"[1626164, 101108]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,15.52,Made,,,,,,,2.0,C. Paul,101108.0,1.0,,,,,,,,
35,PT09M33.00S,2022-02-16T03:06:34.4Z,1,REGULAR,2pt,Jump Shot,[],1629599,79.71419185282524,71.32352941176471,1610612746,5,6,2022-02-16T03:06:38Z,340000,107.0,138.0,1,right,A. Coffey 17' pullup Jump Shot (2 PTS),[1629599],1610612746.0,LAC,pullup,,,Coffey,A. Coffey,,,,,17.45,Made,,,,,,,2.0,,,,,,,,,,,
36,PT09M19.00S,2022-02-16T03:06:49.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,5.469776609724048,44.85294117647059,1610612756,5,6,2022-02-16T03:12:12Z,350000,26.0,-1.0,1,left,MISS D. Ayton cutting DUNK - blocked,"[1629028, 202704]",1610612756.0,PHX,cutting,,,Ayton,D. Ayton,,,,,2.57,Missed,,,,,,,,,,,Jackson,202704.0,,,,,,
37,PT09M19.00S,2022-02-16T03:06:49.6Z,1,REGULAR,block,,[],202704,,,1610612756,5,6,2022-02-16T03:06:51Z,360000,,,0,,R. Jackson BLOCK (1 BLK),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,
38,PT09M16.00S,2022-02-16T03:06:52.6Z,1,REGULAR,rebound,defensive,[],202704,,,1610612746,5,6,2022-02-16T03:06:52Z,370000,,,0,,R. Jackson REBOUND (Off:0 Def:1),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,
39,PT09M14.00S,2022-02-16T03:06:53.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629599,95.0886990801577,51.470588235294116,1610612746,5,8,2022-02-16T03:06:59Z,380000,7.0,-6.0,1,right,A. Coffey running DUNK (4 PTS) (R. Jackson 2 AST),"[1629599, 202704]",1610612746.0,LAC,running,,,Coffey,A. Coffey,,,,,0.97,Made,,,,,,,4.0,R. Jackson,202704.0,2.0,,,,,,,,
41,PT08M44.00S,2022-02-16T03:07:23.1Z,1,REGULAR,3pt,Jump Shot,[],1628969,36.55551905387648,84.82689950980392,1610612756,5,8,2022-02-16T03:07:28Z,400000,-174.0,291.0,1,left,MISS M. Bridges 33' 3PT,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,33.92,Missed,,,,,,,,,,,,,,,,,,
42,PT08M42.00S,2022-02-16T03:07:25.1Z,1,REGULAR,rebound,defensive,[],201587,,,1610612746,5,8,2022-02-16T03:07:28Z,410000,,,0,,N. Batum REBOUND (Off:0 Def:2),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,41.0,2.0,2.0,0.0,,,,,,,,,,,,,,
43,PT08M31.00S,2022-02-16T03:07:37.4Z,1,REGULAR,2pt,Jump Shot,[],201587,84.83902759526939,21.07843137254902,1610612746,5,10,2022-02-16T03:07:41Z,420000,-145.0,90.0,1,right,N. Batum 17' turnaround Jump Shot (2 PTS) (R. Jackson 3 AST),"[201587, 202704]",1610612746.0,LAC,turnaround,,,Batum,N. Batum,,,,,17.03,Made,,,,,,,2.0,R. Jackson,202704.0,3.0,,,,,,,,
45,PT08M22.00S,2022-02-16T03:07:45.5Z,1,REGULAR,2pt,Jump Shot,[],1626164,17.296320630749015,19.607843137254903,1610612756,5,10,2022-02-16T03:07:51Z,440000,152.0,110.0,1,left,MISS D. Booker 18' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,18.77,Missed,,,,,,,,,,,,,,,,,,
46,PT08M21.00S,2022-02-16T03:07:46.5Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,5,10,2022-02-16T03:07:54Z,450000,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,45.0,2.0,2.0,0.0,,,,,,,,,,,,,,
47,PT08M11.00S,2022-02-16T03:07:59.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627826,93.51182654402102,50.49019607843137,1610612746,5,12,2022-02-16T03:45:59Z,460000,2.0,8.0,1,right,I. Zubac cutting DUNK (4 PTS) (R. Jackson 4 AST),"[1627826, 202704]",1610612746.0,LAC,cutting,,,Zubac,I. Zubac,,,,,0.89,Made,,,,,,,4.0,R. Jackson,202704.0,4.0,,,,,,,,
49,PT08M11.00S,2022-02-16T03:08:01.7Z,1,REGULAR,foul,personal,['1freethrow'],1629028,,,1610612746,5,12,2022-02-16T03:08:20Z,480000,,,0,,D. Ayton shooting personal FOUL (1 PF) (Zubac 1 FT),"[1629028, 1627826]",1610612756.0,PHX,shooting,,,Ayton,D. Ayton,,,,,,,,,,,202027.0,,,,,,,,1.0,0.0,Zubac,1627826.0,,
51,PT08M11.00S,2022-02-16T03:08:34.8Z,1,REGULAR,freethrow,1 of 1,[],1627826,,,1610612746,5,13,2022-02-16T03:08:34Z,500000,,,0,,I. Zubac Free Throw 1 of 1 (5 PTS),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
52,PT07M53.00S,2022-02-16T03:08:55.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,20.318659658344284,54.41176470588235,1610612756,7,13,2022-02-16T03:08:58Z,510000,-22.0,138.0,1,left,M. Bridges 14' pullup Jump Shot (2 PTS) (C. Paul 2 AST),"[1628969, 101108]",1610612756.0,PHX,pullup,,,Bridges,M. Bridges,,,,,14.03,Made,,,,,,,2.0,C. Paul,101108.0,2.0,,,,,,,,
