actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-03-14T01:10:53.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-14T01:10:53Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-03-14T01:10:57.3Z,1,REGULAR,jumpball,recovered,[],1626166,,,1610612756,0,0,2022-03-14T01:10:57Z,40000,,,0,,Jump Ball D. Ayton vs. L. James: Tip to C. Payne,"[1626166, 1629028, 2544]",1610612756.0,PHX,startperiod,C. Payne,1626166.0,Payne,C. Payne,Ayton,1629028.0,James,2544.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M55.00S,2022-03-14T01:11:09.8Z,1,REGULAR,stoppage,other,[],0,,,1610612756,0,0,2022-03-14T01:11:09Z,70000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-03-14T01:11:28.6Z,1,REGULAR,2pt,Hook,[],1629028,88.12417871222075,31.862745098039213,1610612756,2,0,2022-03-14T01:11:31Z,80000,-91.0,59.0,1,right,D. Ayton 10' turnaround Hook (2 PTS),[1629028],1610612756.0,PHX,turnaround,,,Ayton,D. Ayton,,,,,10.83,Made,2.0,,,,,,,,,,,,,,,,,,
9,PT11M32.00S,2022-03-14T01:11:39.3Z,1,REGULAR,turnover,bad pass,[],201566,,,1610612747,2,0,2022-03-14T01:11:44Z,90000,,,0,,R. Westbrook bad pass TURNOVER (1 TO),"[201566, 203109]",1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,1.0,Crowder,203109.0,,,,,,,,,,,,,,,
10,PT11M32.00S,2022-03-14T01:11:39.3Z,1,REGULAR,steal,,[],203109,,,1610612756,2,0,2022-03-14T01:11:40Z,100000,,,0,,J. Crowder STEAL (1 STL),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M29.00S,2022-03-14T01:11:42.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203109,72.09264126149803,79.16666666666666,1610612756,2,0,2022-03-14T01:11:46Z,110000,146.0,210.0,1,right,MISS J. Crowder 25' running 3PT,[203109],1610612756.0,PHX,running,,,Crowder,J. Crowder,,,,,25.55,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M27.00S,2022-03-14T01:11:44.8Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,2,0,2022-03-14T01:11:46Z,120000,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M22.00S,2022-03-14T01:11:49.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",2544,5.601182654402102,47.30392156862745,1610612747,2,2,2022-03-14T01:11:53Z,130000,13.0,0.0,1,left,L. James running Layup (2 PTS),[2544],1610612747.0,LAL,running,,,James,L. James,,,,,1.35,Made,2.0,,,,,,,,,,,,,,,,,,
14,PT11M11.00S,2022-03-14T01:12:00.3Z,1,REGULAR,3pt,Jump Shot,[],1626164,67.49342969776609,51.470588235294116,1610612756,2,2,2022-03-14T01:12:03Z,140000,7.0,253.0,1,right,MISS D. Booker 25' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,25.32,Missed,,,,,,,,,,,,,,,,,,,
15,PT11M09.00S,2022-03-14T01:12:02.3Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,2,2,2022-03-14T01:12:03Z,150000,,,0,,L. James REBOUND (Off:0 Def:2),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,14.0,2.0,2.0,0.0,,,,,,,,,,,
16,PT10M49.00S,2022-03-14T01:12:22.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,7.178055190538765,53.18627450980392,1610612747,2,4,2022-03-14T01:13:13Z,160000,-16.0,15.0,1,left,R. Westbrook driving Layup (2 PTS),[201566],1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,2.19,Made,2.0,,,,,,,,,,,,,,,,,,
17,PT10M39.00S,2022-03-14T01:12:31.6Z,1,REGULAR,2pt,Jump Shot,[],1626164,90.75229960578186,70.34313725490196,1610612756,2,4,2022-03-14T01:12:34Z,170000,102.0,34.0,1,right,MISS D. Booker 10' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,10.74,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M37.00S,2022-03-14T01:12:33.6Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,2,4,2022-03-14T01:12:34Z,180000,,,0,,L. James REBOUND (Off:0 Def:3),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,17.0,3.0,3.0,0.0,,,,,,,,,,,
