actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-02-08T00:40:45.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-08T00:40:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-02-08T00:40:49.5Z,1,REGULAR,jumpball,recovered,[],1630529,,,1610612740,0,0,2023-02-08T00:40:49Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. C. Capela: Tip to H. Jones,"[1630529, 202685, 203991]",1610612740.0,NOP,startperiod,H. Jones,1630529.0,Jones,H. Jones,Valanciunas,202685.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-02-08T00:41:04.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,82.21090670170827,57.35294117647059,1610612740,2,0,2023-02-08T00:41:08Z,70000,False,37.0,115.0,1,right,B. Ingram 12' pullup Jump Shot (2 PTS),[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,12.05,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M15.00S,2023-02-08T00:41:29.8Z,1,REGULAR,3pt,Jump Shot,[],1627749,24.392247043363994,87.00980392156863,1610612737,2,0,2023-02-08T00:41:35Z,80000,False,-185.0,177.0,1,left,MISS D. Murray 25' 3PT,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Left Center,25.59,Missed,,,,,,,,,,,,,,,,,,
9,PT11M11.00S,2023-02-08T00:41:33.8Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,2,0,2023-02-08T00:41:35Z,90000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Left Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M07.00S,2023-02-08T00:41:43.8Z,1,REGULAR,foul,personal,[],1628381,,,1610612740,2,0,2023-02-08T00:41:53Z,100000,False,,,0,,J. Collins personal FOUL (1 PF),"[1628381, 202685]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,Mid-Range,16-24 Right Center,,,,,,,,202058.0,1.0,0.0,Valanciunas,202685.0,,,,,,,,
12,PT11M00.00S,2023-02-08T00:42:09.7Z,1,REGULAR,2pt,Jump Shot,[],1627742,81.2910643889619,28.676470588235293,1610612740,4,0,2023-02-08T00:42:14Z,120000,False,-107.0,123.0,1,right,B. Ingram 16' pullup Jump Shot (4 PTS) (C. McCollum 1 AST),"[1627742, 203468]",1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Left Center,16.31,Made,4.0,,,,,,,,,,C. McCollum,203468.0,1.0,,,,,
14,PT10M45.00S,2023-02-08T00:42:23.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,18.347568988173457,58.08823529411765,1610612737,4,0,2023-02-08T00:42:36Z,140000,False,-40.0,120.0,1,left,MISS D. Hunter 12' pullup Shot,[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Center,12.66,Missed,,,,,,,,,,,,,,,,,,
15,PT10M43.00S,2023-02-08T00:42:25.7Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,4,0,2023-02-08T00:42:36Z,150000,False,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,
16,PT10M34.00S,2023-02-08T00:42:36.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202685,93.51182654402102,37.00980392156863,1610612740,4,0,2023-02-08T00:42:40Z,160000,False,-65.0,8.0,1,right,MISS J. Valanciunas 6' Hook,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,6.56,Missed,,,,,,,,,,,,,,,,,,
