actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-23T23:13:36.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-23T23:13:36Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-23T23:13:39.3Z,1,REGULAR,jumpball,recovered,[],1629627,,,1610612740,0,0,2022-10-23T23:13:39Z,40000,,,0,,Jump Ball J. Valanciunas vs. K. Olynyk: Tip to Z. Williamson,"[1629627, 202685, 203482]",1610612740.0,NOP,startperiod,Z. Williamson,1629627.0,Williamson,Z. Williamson,Valanciunas,202685.0,Olynyk,203482.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2022-10-23T23:13:59.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,19.136005256241788,50.245098039215684,1610612740,2,0,2022-10-23T23:14:14Z,70000,-1.0,127.0,1,left,B. Ingram 12' turnaround Jump Shot (2 PTS),[1627742],1610612740.0,NOP,turnaround,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,12.74,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M11.00S,2022-10-23T23:14:23.9Z,1,REGULAR,3pt,Jump Shot,[],1629020,95.0886990801577,95.34313725490196,1610612762,2,3,2022-10-23T23:14:29Z,80000,227.0,-6.0,1,right,J. Vanderbilt 3PT  (3 PTS) (M. Conley 1 AST),"[1629020, 201144]",1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Right Corner 3,24+ Right,22.68,Made,3.0,M. Conley,201144.0,1.0,,,,,,,,,,,,,,
10,PT11M04.00S,2022-10-23T23:14:32.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",203468,17.821944809461236,41.66666666666667,1610612740,4,3,2022-10-23T23:14:42Z,100000,42.0,115.0,1,left,C. McCollum 12' pullup Jump Shot (2 PTS),[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,12.23,Made,2.0,,,,,,,,,,,,,,,,,
11,PT10M51.00S,2022-10-23T23:14:44.4Z,1,REGULAR,3pt,Jump Shot,[],1628374,65.91655716162943,50.0,1610612762,4,3,2022-10-23T23:14:52Z,110000,0.0,268.0,1,right,MISS L. Markkanen 26' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Center,26.79,Missed,,,,,,,,,,,,,,,,,,
12,PT10M46.00S,2022-10-23T23:14:49.4Z,1,REGULAR,rebound,offensive,[],203482,,,1610612762,4,3,2022-10-23T23:14:52Z,120000,,,0,,K. Olynyk REBOUND (Off:1 Def:0),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Above the Break 3,24+ Center,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,
13,PT10M45.00S,2022-10-23T23:14:50.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203482,91.67214191852825,43.627450980392155,1610612762,4,3,2022-10-23T23:15:11Z,130000,-32.0,26.0,1,right,MISS K. Olynyk putback Layup,[203482],1610612762.0,UTA,putback,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,4.1,Missed,,,,,,,,,,,,,,,,,,
14,PT10M43.00S,2022-10-23T23:14:52.4Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,4,3,2022-10-23T23:14:52Z,140000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M24.00S,2022-10-23T23:15:10.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,6.783837056504599,36.27450980392157,1610612740,6,3,2022-10-23T23:17:37Z,150000,69.0,11.0,1,left,C. McCollum 6' driving floating Jump Shot (4 PTS),[203468],1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,6.95,Made,4.0,,,,,,,,,,,,,,,,,
16,PT10M06.00S,2022-10-23T23:15:28.9Z,1,REGULAR,3pt,Jump Shot,[],1629020,77.21747700394218,87.25490196078431,1610612762,6,3,2022-10-23T23:15:35Z,160000,186.0,162.0,1,right,MISS J. Vanderbilt 24' 3PT,[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Above the Break 3,24+ Right Center,24.67,Missed,,,,,,,,,,,,,,,,,,
17,PT10M03.00S,2022-10-23T23:15:31.9Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,6,3,2022-10-23T23:15:35Z,170000,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Right Center,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,
18,PT10M00.00S,2022-10-23T23:15:38.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203468,25.443495400788436,14.215686274509803,1610612740,6,3,2022-10-23T23:17:05Z,180000,179.0,187.0,1,left,MISS C. McCollum 25' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,25.86,Missed,,,,,,,,,,,,,,,,,,
19,PT09M57.00S,2022-10-23T23:15:41.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,6,3,2022-10-23T23:17:05Z,190000,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,18.0,,,,,,,,,,,,,
21,PT09M45.00S,2022-10-23T23:15:58.2Z,1,REGULAR,3pt,Jump Shot,[],203903,73.80091984231275,82.35294117647058,1610612762,6,3,2022-10-23T23:16:05Z,210000,162.0,194.0,1,right,MISS J. Clarkson 25' 3PT,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Right Center,25.25,Missed,,,,,,,,,,,,,,,,,,
22,PT09M43.00S,2022-10-23T23:16:03.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,6,3,2022-10-23T23:16:03Z,220000,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,21.0,,,,,,,,,,,,,
24,PT09M25.00S,2022-10-23T23:16:24.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,5.469776609724048,54.65686274509803,1610612740,6,3,2022-10-23T23:16:32Z,240000,-23.0,-1.0,1,left,MISS J. Valanciunas driving Layup,[202685],1610612740.0,NOP,driving,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,2.33,Missed,,,,,,,,,,,,,,,,,,
25,PT09M21.00S,2022-10-23T23:16:28.5Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,6,3,2022-10-23T23:16:32Z,250000,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,
