actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-20T01:10:27.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-20T01:10:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-12-20T01:10:30.0Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2022-12-20T01:10:30Z,40000,False,,,0,,Jump Ball B. Lopez vs. J. Valanciunas: Tip to G. Antetokounmpo,"[203507, 201572, 202685]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-12-20T01:10:44.3Z,1,REGULAR,turnover,bad pass,[],1628960,,,1610612749,0,0,2022-12-20T01:10:48Z,70000,False,,,0,,G. Allen bad pass TURNOVER (1 TO),"[1628960, 1629627]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,In The Paint (Non-RA),8-16 Right,1.0,Williamson,1629627.0,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2022-12-20T01:10:44.3Z,1,REGULAR,steal,,[],1629627,,,1610612740,0,0,2022-12-20T01:10:46Z,80000,False,,,0,,Z. Williamson STEAL (1 STL),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2022-12-20T01:10:51.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202685,28.465834428383708,23.03921568627451,1610612740,3,0,2022-12-20T01:11:01Z,90000,False,135.0,215.0,1,left,J. Valanciunas 25' 3PT  (3 PTS) (C. McCollum 1 AST),"[202685, 203468]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Right Center,,,,25.38,Made,3.0,C. McCollum,203468.0,1.0,,,,,,,,,,,
11,PT11M17.00S,2022-12-20T01:11:09.5Z,1,REGULAR,turnover,bad pass,[],1630699,,,1610612749,3,0,2022-12-20T01:11:29Z,110000,False,,,0,,M. Beauchamp bad pass TURNOVER (1 TO),"[1630699, 1629627]",1610612749.0,MIL,,,,Beauchamp,M. Beauchamp,,,,,Above the Break 3,24+ Left Center,1.0,Williamson,1629627.0,,,,,,,,,,,,,,,,,
12,PT11M17.00S,2022-12-20T01:11:09.5Z,1,REGULAR,steal,,[],1629627,,,1610612740,3,0,2022-12-20T01:11:11Z,120000,False,,,0,,Z. Williamson STEAL (2 STL),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
13,PT11M16.00S,2022-12-20T01:11:13.4Z,1,REGULAR,foul,personal,[],203507,,,1610612740,3,0,2022-12-20T01:11:17Z,130000,False,,,0,,G. Antetokounmpo personal FOUL (1 PF),"[203507, 1629627]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,1146.0,1.0,0.0,Williamson,1629627.0,,,,,,
15,PT11M01.00S,2022-12-20T01:11:37.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202685,7.178055190538765,4.6568627450980395,1610612740,6,0,2022-12-20T01:11:43Z,150000,False,227.0,15.0,1,left,J. Valanciunas 3PT  (6 PTS) (Z. Williamson 1 AST),"[202685, 1629627]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Right Corner 3,24+ Right,,,,22.72,Made,6.0,Z. Williamson,1629627.0,1.0,,,,,,,,,,,
17,PT10M45.00S,2022-12-20T01:11:52.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,94.03745072273325,51.71568627450981,1610612749,6,2,2022-12-20T01:12:04Z,170000,False,9.0,4.0,1,right,J. Holiday driving Layup (2 PTS),[201950],1610612749.0,MIL,driving,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,,0.93,Made,2.0,,,,,,,,,,,,,,
