actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-04-08T00:11:06.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-08T00:11:06Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-04-08T00:11:09.3Z,1,REGULAR,jumpball,recovered,[],1630167,,,1610612752,0,0,2023-04-08T00:11:09Z,40000,False,,,0,,Jump Ball I. Hartenstein vs. J. Valanciunas: Tip to O. Toppin,"[1630167, 1628392, 202685]",1610612752.0,NYK,startperiod,O. Toppin,1630167.0,Toppin,O. Toppin,Hartenstein,1628392.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2023-04-08T00:11:29.2Z,1,REGULAR,3pt,Jump Shot,[],1629628,26.49474375821288,19.852941176470587,1610612752,0,0,2023-04-08T00:11:38Z,70000,False,151.0,197.0,1,left,MISS R. Barrett 24' 3PT - blocked,"[1629628, 1630529]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Right Center,24.77,Missed,Jones,1630529.0,,,,,,,,,,,,,,,,
8,PT11M36.00S,2023-04-08T00:11:29.2Z,1,REGULAR,block,,[],1630529,,,1610612752,0,0,2023-04-08T00:11:32Z,80000,False,,,0,,H. Jones BLOCK (1 BLK),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2023-04-08T00:11:32.2Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,0,0,2023-04-08T00:11:38Z,90000,False,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M16.00S,2023-04-08T00:11:49.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,92.9862023653088,53.431372549019606,1610612740,2,0,2023-04-08T00:11:54Z,100000,False,17.0,13.0,1,right,H. Jones cutting Layup (2 PTS) (B. Ingram 1 AST),"[1630529, 1627742]",1610612740.0,NOP,cutting,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,2.18,Made,,,,,,,2.0,B. Ingram,1627742.0,1.0,,,,,,,,
12,PT10M56.00S,2023-04-08T00:12:10.8Z,1,REGULAR,turnover,out-of-bounds,[],1630193,,,1610612752,2,0,2023-04-08T00:12:22Z,120000,False,,,0,,I. Quickley bad pass out-of-bounds TURNOVER (1 TO),[1630193],1610612752.0,NYK,bad pass,,,Quickley,I. Quickley,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,202007.0,1.0,,,,,,
13,PT10M48.00S,2023-04-08T00:12:28.3Z,1,REGULAR,foul,personal,[],1628392,,,1610612740,2,0,2023-04-08T00:12:38Z,130000,False,,,0,,I. Hartenstein personal FOUL (1 PF),"[1628392, 202685]",1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,202007.0,,1.0,0.0,Valanciunas,202685.0,,
15,PT10M34.00S,2023-04-08T00:13:02.5Z,1,REGULAR,foul,personal,['2freethrow'],1630167,,,1610612740,2,0,2023-04-08T00:13:13Z,150000,False,,,0,,O. Toppin shooting personal FOUL (1 PF) (Murphy III 2 FT),"[1630167, 1630530]",1610612752.0,NYK,shooting,,,Toppin,O. Toppin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,202007.0,,1.0,0.0,Murphy III,1630530.0,,
17,PT10M34.00S,2023-04-08T00:13:23.3Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630530,,,1610612740,3,0,2023-04-08T00:13:23Z,170000,False,,,0,,T. Murphy III Free Throw 1 of 2 (1 PTS),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
