actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-03-12T01:40:20.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-12T01:40:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-12T01:40:23.2Z,1,REGULAR,jumpball,recovered,[],1630230,,,1610612740,0,0,2023-03-12T01:40:23Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. J. Williams: Tip to N. Marshall,"[1630230, 202685, 1631119]",1610612740.0,NOP,startperiod,N. Marshall,1630230.0,Marshall,N. Marshall,Valanciunas,202685.0,Williams,1631119.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-03-12T01:40:41.6Z,1,REGULAR,foul,personal,['2freethrow'],1631119,,,1610612740,0,0,2023-03-12T01:41:25Z,70000,False,,,0,,J. Williams shooting personal FOUL (1 PF) (Valanciunas 2 FT),"[1631119, 202685]",1610612760.0,OKC,shooting,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,202053.0,1.0,0.0,Valanciunas,202685.0,,,,,,,,,,,,,,,
10,PT11M41.00S,2023-03-12T01:41:27.1Z,1,REGULAR,freethrow,1 of 2,[],202685,,,1610612740,1,0,2023-03-12T01:41:35Z,100000,False,,,0,,J. Valanciunas Free Throw 1 of 2 (1 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
11,PT11M41.00S,2023-03-12T01:41:27.1Z,1,REGULAR,freethrow,2 of 2,[],202685,,,1610612740,1,0,2023-03-12T01:41:35Z,110000,False,,,0,,MISS J. Valanciunas Free Throw 2 of 2,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
12,PT11M41.00S,2023-03-12T01:41:27.1Z,1,REGULAR,rebound,defensive,[],1631119,,,1610612760,1,0,2023-03-12T01:41:35Z,120000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT11M19.00S,2023-03-12T01:41:45.1Z,1,REGULAR,3pt,Jump Shot,[],1629652,28.597240473061763,83.08823529411765,1610612760,1,0,2023-03-12T01:41:50Z,130000,False,-165.0,216.0,1,left,MISS L. Dort 27' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,27.23,,,,,,,,
14,PT11M16.00S,2023-03-12T01:41:48.1Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,1,0,2023-03-12T01:41:50Z,140000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Left Center,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,
15,PT11M06.00S,2023-03-12T01:41:58.2Z,1,REGULAR,3pt,Jump Shot,[],203468,67.49342969776609,61.76470588235294,1610612740,4,0,2023-03-12T01:42:02Z,150000,False,59.0,253.0,1,right,C. McCollum 25' 3PT step back (3 PTS) (N. Marshall 1 AST),"[203468, 1630230]",1610612740.0,NOP,step back,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,,,,,,Made,3.0,,,,,25.98,N. Marshall,1630230.0,1.0,,,,,
17,PT10M49.00S,2023-03-12T01:42:18.1Z,1,REGULAR,foul,personal,['2freethrow'],1630530,,,1610612760,4,0,2023-03-12T01:42:33Z,170000,False,,,0,,T. Murphy III shooting personal FOUL (1 PF) (Williams 2 FT),"[1630530, 1631119]",1610612740.0,NOP,shooting,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),8-16 Center,1627524.0,1.0,0.0,Williams,1631119.0,,,,,,,,,,,,,,,
