actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2023-01-07T00:45:26.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-07T00:45:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2023-01-07T00:45:32.1Z,1,REGULAR,jumpball,recovered,[],1627732,,,1610612751,0,0,2023-01-07T00:45:32Z,40000,False,,,0,,Jump Ball N. Claxton vs. J. Valanciunas: Tip to B. Simmons,"[1627732, 1629651, 202685]",1610612751.0,BKN,startperiod,B. Simmons,1627732.0,Simmons,B. Simmons,Claxton,1629651.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-01-07T00:45:43.2Z,1,REGULAR,foul,personal,['2freethrow'],1630529,,,1610612751,0,0,2023-01-07T00:45:58Z,70000,False,,,0,,H. Jones shooting personal FOUL (1 PF) (Durant 2 FT),"[1630529, 201142]",1610612740.0,NOP,shooting,,,Jones,H. Jones,,,,,Mid-Range,8-16 Left,204059.0,1.0,0.0,Durant,201142.0,,,,,,,,,,,,,,,
9,PT11M43.00S,2023-01-07T00:46:10.3Z,1,REGULAR,freethrow,1 of 2,[],201142,,,1610612751,0,1,2023-01-07T00:46:10Z,90000,False,,,0,,K. Durant Free Throw 1 of 2 (1 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M43.00S,2023-01-07T00:46:25.0Z,1,REGULAR,freethrow,2 of 2,[],201142,,,1610612751,0,2,2023-01-07T00:46:25Z,100000,False,,,0,,K. Durant Free Throw 2 of 2 (2 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
12,PT11M25.00S,2023-01-07T00:47:01.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,91.93495400788436,47.05882352941176,1610612740,0,2,2023-01-07T00:47:15Z,120000,False,-15.0,23.0,1,right,MISS J. Valanciunas Layup - blocked,"[202685, 1629651]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,Missed,,2.75,Claxton,1629651.0,,,,,,,,,,
13,PT11M25.00S,2023-01-07T00:47:01.5Z,1,REGULAR,block,,[],1629651,,,1610612740,0,2,2023-01-07T00:47:09Z,130000,False,,,0,,N. Claxton BLOCK (1 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT11M25.00S,2023-01-07T00:47:01.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,0,2,2023-01-07T00:47:15Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,12.0,,,,,,,,,
16,PT11M20.00S,2023-01-07T00:47:17.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202685,88.91261498028909,60.29411764705882,1610612740,0,2,2023-01-07T00:47:26Z,160000,False,51.0,52.0,1,right,MISS J. Valanciunas 7' fadeaway Shot,[202685],1610612740.0,NOP,fadeaway,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,7.3,,,,,,,,,,,,
17,PT11M18.00S,2023-01-07T00:47:19.9Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,0,2,2023-01-07T00:47:26Z,170000,False,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,
19,PT11M06.00S,2023-01-07T00:47:54.7Z,1,REGULAR,2pt,Jump Shot,[],201142,8.360709592641262,75.73529411764706,1610612751,0,2,2023-01-07T00:48:00Z,190000,False,-129.0,26.0,1,left,MISS K. Durant 13' Jump Shot,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,Mid-Range,8-16 Left,,,,,,Missed,,13.13,,,,,,,,,,,,
20,PT11M02.00S,2023-01-07T00:47:57.9Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,0,2,2023-01-07T00:47:57Z,200000,False,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,8-16 Left,,,,,,,,,,,19.0,1.0,0.0,1.0,,,,,,
21,PT10M57.00S,2023-01-07T00:48:04.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627732,7.835085413929041,54.41176470588235,1610612751,0,4,2023-01-07T00:48:20Z,210000,False,-22.0,21.0,1,left,B. Simmons driving Layup (2 PTS),[1627732],1610612751.0,BKN,driving,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,3.06,,,,,,,,,,,,
23,PT10M37.00S,2023-01-07T00:48:22.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,80.81471747700394,37.212775735294116,1610612740,0,4,2023-01-07T00:48:29Z,220000,False,-64.0,128.0,1,right,MISS C. McCollum 14' fadeaway Shot - blocked,"[203468, 1629651]",1610612740.0,NOP,fadeaway,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,14.29,Claxton,1629651.0,,,,,,,,,,
24,PT10M37.00S,2023-01-07T00:48:22.6Z,1,REGULAR,block,,[],1629651,,,1610612740,0,4,2023-01-07T00:48:25Z,230000,False,,,0,,N. Claxton BLOCK (2 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
