actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-05T01:10:26.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-05T01:10:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2023-01-05T01:10:32.7Z,1,REGULAR,jumpball,recovered,[],1630230,,,1610612740,0,0,2023-01-05T01:10:32Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. A. Sengun: Tip to N. Marshall,"[1630230, 202685, 1630578]",1610612740.0,NOP,startperiod,N. Marshall,1630230.0,Marshall,N. Marshall,Valanciunas,202685.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2023-01-05T01:10:48.9Z,1,REGULAR,2pt,Jump Shot,[],203468,72.35545335085413,53.67647058823529,1610612740,2,0,2023-01-05T01:10:57Z,70000,False,18.0,207.0,1,right,C. McCollum 20' turnaround Jump Shot (2 PTS),[203468],1610612740.0,NOP,turnaround,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Center,20.82,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M16.00S,2023-01-05T01:11:11.8Z,1,REGULAR,foul,personal,['2freethrow'],1630530,,,1610612745,2,0,2023-01-05T01:11:25Z,80000,False,,,0,,T. Murphy III shooting personal FOUL (1 PF) (Smith Jr. 2 FT),"[1630530, 1631095]",1610612740.0,NOP,shooting,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),8-16 Right,,,,1626301.0,1.0,0.0,Smith Jr.,1631095.0,,,,,,,,,,,,
10,PT11M16.00S,2023-01-05T01:11:43.0Z,1,REGULAR,freethrow,1 of 2,[],1631095,,,1610612745,2,0,2023-01-05T01:11:43Z,100000,False,,,0,,MISS J. Smith Jr. Free Throw 1 of 2,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
11,PT11M16.00S,2023-01-05T01:11:43.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,2,0,2023-01-05T01:11:43Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,
12,PT11M16.00S,2023-01-05T01:12:05.3Z,1,REGULAR,freethrow,2 of 2,[],1631095,,,1610612745,2,1,2023-01-05T01:12:05Z,120000,False,,,0,,J. Smith Jr. Free Throw 2 of 2 (1 PTS),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
13,PT11M09.00S,2023-01-05T01:12:13.1Z,1,REGULAR,3pt,Jump Shot,[],203468,69.99014454664915,73.77450980392157,1610612740,5,1,2023-01-05T01:12:25Z,130000,False,119.0,230.0,1,right,C. McCollum 25' 3PT pullup (5 PTS),[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,25.86,Made,5.0,,,,,,,,,,,,,,,,,
14,PT10M50.00S,2023-01-05T01:12:33.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630224,15.193823915900131,49.01960784313725,1610612745,5,1,2023-01-05T01:12:40Z,140000,False,5.0,90.0,1,left,MISS J. Green 9' turnaround Shot - blocked,"[1630224, 1630529]",1610612745.0,HOU,turnaround,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,9.04,Missed,,,,,,,,Jones,1630529.0,,,,,,,,,
15,PT10M50.00S,2023-01-05T01:12:33.0Z,1,REGULAR,block,,[],1630529,,,1610612745,5,1,2023-01-05T01:12:35Z,150000,False,,,0,,H. Jones BLOCK (1 BLK),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
16,PT10M46.00S,2023-01-05T01:12:37.0Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,5,1,2023-01-05T01:12:40Z,160000,False,,,0,,H. Jones REBOUND (Off:0 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,14.0,,,1.0,1.0,0.0,,,,,,
17,PT10M38.00S,2023-01-05T01:12:45.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630530,90.75229960578186,57.59803921568627,1610612740,5,1,2023-01-05T01:12:53Z,170000,False,38.0,34.0,1,right,MISS T. Murphy III driving DUNK,[1630530],1610612740.0,NOP,driving,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),0-8 Center,5.13,Missed,,,,,,,,,,,,,,,,,,
19,PT10M33.00S,2023-01-05T01:12:50.3Z,1,REGULAR,rebound,offensive,[],1630529,,,1610612740,5,1,2023-01-05T01:12:53Z,190000,False,,,0,,H. Jones REBOUND (Off:1 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,17.0,,,2.0,1.0,1.0,,,,,,
20,PT10M31.00S,2023-01-05T01:12:52.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,89.43823915900131,52.69607843137255,1610612740,5,1,2023-01-05T01:12:58Z,200000,False,13.0,47.0,1,right,MISS J. Valanciunas driving Layup - blocked,"[202685, 1631095]",1610612740.0,NOP,driving,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,4.87,Missed,,,,,,,,Smith Jr.,1631095.0,,,,,,,,,
21,PT10M31.00S,2023-01-05T01:12:52.1Z,1,REGULAR,block,,[],1631095,,,1610612740,5,1,2023-01-05T01:12:56Z,210000,False,,,0,,J. Smith Jr. BLOCK (1 BLK),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
