actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-03-09T00:45:48.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-09T00:45:48Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2023-03-09T00:46:04.8Z,1,REGULAR,jumpball,recovered,[],0,,,1610612742,0,0,2023-03-09T00:46:04Z,40000,False,,,0,,Jump Ball D. Powell vs. J. Valanciunas: Tip to Team (DAL),"[203939, 202685]",1610612742.0,DAL,startperiod,Team (DAL),Powell,203939.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,,,
7,PT12M00.00S,2023-03-09T00:46:08.2Z,1,REGULAR,foul,personal,[],202685,,,1610612742,0,0,2023-03-09T00:46:25Z,70000,False,,,0,,J. Valanciunas loose ball personal FOUL (1 PF),"[202685, 203939]",1610612740.0,NOP,loose ball,,,,,,Above the Break 3,24+ Center,1627541.0,1.0,0.0,Valanciunas,J. Valanciunas,Powell,203939.0,,,,,,,,,,,,,,,
9,PT11M43.00S,2023-03-09T00:46:28.3Z,1,REGULAR,3pt,Jump Shot,[],1629029,30.436925098554536,22.058823529411764,1610612742,0,0,2023-03-09T00:46:34Z,90000,False,140.0,234.0,1,left,MISS L. Doncic 27' 3PT,[1629029],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Right Center,,,,Doncic,L. Doncic,,,27.22,Missed,,,,,,,,,,,,,
10,PT11M39.00S,2023-03-09T00:46:32.3Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,0,2023-03-09T00:46:34Z,100000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,,,,Valanciunas,J. Valanciunas,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
11,PT11M29.00S,2023-03-09T00:46:41.3Z,1,REGULAR,2pt,Jump Shot,[],1630529,72.53613666228647,29.407935049019606,1610612740,0,0,2023-03-09T00:46:51Z,110000,False,-103.0,206.0,1,right,MISS H. Jones 23' Jump Shot,[1630529],1610612740.0,NOP,,,,,,,Mid-Range,16-24 Left Center,,,,Jones,H. Jones,,,23.0,Missed,,,,,,,,,,,,,
12,PT11M27.00S,2023-03-09T00:46:43.3Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,0,0,2023-03-09T00:46:45Z,120000,False,,,0,,D. Powell REBOUND (Off:0 Def:1),[203939],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Left Center,,,,Powell,D. Powell,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT11M25.00S,2023-03-09T00:46:51.6Z,1,REGULAR,foul,personal,[],1627742,,,1610612742,0,0,2023-03-09T00:47:03Z,130000,False,,,0,,B. Ingram personal FOUL (1 PF),"[1627742, 1630182]",1610612740.0,NOP,,,,,,,Restricted Area,0-8 Center,1628953.0,1.0,0.0,Ingram,B. Ingram,Green,1630182.0,,,,,,,,,,,,,,,
15,PT11M19.00S,2023-03-09T00:47:08.8Z,1,REGULAR,3pt,Jump Shot,[],202681,26.757555847568987,80.14705882352942,1610612742,0,0,2023-03-09T00:47:39Z,150000,False,-151.0,199.0,1,left,MISS K. Irving 24' pullup 3PT,[202681],1610612742.0,DAL,pullup,,,,,,Above the Break 3,24+ Left Center,,,,Irving,K. Irving,,,24.96,Missed,,,,,,,,,,,,,
16,PT11M14.00S,2023-03-09T00:47:13.8Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,0,0,2023-03-09T00:47:14Z,160000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Left Center,,,,Murphy III,T. Murphy III,,,,,15.0,1.0,1.0,0.0,,,,,,,,,
