actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-29T01:10:34.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-29T01:10:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-12-29T01:10:37.5Z,1,REGULAR,jumpball,recovered,[],203085,,,1610612750,0,0,2022-12-29T01:10:37Z,40000,False,,,0,,Jump Ball R. Gobert vs. J. Valanciunas: Tip to A. Rivers,"[203085, 203497, 202685]",1610612750.0,MIN,startperiod,A. Rivers,203085.0,Rivers,A. Rivers,Gobert,203497.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-12-29T01:10:49.1Z,1,REGULAR,2pt,Jump Shot,[],1626156,91.14651773981603,23.03921568627451,1610612750,0,0,2022-12-29T01:10:58Z,70000,False,-135.0,31.0,1,right,MISS D. Russell 13' pullup Shot,[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,Mid-Range,8-16 Left,13.83,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-12-29T01:10:53.1Z,1,REGULAR,rebound,defensive,[],1630230,,,1610612740,0,0,2022-12-29T01:10:53Z,80000,False,,,0,,N. Marshall REBOUND (Off:0 Def:1),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Mid-Range,8-16 Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M21.00S,2022-12-29T01:11:16.8Z,1,REGULAR,2pt,Jump Shot,[],203468,24.78646517739816,21.813725490196077,1610612740,0,0,2022-12-29T04:46:01Z,90000,False,141.0,180.0,1,left,MISS C. McCollum 22' Jump Shot,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Right Center,22.9,Missed,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2022-12-29T01:11:17.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,0,0,2022-12-29T01:11:43Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Above the Break 3,24+ Right Center,,,9.0,,,,,,,,,,,,,,,,,
11,PT11M20.00S,2022-12-29T01:11:22.6Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612740,0,0,2022-12-29T01:11:33Z,110000,False,,,0,,NOP shot clock Team TURNOVER,[],1610612740.0,NOP,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,201246.0,,,,,,,,,,,,,
12,PT11M03.00S,2022-12-29T01:11:44.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630183,78.79434954007884,66.42156862745098,1610612750,0,0,2022-12-29T01:11:48Z,120000,False,82.0,147.0,1,right,MISS J. McDaniels 16' step back Shot,[1630183],1610612750.0,MIN,step back,,,McDaniels,J. McDaniels,,,,,Mid-Range,16-24 Right Center,16.82,Missed,,,,,,,,,,,,,,,,,,
13,PT11M00.00S,2022-12-29T01:11:47.1Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,0,2022-12-29T01:11:48Z,130000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,16-24 Right Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M55.00S,2022-12-29T01:11:53.0Z,1,REGULAR,turnover,lost ball,[],203468,,,1610612740,0,0,2022-12-29T01:11:59Z,140000,False,,,0,,C. McCollum lost ball TURNOVER (1 TO),"[203468, 1626156]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,1.0,Russell,1626156.0,,,,,,,,,,
