shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
12:00,2,PT12M00.00S,2022-12-08T01:10:19.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-08T01:10:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:58,4,PT11M58.00S,2022-12-08T01:10:21.9Z,1,REGULAR,jumpball,recovered,[],1630191,,,1610612765,0,0,2022-12-08T01:10:21Z,40000,False,,,0,,Jump Ball M. Bagley III vs. J. Valanciunas: Tip to I. Stewart,"[1630191, 1628963, 202685]",28,1610612765.0,DET,startperiod,I. Stewart,1630191.0,Stewart,I. Stewart,Bagley III,1628963.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
11:47,7,PT11M47.00S,2022-12-08T01:10:32.7Z,1,REGULAR,3pt,Jump Shot,[],1631093,12.302890932982917,3.6764705882352944,1610612765,0,0,2022-12-08T01:10:38Z,70000,False,232.0,63.0,1,left,MISS J. Ivey 24' 3PT,[1631093],23,1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Right Corner 3,24+ Right,24.0,Missed,,,,,,,,,,,,,,,,,,
11:43,8,PT11M43.00S,2022-12-08T01:10:36.7Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,0,2022-12-08T01:10:38Z,80000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],17,1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Right Corner 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11:36,9,PT11M36.00S,2022-12-08T01:10:44.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,93.51182654402102,45.09803921568628,1610612740,0,0,2022-12-08T01:10:47Z,90000,False,-25.0,8.0,1,right,MISS C. McCollum driving Layup,[203468],3,1610612740.0,NOP,driving,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,2.59,Missed,,,,,,,,,,,,,,,,,,
11:33,10,PT11M33.00S,2022-12-08T01:10:47.0Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612765,0,0,2022-12-08T01:10:47Z,100000,False,,,0,,M. Bagley III REBOUND (Off:0 Def:1),[1628963],35,1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11:26,11,PT11M26.00S,2022-12-08T01:10:53.6Z,1,REGULAR,2pt,Jump Shot,[],1630165,6.783837056504599,15.441176470588236,1610612765,0,2,2022-12-08T01:10:57Z,110000,False,173.0,11.0,1,left,K. Hayes 17' pullup Jump Shot (2 PTS),[1630165],7,1610612765.0,DET,pullup,,,Hayes,K. Hayes,,,,,Mid-Range,16-24 Right,17.32,Made,,,,,2.0,,,,,,,,,,,,,
11:02,12,PT11M02.00S,2022-12-08T01:11:16.3Z,1,REGULAR,2pt,Jump Shot,[],202685,92.59198423127464,73.52941176470588,1610612740,0,2,2022-12-08T01:11:20Z,120000,False,118.0,17.0,1,right,MISS J. Valanciunas 11' Jump Shot,[202685],17,1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Right,11.88,Missed,,,,,,,,,,,,,,,,,,
11:00,13,PT11M00.00S,2022-12-08T01:11:18.3Z,1,REGULAR,rebound,defensive,[],202711,,,1610612765,0,2,2022-12-08T01:11:20Z,130000,False,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[202711],44,1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,8-16 Right,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10:50,14,PT10M50.00S,2022-12-08T01:11:28.8Z,1,REGULAR,3pt,Jump Shot,[],202711,26.49474375821288,18.137254901960784,1610612765,0,5,2022-12-08T01:11:33Z,140000,False,159.0,197.0,1,left,B. Bogdanovic 25' 3PT pullup (3 PTS),[202711],44,1610612765.0,DET,pullup,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Right Center,25.3,Made,,,,,3.0,,,,,,,,,,,,,
