actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-04-06T00:10:38.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-06T00:10:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-04-06T00:10:40.9Z,1,REGULAR,jumpball,recovered,[],1626145,,,1610612763,0,0,2023-04-06T00:10:40Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. J. Valanciunas: Tip to T. Jones,"[1626145, 1628991, 202685]",1610612763.0,MEM,startperiod,T. Jones,1626145.0,Jones,T. Jones,Jackson Jr.,1628991.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-04-06T00:10:51.8Z,1,REGULAR,3pt,Jump Shot,[],1630217,68.67608409986859,71.81372549019608,1610612763,0,0,2023-04-06T00:10:56Z,70000,False,109.0,242.0,1,right,MISS D. Bane 26' 3PT,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right Center,26.54,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2023-04-06T00:10:53.8Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,0,2023-04-06T00:10:56Z,80000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M29.00S,2023-04-06T00:11:08.8Z,1,REGULAR,3pt,Jump Shot,[],1630530,20.45006570302234,93.13725490196079,1610612740,3,0,2023-04-06T00:11:14Z,90000,False,-216.0,140.0,1,left,T. Murphy III 25' 3PT  (3 PTS) (C. McCollum 1 AST),"[1630530, 203468]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Left Center,25.7,Made,,,,,3.0,C. McCollum,203468.0,1.0,,,,,,,,,,
11,PT11M13.00S,2023-04-06T00:11:24.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,92.46057818659659,45.09803921568628,1610612763,3,0,2023-04-06T00:11:29Z,110000,False,-25.0,18.0,1,right,MISS J. Jackson Jr. driving Layup,[1628991],1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,3.06,Missed,,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2023-04-06T00:11:28.8Z,1,REGULAR,rebound,offensive,[],1628991,,,1610612763,3,0,2023-04-06T00:11:28Z,120000,False,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:0),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT11M08.00S,2023-04-06T00:11:28.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628991,94.40999984741211,50.0,1610612763,3,2,2023-04-06T00:11:28Z,130000,False,0.0,0.0,1,right,J. Jackson Jr. putback DUNK (2 PTS),[1628991],1610612763.0,MEM,putback,,,Jackson Jr.,J. Jackson Jr.,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
14,PT10M57.00S,2023-04-06T00:11:40.4Z,1,REGULAR,3pt,Jump Shot,[],1627742,32.14520367936925,44.85294117647059,1610612740,3,2,2023-04-06T00:11:46Z,140000,False,26.0,250.0,1,left,MISS B. Ingram 25' 3PT,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Center,25.1,Missed,,,,,,,,,,,,,,,,,,
15,PT10M56.00S,2023-04-06T00:11:41.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612763,3,2,2023-04-06T00:18:17Z,150000,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Above the Break 3,24+ Center,,,14.0,,,,,,,,,,,,,,,,,
