actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-01T01:10:20.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-01T01:10:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-12-01T01:10:22.7Z,1,REGULAR,jumpball,recovered,[],1630631,,,1610612740,0,0,2022-12-01T01:10:22Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. S. Barnes: Tip to J. Alvarado,"[1630631, 202685, 1630567]",1610612740.0,NOP,startperiod,J. Alvarado,1630631.0,Alvarado,J. Alvarado,Valanciunas,202685.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2022-12-01T01:10:48.5Z,1,REGULAR,turnover,backcourt,[],1630529,,,1610612740,0,0,2022-12-01T01:11:02Z,70000,False,,,0,,H. Jones backcourt TURNOVER (1 TO),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Mid-Range,16-24 Center,201246.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M15.00S,2022-12-01T01:11:23.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1627783,13.091327201051248,50.73529411764706,1610612761,0,2,2022-12-01T01:11:28Z,80000,False,-4.0,71.0,1,left,P. Siakam 7' turnaround Hook (2 PTS),[1627783],1610612761.0,TOR,turnaround,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,7.07,Made,2.0,,,,,,,,,,,,,,,
9,PT11M05.00S,2022-12-01T01:11:31.8Z,1,REGULAR,2pt,Jump Shot,[],202685,86.5473061760841,74.01960784313727,1610612740,0,2,2022-12-01T01:11:36Z,90000,False,120.0,74.0,1,right,MISS J. Valanciunas 14' Jump Shot,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Right,,,14.11,Missed,,,,,,,,,,,,,,,,
10,PT11M03.00S,2022-12-01T01:11:33.8Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,0,2,2022-12-01T01:11:36Z,100000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Mid-Range,8-16 Right,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT10M53.00S,2022-12-01T01:11:44.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,5.075558475689881,53.67647058823529,1610612761,0,4,2022-12-01T01:11:49Z,110000,False,-18.0,-5.0,1,left,P. Siakam driving Layup (4 PTS),[1627783],1610612761.0,TOR,driving,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,1.9,Made,4.0,,,,,,,,,,,,,,,
12,PT10M44.00S,2022-12-01T01:11:52.5Z,1,REGULAR,3pt,Jump Shot,[],1630529,72.09264126149803,83.33333333333334,1610612740,3,4,2022-12-01T01:12:40Z,120000,False,167.0,210.0,1,right,H. Jones 26' 3PT  (3 PTS) (Z. Williamson 1 AST),"[1630529, 1629627]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Right Center,,,26.8,Made,3.0,,,,,Z. Williamson,1629627.0,1.0,,,,,,,,
14,PT10M32.00S,2022-12-01T01:12:05.1Z,1,REGULAR,3pt,Jump Shot,[],1627783,24.392247043363994,83.82352941176471,1610612761,3,7,2022-12-01T01:12:14Z,140000,False,-169.0,177.0,1,left,P. Siakam 24' 3PT  (7 PTS) (T. Young 1 AST),"[1627783, 201152]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,,,24.46,Made,7.0,,,,,T. Young,201152.0,1.0,,,,,,,,
16,PT10M24.00S,2022-12-01T01:12:16.7Z,1,REGULAR,foul,personal,[],201152,,,1610612740,3,7,2022-12-01T01:12:23Z,160000,False,,,0,,T. Young personal FOUL (1 PF),"[201152, 202685]",1610612761.0,TOR,,,,Young,T. Young,,,,,Above the Break 3,24+ Center,202049.0,,,,,,,,,,,,1.0,0.0,Valanciunas,202685.0,,,,
18,PT10M12.00S,2022-12-01T01:12:43.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630529,88.12417871222075,63.48039215686274,1610612740,3,7,2022-12-01T01:12:53Z,180000,False,67.0,59.0,1,right,MISS H. Jones 8' turnaround fadeaway Shot,[1630529],1610612740.0,NOP,turnaround fadeaway,,,Jones,H. Jones,,,,,In The Paint (Non-RA),8-16 Right,,,8.96,Missed,,,,,,,,,,,,,,,,
19,PT10M10.00S,2022-12-01T01:12:45.8Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,3,7,2022-12-01T01:12:48Z,190000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:2),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),8-16 Right,,,,,,18.0,2.0,2.0,0.0,,,,,,,,,,,
20,PT10M00.00S,2022-12-01T01:12:56.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,12.959921156373195,49.26470588235294,1610612761,3,9,2022-12-01T01:13:59Z,200000,False,4.0,69.0,1,left,P. Siakam 6' floating Jump Shot (9 PTS),[1627783],1610612761.0,TOR,floating,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,6.94,Made,9.0,,,,,,,,,,,,,,,
21,PT09M50.00S,2022-12-01T01:13:11.2Z,1,REGULAR,foul,personal,[],1628384,,,1610612740,3,9,2022-12-01T01:13:30Z,210000,False,,,0,,O. Anunoby personal FOUL (1 PF),"[1628384, 1629627]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Right Center,201246.0,,,,,,,,,,,,1.0,0.0,Williamson,1629627.0,,,,
23,PT09M46.00S,2022-12-01T01:13:28.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,91.80354796320631,50.245098039215684,1610612740,5,9,2022-12-01T01:13:33Z,230000,False,1.0,25.0,1,right,Z. Williamson driving Layup (2 PTS) (J. Valanciunas 1 AST),"[1629627, 202685]",1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,2.45,Made,2.0,,,,,J. Valanciunas,202685.0,1.0,,,,,,,,
25,PT09M46.00S,2022-12-01T01:13:31.3Z,1,REGULAR,foul,personal,['1freethrow'],1627832,,,1610612740,5,9,2022-12-01T01:13:38Z,250000,False,,,0,,F. VanVleet shooting personal FOUL (1 PF) (Williamson 1 FT),"[1627832, 1629627]",1610612761.0,TOR,shooting,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,202049.0,,,,,,,,,,,,1.0,0.0,Williamson,1629627.0,,,,
27,PT09M46.00S,2022-12-01T01:13:53.4Z,1,REGULAR,freethrow,1 of 1,[],1629627,,,1610612740,5,9,2022-12-01T01:13:56Z,270000,False,,,0,,MISS Z. Williamson Free Throw 1 of 1,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
28,PT09M42.00S,2022-12-01T01:13:57.4Z,1,REGULAR,rebound,defensive,[],201152,,,1610612761,5,9,2022-12-01T01:13:56Z,280000,False,,,0,,T. Young REBOUND (Off:0 Def:1),[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,
29,PT09M32.00S,2022-12-01T01:14:05.3Z,1,REGULAR,turnover,lost ball,[],1627783,,,1610612761,5,9,2022-12-01T01:14:12Z,290000,False,,,0,,P. Siakam lost ball TURNOVER (1 TO),"[1627783, 1629627]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,1.0,,,,,,,,,,,,,,,Williamson,1629627.0,,
30,PT09M32.00S,2022-12-01T01:14:05.3Z,1,REGULAR,steal,,[],1629627,,,1610612740,5,9,2022-12-01T01:14:07Z,300000,False,,,0,,Z. Williamson STEAL (1 STL),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
