actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-03-24T00:10:43.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-24T00:10:43Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-24T00:10:46.4Z,1,REGULAR,jumpball,recovered,[],1627742,,,1610612740,0,0,2023-03-24T00:10:46Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. N. Richards: Tip to B. Ingram,"[1627742, 202685, 1630208]",1610612740.0,NOP,startperiod,B. Ingram,1627742.0,Ingram,B. Ingram,Valanciunas,202685.0,Richards,1630208.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2023-03-24T00:11:06.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202685,94.43166885676742,54.41176470588235,1610612740,2,0,2023-03-24T00:11:35Z,70000,False,22.0,0.0,1,right,J. Valanciunas driving bank Hook (2 PTS) (B. Ingram 1 AST),"[202685, 1627742]",1610612740.0,NOP,driving bank,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,2.21,Made,2.0,B. Ingram,1627742.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2023-03-24T00:11:25.1Z,1,REGULAR,foul,personal,['2freethrow'],1627742,,,1610612766,2,0,2023-03-24T00:11:35Z,90000,False,,,0,,B. Ingram shooting personal FOUL (1 PF) (Hayward 2 FT),"[1627742, 202330]",1610612740.0,NOP,shooting,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1662.0,1.0,0.0,Hayward,202330.0,,,,,,,,,
11,PT11M22.00S,2023-03-24T00:11:45.4Z,1,REGULAR,freethrow,1 of 2,[],202330,,,1610612766,2,0,2023-03-24T00:11:45Z,110000,False,,,0,,MISS G. Hayward Free Throw 1 of 2,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
12,PT11M22.00S,2023-03-24T00:11:45.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,2,0,2023-03-24T00:11:45Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,
13,PT11M22.00S,2023-03-24T00:11:59.5Z,1,REGULAR,freethrow,2 of 2,[],202330,,,1610612766,2,1,2023-03-24T00:11:59Z,130000,False,,,0,,G. Hayward Free Throw 2 of 2 (1 PTS),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
14,PT11M05.00S,2023-03-24T00:12:19.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202685,92.06636005256242,45.09803921568628,1610612740,4,1,2023-03-24T00:12:23Z,140000,False,-25.0,22.0,1,right,J. Valanciunas Hook (4 PTS) (B. Ingram 2 AST),"[202685, 1627742]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,3.3,Made,4.0,B. Ingram,1627742.0,2.0,,,,,,,,,,,,,,
16,PT10M50.00S,2023-03-24T00:12:34.8Z,1,REGULAR,turnover,lost ball,[],1626162,,,1610612766,4,1,2023-03-24T00:12:42Z,160000,False,,,0,,K. Oubre Jr. lost ball TURNOVER (1 TO),"[1626162, 1630530]",1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,1.0,Murphy III,1630530.0,,,,,
17,PT10M50.00S,2023-03-24T00:12:34.8Z,1,REGULAR,steal,,[],1630530,,,1610612740,4,1,2023-03-24T00:12:37Z,170000,False,,,0,,T. Murphy III STEAL (1 STL),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
18,PT10M46.00S,2023-03-24T00:12:38.9Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",203468,76.95466491458606,88.72549019607843,1610612740,7,1,2023-03-24T00:13:01Z,180000,False,194.0,164.0,1,right,C. McCollum 25' 3PT running (3 PTS) (T. Murphy III 1 AST),"[203468, 1630530]",1610612740.0,NOP,running,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,25.38,Made,3.0,T. Murphy III,1630530.0,1.0,,,,,,,,,,,,,,
20,PT10M32.00S,2023-03-24T00:12:52.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626162,7.046649145860711,51.470588235294116,1610612766,7,1,2023-03-24T00:20:00Z,200000,False,-7.0,14.0,1,left,MISS K. Oubre Jr. driving DUNK,[1626162],1610612766.0,CHA,driving,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,1.56,Missed,,,,,,,,,,,,,,,,,,
22,PT10M29.00S,2023-03-24T00:12:55.7Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,7,1,2023-03-24T00:12:57Z,220000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,20.0,,,,1.0,1.0,0.0,,
23,PT10M16.00S,2023-03-24T00:13:09.4Z,1,REGULAR,2pt,Jump Shot,[],202685,87.99277266754271,67.64705882352942,1610612740,9,1,2023-03-24T00:13:15Z,230000,False,88.0,60.0,1,right,J. Valanciunas 10' Jump Shot (6 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Right,10.69,Made,6.0,,,,,,,,,,,,,,,,,
24,PT10M01.00S,2023-03-24T00:13:23.7Z,1,REGULAR,3pt,Jump Shot,[],1629023,30.17411300919842,30.88235294117647,1610612766,9,4,2023-03-24T00:13:28Z,240000,False,96.0,231.0,1,left,P. Washington 25' 3PT  (3 PTS) (G. Hayward 1 AST),"[1629023, 202330]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,25.01,Made,3.0,G. Hayward,202330.0,1.0,,,,,,,,,,,,,,
26,PT09M46.00S,2023-03-24T00:13:38.7Z,1,REGULAR,3pt,Jump Shot,[],1627742,70.12155059132719,23.03921568627451,1610612740,9,4,2023-03-24T00:13:45Z,260000,False,-135.0,228.0,1,right,MISS B. Ingram 26' 3PT,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,26.52,Missed,,,,,,,,,,,,,,,,,,
27,PT09M43.00S,2023-03-24T00:13:41.7Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,9,4,2023-03-24T00:13:45Z,270000,False,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,26.0,,,,1.0,1.0,0.0,,
28,PT09M37.00S,2023-03-24T00:13:48.5Z,1,REGULAR,3pt,Jump Shot,[],1629023,28.597240473061763,73.77450980392157,1610612766,9,4,2023-03-24T00:13:54Z,280000,False,-119.0,216.0,1,left,MISS P. Washington 24' 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Left Center,24.68,Missed,,,,,,,,,,,,,,,,,,
29,PT09M33.00S,2023-03-24T00:13:52.5Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,9,4,2023-03-24T00:13:54Z,290000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,28.0,,,,2.0,2.0,0.0,,
30,PT09M23.00S,2023-03-24T00:14:01.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,84.83902759526939,39.46078431372549,1610612740,9,4,2023-03-24T00:14:04Z,300000,False,-53.0,90.0,1,right,MISS B. Ingram 10' driving floating Shot,[1627742],1610612740.0,NOP,driving floating,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,10.43,Missed,,,,,,,,,,,,,,,,,,
31,PT09M22.00S,2023-03-24T00:14:02.2Z,1,REGULAR,rebound,defensive,[],202330,,,1610612766,9,4,2023-03-24T00:14:04Z,310000,False,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,30.0,,,,1.0,1.0,0.0,,
32,PT09M15.00S,2023-03-24T00:14:09.5Z,1,REGULAR,3pt,Jump Shot,[],1626179,12.302890932982917,95.09803921568627,1610612766,9,4,2023-03-24T00:14:14Z,320000,False,-225.0,63.0,1,left,MISS T. Rozier 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Left Corner 3,24+ Left,23.42,Missed,,,,,,,,,,,,,,,,,,
33,PT09M12.00S,2023-03-24T00:14:12.5Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,9,4,2023-03-24T00:14:14Z,330000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,32.0,,,,1.0,1.0,0.0,,
34,PT09M07.00S,2023-03-24T00:14:17.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630529,94.43166885676742,45.09803921568628,1610612740,9,4,2023-03-24T00:15:37Z,340000,False,-25.0,0.0,1,right,MISS H. Jones running reverse Layup,[1630529],1610612740.0,NOP,running reverse,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,2.45,Missed,,,,,,,,,,,,,,,,,,
35,PT09M05.00S,2023-03-24T00:14:19.6Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,9,4,2023-03-24T00:14:22Z,350000,False,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,34.0,,,,1.0,1.0,0.0,,
36,PT09M01.00S,2023-03-24T00:14:23.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629023,26.231931668856767,82.84313725490196,1610612766,9,7,2023-03-24T00:15:57Z,360000,False,-164.0,194.0,1,left,P. Washington 25' 3PT running pullup (6 PTS) (T. Rozier 1 AST),"[1629023, 1626179]",1610612766.0,CHA,running pullup,,,Washington,P. Washington,,,,,Above the Break 3,24+ Left Center,25.42,Made,6.0,T. Rozier,1626179.0,1.0,,,,,,,,,,,,,,
38,PT08M50.00S,2023-03-24T00:14:37.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,84.31340341655716,52.450980392156865,1610612740,11,7,2023-03-24T00:14:46Z,380000,False,12.0,95.0,1,right,B. Ingram 9' turnaround fadeaway Jump Shot (2 PTS),[1627742],1610612740.0,NOP,turnaround fadeaway,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,9.58,Made,2.0,,,,,,,,,,,,,,,,,
