actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-05T00:41:17.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-05T00:41:17Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-05T00:41:19.7Z,1,REGULAR,jumpball,recovered,[],1629627,,,1610612740,0,0,2022-11-05T00:41:19Z,40000,,,0,,Jump Ball J. Valanciunas vs. K. Looney: Tip to Z. Williamson,"[1629627, 202685, 1626172]",1610612740.0,NOP,startperiod,Z. Williamson,1629627.0,Williamson,Z. Williamson,Valanciunas,202685.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2022-11-05T00:41:51.7Z,1,REGULAR,2pt,Jump Shot,[],1627742,78.40013140604468,25.735294117647058,1610612740,0,0,2022-11-05T00:42:14Z,80000,-121.0,151.0,1,right,MISS B. Ingram 19' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Left Center,19.33,Missed,,,,,,,,,,,,,,,,,,
9,PT11M28.00S,2022-11-05T00:41:54.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612744,0,0,2022-11-05T00:41:54Z,90000,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,Mid-Range,16-24 Left Center,,,8.0,,,,,,,,,,,,,,,,,
11,PT11M11.00S,2022-11-05T00:42:11.5Z,1,REGULAR,3pt,Jump Shot,[],1629673,27.808804204993432,19.362745098039216,1610612744,0,0,2022-11-05T00:42:44Z,110000,153.0,209.0,1,left,MISS J. Poole 25' pullup 3PT,[1629673],1610612744.0,GSW,pullup,,,Poole,J. Poole,,,,,Above the Break 3,24+ Right Center,25.91,Missed,,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2022-11-05T00:42:14.5Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,0,0,2022-11-05T00:42:18Z,120000,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M58.00S,2022-11-05T00:42:23.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202685,91.80354796320631,43.38235294117647,1610612740,2,0,2022-11-05T00:42:35Z,130000,-33.0,25.0,1,right,J. Valanciunas turnaround Hook (2 PTS) (B. Ingram 1 AST),"[202685, 1627742]",1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,4.12,Made,,,,,2.0,B. Ingram,1627742.0,1.0,,,,,,,,,,
15,PT10M44.00S,2022-11-05T00:42:40.6Z,1,REGULAR,foul,personal,['2freethrow'],1629627,,,1610612744,2,0,2022-11-05T00:42:48Z,150000,,,0,,Z. Williamson shooting personal FOUL (1 PF) (Kuminga 2 FT),"[1629627, 1630228]",1610612740.0,NOP,shooting,,,Williamson,Z. Williamson,,,,,Mid-Range,8-16 Right,,,,,,,,,,,2715.0,1.0,0.0,Kuminga,1630228.0,,,,,
17,PT10M44.00S,2022-11-05T00:43:03.1Z,1,REGULAR,freethrow,1 of 2,[],1630228,,,1610612744,2,1,2022-11-05T00:43:03Z,170000,,,0,,J. Kuminga Free Throw 1 of 2 (1 PTS),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
18,PT10M44.00S,2022-11-05T00:43:16.9Z,1,REGULAR,freethrow,2 of 2,[],1630228,,,1610612744,2,2,2022-11-05T00:43:16Z,180000,,,0,,J. Kuminga Free Throw 2 of 2 (2 PTS),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
19,PT10M36.00S,2022-11-05T00:43:25.8Z,1,REGULAR,3pt,Jump Shot,[],1627742,66.70499342969777,60.29411764705882,1610612740,2,2,2022-11-05T00:43:31Z,190000,51.0,260.0,1,right,MISS B. Ingram 26' 3PT,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Center,26.55,Missed,,,,,,,,,,,,,,,,,,
20,PT10M32.00S,2022-11-05T00:43:29.8Z,1,REGULAR,rebound,defensive,[],1630237,,,1610612744,2,2,2022-11-05T00:43:31Z,200000,,,0,,A. Lamb REBOUND (Off:0 Def:1),[1630237],1610612744.0,GSW,,,,Lamb,A. Lamb,,,,,Above the Break 3,24+ Center,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M20.00S,2022-11-05T00:43:41.4Z,1,REGULAR,3pt,Jump Shot,[],1629673,3.630091984231275,97.05882352941177,1610612744,2,2,2022-11-05T00:43:53Z,210000,-235.0,-18.0,1,left,MISS J. Poole 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,Left Corner 3,24+ Left,23.6,Missed,,,,,,,,,,,,,,,,,,
