actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-12-23T01:10:20.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-23T01:10:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-12-23T01:10:22.6Z,1,REGULAR,jumpball,recovered,[],1631110,,,1610612759,0,0,2022-12-23T01:10:22Z,40000,False,,,0,,Jump Ball J. Poeltl vs. J. Valanciunas: Tip to J. Sochan,"[1631110, 1627751, 202685]",1610612759.0,SAS,startperiod,J. Sochan,1631110.0,Sochan,J. Sochan,Poeltl,1627751.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-12-23T01:10:35.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,19.004599211563733,49.26470588235294,1610612759,0,0,2022-12-23T01:10:40Z,70000,False,4.0,126.0,1,left,MISS J. Poeltl 12' Hook,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,12.62,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2022-12-23T01:10:37.7Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,0,2022-12-23T01:10:40Z,80000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2022-12-23T01:10:56.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,86.5473061760841,50.0,1610612740,0,0,2022-12-23T01:11:03Z,90000,False,0.0,74.0,1,right,MISS C. McCollum 7' driving floating Shot,[203468],1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,7.4,Missed,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2022-12-23T01:10:59.5Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,0,0,2022-12-23T01:10:59Z,100000,False,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M16.00S,2022-12-23T01:11:03.4Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630200,16.245072273324574,50.49019607843137,1610612759,0,2,2022-12-23T01:11:51Z,110000,False,-2.0,100.0,1,left,T. Jones 10' pullup Jump Shot (2 PTS),[1630200],1610612759.0,SAS,pullup,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,10.02,Made,,,,,2.0,,,,,,,,,,,,,
12,PT10M59.00S,2022-12-23T01:11:20.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630529,86.5473061760841,52.94117647058824,1610612740,0,2,2022-12-23T01:11:23Z,120000,False,15.0,74.0,1,right,MISS H. Jones 7' pullup Shot,[1630529],1610612740.0,NOP,pullup,,,Jones,H. Jones,,,,,In The Paint (Non-RA),0-8 Center,7.54,Missed,,,,,,,,,,,,,,,,,,
13,PT10M57.00S,2022-12-23T01:11:22.9Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,0,2,2022-12-23T01:11:23Z,130000,False,,,0,,J. Sochan REBOUND (Off:0 Def:1),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),0-8 Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M40.00S,2022-12-23T01:11:39.8Z,1,REGULAR,2pt,Jump Shot,[],1630200,5.732588699080158,75.0,1610612759,0,2,2022-12-23T01:13:39Z,140000,False,-125.0,1.0,1,left,MISS T. Jones 12' step back Shot,[1630200],1610612759.0,SAS,step back,,,Jones,T. Jones,,,,,Mid-Range,8-16 Left,12.5,Missed,,,,,,,,,,,,,,,,,,
15,PT10M33.00S,2022-12-23T01:11:46.8Z,1,REGULAR,rebound,offensive,[],1629641,,,1610612759,0,2,2022-12-23T01:11:48Z,150000,False,,,0,,R. Langford REBOUND (Off:1 Def:0),[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,Mid-Range,8-16 Left,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,,
