actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-25T23:32:47.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-25T23:32:47Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-10-25T23:32:50.2Z,1,REGULAR,jumpball,recovered,[],203915,,,1610612742,0,0,2022-10-25T23:32:50Z,40000,,,0,,Jump Ball J. McGee vs. J. Valanciunas: Tip to S. Dinwiddie,"[203915, 201580, 202685]",1610612742.0,DAL,startperiod,S. Dinwiddie,203915.0,Dinwiddie,S. Dinwiddie,McGee,201580.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-10-25T23:33:06.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,13.61695137976347,58.57843137254902,1610612742,0,2,2022-10-25T23:33:47Z,70000,-43.0,75.0,1,left,L. Doncic 8' Layup (2 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Center,8.68,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2022-10-25T23:33:36.4Z,1,REGULAR,foul,personal,['2freethrow'],201580,,,1610612740,0,2,2022-10-25T23:33:49Z,80000,,,0,,J. McGee shooting personal FOUL (1 PF) (Marshall 2 FT),"[201580, 1630230]",1610612742.0,DAL,shooting,,,McGee,J. McGee,,,,,Restricted Area,0-8 Center,,,,1198.0,1.0,0.0,Marshall,1630230.0,,,,,,,,,,,,
10,PT11M26.00S,2022-10-25T23:34:02.4Z,1,REGULAR,freethrow,1 of 2,[],1630230,,,1610612740,0,2,2022-10-25T23:34:02Z,100000,,,0,,MISS N. Marshall Free Throw 1 of 2,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
11,PT11M26.00S,2022-10-25T23:34:02.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,0,2,2022-10-25T23:34:02Z,110000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,
12,PT11M26.00S,2022-10-25T23:34:18.6Z,1,REGULAR,freethrow,2 of 2,[],1630230,,,1610612740,1,2,2022-10-25T23:34:18Z,120000,,,0,,N. Marshall Free Throw 2 of 2 (1 PTS),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
13,PT11M10.00S,2022-10-25T23:34:36.2Z,1,REGULAR,2pt,Jump Shot,[],1629029,14.668199737187912,76.47058823529412,1610612742,1,2,2022-10-25T23:34:46Z,130000,-132.0,85.0,1,left,MISS L. Doncic 15' turnaround fadeaway Shot,[1629029],1610612742.0,DAL,turnaround fadeaway,,,Doncic,L. Doncic,,,,,Mid-Range,8-16 Left,15.76,Missed,,,,,,,,,,,,,,,,,,
14,PT11M07.00S,2022-10-25T23:34:39.2Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,1,2,2022-10-25T23:34:46Z,140000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Left,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M57.00S,2022-10-25T23:34:49.1Z,1,REGULAR,3pt,Jump Shot,[],1630631,75.64060446780552,87.74509803921569,1610612740,4,2,2022-10-25T23:34:54Z,150000,189.0,176.0,1,right,J. Alvarado 25' 3PT  (3 PTS) (C. McCollum 1 AST),"[1630631, 203468]",1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Right Center,25.84,Made,3.0,,,,,,,,,,C. McCollum,203468.0,1.0,,,,,
17,PT10M44.00S,2022-10-25T23:35:02.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201580,5.863994743758213,45.09803921568628,1610612742,4,4,2022-10-25T23:35:36Z,170000,25.0,3.0,1,left,J. McGee driving finger roll Layup (2 PTS) (R. Bullock 1 AST),"[201580, 203493]",1610612742.0,DAL,driving finger roll,,,McGee,J. McGee,,,,,Restricted Area,0-8 Center,2.46,Made,2.0,,,,,,,,,,R. Bullock,203493.0,1.0,,,,,
19,PT10M35.00S,2022-10-25T23:35:11.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202685,92.9862023653088,49.754901960784316,1610612740,6,4,2022-10-25T23:35:57Z,190000,-1.0,13.0,1,right,J. Valanciunas cutting DUNK (2 PTS) (C. McCollum 2 AST),"[202685, 203468]",1610612740.0,NOP,cutting,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,1.35,Made,2.0,,,,,,,,,,C. McCollum,203468.0,2.0,,,,,
21,PT10M17.00S,2022-10-25T23:35:28.3Z,1,REGULAR,3pt,Jump Shot,[],203915,30.17411300919842,27.941176470588236,1610612742,6,4,2022-10-25T23:35:33Z,210000,110.0,231.0,1,left,MISS S. Dinwiddie 25' 3PT,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Right Center,25.61,Missed,,,,,,,,,,,,,,,,,,
22,PT10M14.00S,2022-10-25T23:35:31.3Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,6,4,2022-10-25T23:35:33Z,220000,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,
23,PT10M08.00S,2022-10-25T23:35:38.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,93.11760840998686,46.07843137254902,1610612740,6,4,2022-10-25T23:35:43Z,230000,-20.0,12.0,1,right,MISS C. McCollum driving finger roll Layup - blocked,"[203468, 201580]",1610612740.0,NOP,driving finger roll,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,2.31,Missed,,,,,,,,,,,,,,McGee,201580.0,,,
24,PT10M08.00S,2022-10-25T23:35:38.5Z,1,REGULAR,block,,[],201580,,,1610612740,6,4,2022-10-25T23:35:41Z,240000,,,0,,J. McGee BLOCK (1 BLK),[201580],1610612742.0,DAL,,,,McGee,J. McGee,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
25,PT10M08.00S,2022-10-25T23:35:38.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,6,4,2022-10-25T23:35:43Z,250000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,23.0,,,,,,,,,,,
27,PT10M00.00S,2022-10-25T23:36:06.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630631,94.03745072273325,46.32352941176471,1610612740,8,4,2022-10-25T23:36:13Z,270000,-18.0,4.0,1,right,J. Alvarado driving reverse Layup (5 PTS),[1630631],1610612740.0,NOP,driving reverse,,,Alvarado,J. Alvarado,,,,,Restricted Area,0-8 Center,1.87,Made,5.0,,,,,,,,,,,,,,,,,
28,PT09M41.00S,2022-10-25T23:36:23.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,10.068988173455978,36.029411764705884,1610612742,8,6,2022-10-25T23:37:30Z,280000,70.0,42.0,1,left,L. Doncic 8' driving floating bank Jump Shot (4 PTS),[1629029],1610612742.0,DAL,driving floating bank,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Right,8.16,Made,4.0,,,,,,,,,,,,,,,,,
29,PT09M36.00S,2022-10-25T23:36:29.6Z,1,REGULAR,2pt,Jump Shot,[],1630230,78.66294349540078,28.676470588235293,1610612740,10,6,2022-10-25T23:40:05Z,290000,-107.0,148.0,1,right,N. Marshall 18' pullup Jump Shot (3 PTS) (C. McCollum 3 AST),"[1630230, 203468]",1610612740.0,NOP,pullup,,,Marshall,N. Marshall,,,,,Mid-Range,16-24 Left Center,18.25,Made,3.0,,,,,,,,,,C. McCollum,203468.0,3.0,,,,,
