actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-12-04T20:40:27.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-04T20:40:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-12-04T20:40:29.7Z,1,REGULAR,jumpball,recovered,[],203468,,,1610612740,0,0,2022-12-04T20:40:29Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. N. Jokic: Tip to C. McCollum,"[203468, 202685, 203999]",1610612740.0,NOP,startperiod,C. McCollum,203468.0,McCollum,C. McCollum,Valanciunas,202685.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2022-12-04T20:40:57.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630700,94.1688567674113,46.32352941176471,1610612740,0,0,2022-12-04T20:41:03Z,80000,False,-18.0,2.0,1,right,MISS D. Daniels reverse Layup,[1630700],1610612740.0,NOP,reverse,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,1.85,Missed,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2022-12-04T20:40:59.7Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,0,2022-12-04T20:41:03Z,90000,False,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M33.00S,2022-12-04T20:41:06.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203484,7.703679369250986,58.82352941176471,1610612743,0,0,2022-12-04T20:41:19Z,100000,False,-44.0,20.0,1,left,MISS K. Caldwell-Pope floating Shot,[203484],1610612743.0,DEN,floating,,,Caldwell-Pope,K. Caldwell-Pope,,,,,In The Paint (Non-RA),0-8 Center,4.84,Missed,,,,,,,,,,,,,,,,,,
11,PT11M28.00S,2022-12-04T20:41:11.6Z,1,REGULAR,rebound,offensive,[],203484,,,1610612743,0,0,2022-12-04T20:46:21Z,110000,False,,,0,,K. Caldwell-Pope REBOUND (Off:1 Def:0),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,In The Paint (Non-RA),0-8 Center,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT11M26.00S,2022-12-04T20:41:13.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203484,5.590000152587891,50.0,1610612743,0,0,2022-12-04T20:41:13Z,140000,False,0.0,0.0,1,left,MISS K. Caldwell-Pope tip Layup,[203484],1610612743.0,DEN,tip,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
15,PT11M25.00S,2022-12-04T20:41:14.1Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,0,0,2022-12-04T20:41:14Z,150000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Mid-Range,8-16 Left,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT11M17.00S,2022-12-04T20:41:22.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,94.1688567674113,52.450980392156865,1610612740,2,0,2022-12-04T20:41:26Z,160000,False,12.0,2.0,1,right,J. Valanciunas cutting Layup (2 PTS) (Z. Williamson 1 AST),"[202685, 1629627]",1610612740.0,NOP,cutting,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,1.25,Made,,,,,2.0,Z. Williamson,1629627.0,1.0,,,,,,,,,,
18,PT11M08.00S,2022-12-04T20:41:31.1Z,1,REGULAR,3pt,Jump Shot,[],203484,4.812746386333772,4.6568627450980395,1610612743,2,0,2022-12-04T20:41:36Z,180000,False,227.0,-7.0,1,left,MISS K. Caldwell-Pope 3PT,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Right Corner 3,24+ Right,22.68,Missed,,,,,,,,,,,,,,,,,,
